Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualtyRate,SteamPlayers,WardenPlayHours,ColonialPlayHours,Target
2023-12-05 10:04:01,1,0,176,168,0,0,0,0,5842,0,0,0
2023-12-05 10:34:01,1,0,176,168,0,0,0,0,6520,1,0,0
2023-12-05 11:04:01,2022,1982,299,288,1997,1944,5546,5117,7215,1012,991,0
2023-12-05 11:34:01,2260,2162,299,289,6500,6262,7821,7336,7277,2142,2072,0
2023-12-05 12:04:01,2253,2147,299,289,10964,10471,9110,8536,7200,3268,3145,0
2023-12-05 12:34:01,2115,2059,298,290,15377,14708,8920,8454,6911,4326,4175,0
2023-12-05 13:04:01,1949,1910,299,289,19345,18458,8492,8100,6529,5300,5130,0
2023-12-05 13:34:01,1804,1777,299,289,23109,22319,7847,7718,6036,6202,6018,0
2023-12-05 14:04:01,1674,1660,298,290,25898,25442,6420,7083,5657,7039,6848,0
2023-12-05 14:34:02,1489,1587,297,291,28790,28986,5569,6592,5377,7784,7642,0
2023-12-05 15:05:03,1366,1483,295,293,30706,31376,4770,5875,5009,8490,8409,0
2023-12-05 15:36:01,1229,1378,294,293,32903,33691,4293,4868,4590,9124,9120,0
2023-12-05 16:06:02,1119,1312,293,294,34700,35911,4036,4572,4361,9684,9776,0
2023-12-05 16:37:02,1039,1253,292,294,36435,37878,3554,4198,4202,10221,10424,0
2023-12-05 17:08:01,1045,1237,291,295,38030,39614,3469,3875,4141,10761,11062,0
2023-12-05 17:38:01,994,1251,291,295,39708,41325,3521,3653,4048,11258,11688,0
2023-12-05 18:08:01,981,1231,291,296,41266,42925,3180,3214,3998,11748,12303,0
2023-12-05 18:38:01,968,1188,290,297,42901,44902,2984,3327,3887,12232,12897,0
2023-12-05 19:08:01,940,1147,290,297,44433,46802,2913,3566,3803,12702,13471,0
2023-12-05 19:38:01,939,1091,289,298,46064,48666,3172,3750,3643,13172,14016,0
2023-12-05 20:08:01,902,1006,289,298,47591,50261,3110,3397,3403,13623,14519,0
2023-12-05 20:38:01,868,960,288,299,49122,51791,2991,3038,3291,14057,14999,0
2023-12-05 21:08:01,818,875,288,299,50345,53168,2658,2794,3007,14466,15437,0
2023-12-05 21:38:01,756,810,288,299,51827,54802,2668,2977,2820,14844,15842,0
2023-12-05 22:08:01,688,749,287,300,52990,56065,2520,2803,2659,15188,16216,0
2023-12-05 22:38:01,634,691,286,300,53950,57153,2005,2263,2496,15505,16562,0
2023-12-05 23:08:01,596,657,285,301,55103,58133,2163,2146,2391,15803,16890,0
2023-12-05 23:38:01,586,650,285,301,55962,59023,2014,1865,2321,16096,17215,0
2023-12-06 00:08:02,615,631,285,301,56836,59902,1709,1715,2275,16403,17531,0
