Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers,Target
2019-05-04 08:05:01,77,79,0,0,0,0,439,1
2019-05-04 08:10:01,77,79,0,0,0,0,481,1
2019-05-04 08:15:01,77,79,1,0,0,0,507,1
2019-05-04 08:20:01,77,79,1,0,0,0,546,1
2019-05-04 08:25:01,77,79,99,83,0,0,550,1
2019-05-04 08:30:01,79,79,147,125,0,0,558,1
2019-05-04 08:35:01,79,79,203,194,0,0,573,1
2019-05-04 08:40:01,79,80,255,222,0,0,574,1
2019-05-04 08:45:01,79,80,330,326,0,0,585,1
2019-05-04 08:50:01,81,80,350,351,0,0,596,1
2019-05-04 08:55:01,81,80,424,409,0,0,607,1
2019-05-04 09:00:01,81,81,450,442,0,0,616,1
2019-05-04 09:05:01,80,81,574,541,574,541,618,1
2019-05-04 09:10:01,81,81,665,659,665,659,628,1
2019-05-04 09:15:01,81,81,714,727,713,727,623,1
2019-05-04 09:20:01,82,82,847,875,846,875,619,1
2019-05-04 09:25:01,83,82,898,950,799,867,623,1
2019-05-04 09:30:01,84,82,962,1064,815,939,618,1
2019-05-04 09:35:01,85,82,1001,1111,798,917,625,1
2019-05-04 09:40:01,86,82,1049,1164,794,942,626,1
2019-05-04 09:45:01,86,82,1140,1263,810,937,624,1
2019-05-04 09:50:01,88,83,1228,1368,878,1017,614,1
2019-05-04 09:55:01,88,83,1289,1448,865,1039,604,1
2019-05-04 10:00:01,88,84,1346,1505,896,1063,603,1
2019-05-04 10:05:01,88,83,1488,1708,914,1167,604,1
2019-05-04 10:10:01,88,83,1572,1817,907,1158,607,1
2019-05-04 10:15:01,88,83,1619,1874,905,1147,597,1
2019-05-04 10:20:01,88,83,1721,2009,874,1134,597,1
2019-05-04 10:25:01,88,84,1808,2144,910,1194,596,1
2019-05-04 10:30:02,88,84,1871,2239,948,1230,591,1
2019-05-04 10:35:01,88,84,2020,2379,1019,1268,588,1
2019-05-04 10:40:01,88,84,2083,2459,1034,1295,583,1
2019-05-04 10:45:01,88,83,2163,2527,1023,1264,592,1
2019-05-04 10:50:01,88,82,2212,2578,984,1210,596,1
2019-05-04 10:55:01,89,82,2399,2762,1110,1314,587,1
2019-05-04 11:00:01,89,82,2507,2895,1161,1390,593,1
2019-05-04 11:05:01,89,82,2624,3010,1136,1302,581,1
2019-05-04 11:10:01,89,82,2677,3079,1105,1262,593,1
2019-05-04 11:15:01,89,81,2799,3256,1180,1382,592,1
2019-05-04 11:20:01,90,81,2902,3371,1181,1362,581,1
2019-05-04 11:25:01,90,81,2986,3432,1178,1288,581,1
2019-05-04 11:30:01,89,81,3073,3538,1202,1299,587,1
2019-05-04 11:35:01,89,81,3134,3617,1114,1238,579,1
2019-05-04 11:40:02,89,81,3143,3641,1068,1214,590,1
2019-05-04 11:45:01,89,81,3282,3853,1119,1326,582,1
2019-05-04 11:50:02,89,80,3319,3892,1004,1232,580,1
2019-05-04 11:55:02,89,80,3400,4034,974,1241,577,1
2019-05-04 12:00:01,89,81,3490,4124,983,1229,579,1
2019-05-04 12:05:01,89,81,3535,4195,911,1185,569,1
2019-05-04 12:10:01,90,80,3615,4286,938,1207,573,1
2019-05-04 12:15:01,90,81,3667,4349,868,1093,557,1
2019-05-04 12:20:01,90,81,3709,4409,807,1038,558,1
2019-05-04 12:25:01,90,81,3781,4484,795,1052,556,1
2019-05-04 12:30:01,90,81,3842,4530,769,992,548,1
2019-05-04 12:35:01,91,81,3909,4614,775,997,550,1
2019-05-04 12:40:01,91,80,3998,4718,855,1077,555,1
2019-05-04 12:45:01,91,80,4045,4773,763,920,560,1
2019-05-04 12:50:01,91,80,4145,4924,826,1032,565,1
2019-05-04 12:55:01,91,79,4236,5081,836,1047,569,1
2019-05-04 13:00:02,91,79,4309,5187,843,1082,558,1
2019-05-04 13:05:01,91,80,4374,5295,839,1100,549,1
2019-05-04 13:10:01,91,80,4432,5359,817,1073,543,1
