Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers,Target
2019-06-29 06:56:01,178,327,343822,348058,1182,889,897,0
2019-06-29 07:56:01,192,333,360492,362583,1443,1115,950,0
2019-06-29 08:26:01,187,334,361029,363139,1288,1137,982,0
2019-06-29 08:56:01,184,334,361768,363686,1341,1132,1085,0
2019-06-29 09:26:01,184,333,362731,364455,1612,1269,1187,0
2019-06-29 09:56:01,185,337,363571,365151,1769,1450,1201,0
2019-06-29 10:26:01,184,333,364340,366069,1748,1726,1193,0
2019-06-29 10:56:01,184,335,365485,367265,1911,2099,1230,0
2019-06-29 11:26:01,184,328,366582,368213,2181,2074,1269,0
2019-06-29 11:56:01,182,323,367410,369039,1961,1839,1294,0
2019-06-29 12:26:01,189,323,368534,370196,2013,2059,1276,0
2019-06-29 12:56:01,197,322,369580,371291,2177,2260,1252,0
2019-06-29 13:26:01,196,327,370589,372368,2103,2220,1244,0
2019-06-29 13:56:01,196,329,371791,373460,2272,2218,1225,0
2019-06-29 14:26:01,193,336,373001,374446,2397,2086,1203,0
2019-06-29 14:56:01,195,337,374199,375635,2359,2180,1159,0
2019-06-29 15:26:01,192,336,375330,376985,2301,2543,1142,0
2019-06-29 15:56:01,189,338,376474,378248,2269,2548,1081,0
2019-06-29 16:26:01,189,337,377560,379303,2168,2264,1021,0
2019-06-29 16:56:01,189,337,378519,380260,2053,2014,1002,0
2019-06-29 17:26:01,191,338,379505,381015,1965,1711,951,0
2019-06-29 17:56:01,188,334,380469,381807,2034,1668,940,0
2019-06-29 18:26:01,184,336,381407,382639,1924,1634,872,0
2019-06-29 18:56:01,185,342,382283,383355,1650,1436,853,0
2019-06-29 19:26:01,185,348,383014,384047,1615,1408,814,0
2019-06-29 19:56:02,185,348,383940,384788,1705,1442,801,0
2019-06-29 20:27:01,185,346,384729,385558,1661,1457,784,0
2019-06-29 20:57:01,185,345,385392,386193,1454,1409,786,0
2019-06-29 21:27:01,185,344,386173,387011,1446,1453,762,0
2019-06-29 21:57:01,182,345,386962,387842,1496,1593,726,0
2019-06-29 22:27:01,183,345,387666,388522,1462,1456,738,0
2019-06-29 22:57:01,185,345,388341,389178,1386,1340,720,0
2019-06-29 23:27:01,188,341,389072,389792,1380,1238,681,0
2019-06-29 23:57:01,189,342,389719,390348,1422,1242,663,0
2019-06-30 00:27:01,187,344,390607,391057,1567,1296,669,0
2019-06-30 00:57:01,186,342,391392,391694,1642,1324,664,0
2019-06-30 01:27:01,186,343,392016,392334,1425,1300,680,0
2019-06-30 01:57:01,186,344,392854,392916,1494,1214,704,0
2019-06-30 02:27:02,188,347,393688,393569,1614,1231,713,0
2019-06-30 02:58:01,188,347,394514,394269,1636,1339,713,0
2019-06-30 03:28:01,187,347,395425,394947,1664,1340,726,0
2019-06-30 03:58:01,187,347,396156,395543,1636,1246,739,0
2019-06-30 04:28:01,186,344,396832,396097,1473,1214,767,0
2019-06-30 04:58:01,187,346,397717,396796,1612,1313,768,0
2019-06-30 05:28:01,187,347,398369,397341,1544,1257,810,0
2019-06-30 05:58:01,189,346,399096,398056,1326,1229,846,0
2019-06-30 06:28:01,185,351,399923,398802,1574,1474,902,0
2019-06-30 06:58:01,187,350,400894,399526,1807,1475,919,0
2019-06-30 07:28:01,186,350,402029,400412,2074,1591,976,0
2019-06-30 07:58:01,188,347,402958,401089,2089,1587,1021,0
2019-06-30 08:28:01,185,348,403838,401760,1804,1319,1034,0
2019-06-30 08:58:01,187,347,404922,402499,1987,1408,1032,0
2019-06-30 09:28:01,188,345,405827,403283,1945,1479,1027,0
2019-06-30 09:58:01,187,344,406847,404059,1922,1546,1052,0
2019-06-30 10:28:01,191,344,407734,404841,1957,1580,1080,0
2019-06-30 10:58:01,191,347,408661,405665,1816,1608,1112,0
2019-06-30 11:28:01,190,344,409653,406475,1899,1619,1171,0
2019-06-30 11:58:01,185,347,410629,407330,2004,1676,1219,0
2019-06-30 12:28:01,185,347,411789,408166,2178,1724,1227,0
2019-06-30 12:58:02,180,348,412759,408912,2113,1555,1246,0
2019-06-30 13:29:01,180,354,414033,409804,2246,1650,1235,0
2019-06-30 13:59:01,177,356,415466,410709,2692,1790,1206,0
2019-06-30 14:29:01,177,359,416607,411488,2553,1667,1121,0
2019-06-30 14:59:01,178,360,417580,412284,2169,1581,1045,0
2019-06-30 15:29:01,177,363,418475,413132,1900,1675,988,0
2019-06-30 15:59:01,179,360,419506,414083,1933,1814,968,0
2019-06-30 16:29:01,177,361,420296,414894,1785,1758,888,0
2019-06-30 16:59:01,178,362,420988,415449,1505,1386,876,0
2019-06-30 17:29:01,176,365,421805,416106,1529,1242,860,0
2019-06-30 17:59:01,173,365,422535,416689,1507,1221,858,0
2019-06-30 18:29:01,175,366,423291,417317,1487,1212,831,0
2019-06-30 18:59:01,178,365,424092,417931,1541,1247,852,0
2019-06-30 19:29:01,179,358,424720,418510,1420,1199,831,0
2019-06-30 19:59:01,180,358,425447,419189,1424,1298,786,0
2019-06-30 20:29:01,184,353,426215,419819,1510,1313,762,0
2019-06-30 20:59:01,185,352,426983,420395,1512,1168,725,0
2019-06-30 21:29:01,186,347,427828,421068,1578,1249,660,0
2019-06-30 21:59:01,186,349,428436,421612,1487,1243,620,0
2019-06-30 22:29:01,187,351,428980,422106,1153,1048,591,0
2019-06-30 22:59:01,189,351,429526,422562,1020,900,579,0
2019-06-30 23:29:01,190,349,429977,422978,1002,877,537,0
2019-06-30 23:59:01,189,347,430518,423382,1020,846,509,0
2019-07-01 00:29:01,186,346,431127,423811,1135,821,469,0
2019-07-01 00:59:01,185,348,431531,424098,1008,714,472,0
2019-07-01 01:29:01,182,349,431870,424362,727,545,452,0
2019-07-01 01:59:02,183,350,432226,424677,689,575,445,0
2019-07-01 02:30:01,183,353,432548,424995,676,635,448,0
2019-07-01 03:00:01,184,355,432872,425293,637,613,447,0
2019-07-01 03:30:01,184,357,433151,425579,573,571,462,0
2019-07-01 04:00:01,183,356,433461,425894,582,597,480,0
2019-07-01 04:30:01,183,357,433765,426236,625,666,504,0
2019-07-01 05:00:01,183,355,434223,426671,759,754,530,0
2019-07-01 05:30:01,181,353,434604,426996,841,760,577,0
2019-07-01 06:00:01,184,356,435113,427460,879,795,617,0
2019-07-01 06:30:01,184,355,435691,427993,1111,974,657,0
2019-07-01 07:00:01,185,354,436191,428441,1151,1044,660,0
2019-07-01 07:30:01,184,354,436830,428982,1195,1040,673,0
2019-07-01 08:00:02,185,353,437382,429514,1149,1066,698,0
2019-07-01 08:31:01,182,355,437952,430035,1051,1006,737,0
2019-07-01 09:01:01,181,354,438652,430678,1289,1164,772,0
2019-07-01 09:31:01,183,354,439471,431527,1511,1485,825,0
2019-07-01 10:01:02,184,353,440158,432253,1478,1541,881,0
2019-07-01 10:32:01,181,354,441302,433418,1756,1822,929,0
2019-07-01 11:02:01,182,357,442327,434345,2107,2001,969,0
2019-07-01 11:32:01,182,356,443281,435452,2051,2086,1052,0
2019-07-01 12:02:01,181,358,444576,436767,2300,2462,1038,0
2019-07-01 12:32:01,178,358,445510,437853,2237,2385,1045,0
2019-07-01 13:02:01,177,358,446338,438742,1924,2118,1065,0
2019-07-01 13:32:01,176,357,447441,439661,2002,1874,1075,0
2019-07-01 14:02:01,179,358,448550,440742,2145,1943,1023,0
2019-07-01 14:32:01,180,353,449508,441696,2011,1967,968,0
2019-07-01 15:02:01,180,354,450368,442585,1840,1905,0,0
2019-07-01 15:32:01,180,353,451393,443700,1904,1951,884,0
2019-07-01 16:02:01,182,353,452092,444305,1745,1737,866,0
2019-07-01 16:32:01,182,352,452934,445035,1608,1418,846,0
2019-07-01 17:02:01,183,354,453777,445670,1649,1302,789,0
2019-07-01 17:32:02,184,354,454589,446245,1636,1209,783,0
2019-07-01 18:03:02,184,354,455333,446869,1555,1187,787,0
2019-07-01 18:34:01,186,354,456331,447563,1528,1158,806,0
2019-07-01 19:04:01,190,353,457053,448242,1541,1255,811,0
2019-07-01 19:34:01,190,353,457673,448764,1342,1204,796,0
2019-07-01 20:04:01,191,352,458460,449342,1407,1105,755,0
2019-07-01 20:34:01,192,352,459215,449953,1545,1202,720,0
2019-07-01 21:04:01,193,354,459807,450467,1351,1122,689,0
2019-07-01 21:34:01,192,353,460359,451062,1145,1113,626,0
2019-07-01 22:04:01,194,351,460881,451549,1074,1085,579,0
2019-07-01 22:34:01,195,349,461267,451901,911,846,449,0
2019-07-01 23:04:01,197,347,461547,452148,663,598,417,0
2019-07-01 23:34:01,201,347,461914,452492,649,587,429,0
2019-07-02 00:04:01,199,349,462233,452774,690,634,417,0
2019-07-02 00:34:01,198,347,462648,453161,742,677,428,0
2019-07-02 01:04:01,198,346,463072,453513,838,741,426,0
2019-07-02 01:34:01,197,348,463374,453794,727,636,404,0
2019-07-02 02:04:01,196,349,463761,454106,689,594,437,0
2019-07-02 02:34:01,195,347,464325,454470,956,679,459,0
2019-07-02 03:04:01,196,345,464773,454898,1012,794,435,0
2019-07-02 03:34:01,195,345,465216,455258,891,789,453,0
2019-07-02 04:04:01,193,345,465708,455644,950,748,472,0
2019-07-02 04:34:01,191,345,466249,456071,1034,809,484,0
2019-07-02 05:04:01,192,348,466803,456518,1114,883,503,0
2019-07-02 05:34:01,192,350,467372,457069,1179,1033,546,0
2019-07-02 06:04:01,193,348,468012,457651,1212,1135,578,0
2019-07-02 06:34:01,195,348,468678,458300,1303,1232,608,0
2019-07-02 07:04:01,196,346,469250,458950,1225,1283,624,0
2019-07-02 07:34:01,197,345,469831,459634,1161,1356,665,0
2019-07-02 08:04:01,196,345,470368,460169,1129,1244,700,0
2019-07-02 08:34:01,193,346,471289,460770,1490,1160,703,0
2019-07-02 09:04:02,194,348,472050,461345,1642,1166,707,0
2019-07-02 09:35:01,195,344,472632,461893,1316,1125,706,0
2019-07-02 10:05:01,191,344,473243,462415,1165,1043,759,0
2019-07-02 10:35:01,194,344,473795,462946,1185,1054,804,0
2019-07-02 11:05:02,195,345,474435,463577,1213,1182,840,0
2019-07-02 11:35:02,197,345,475150,464332,1362,1394,916,0
2019-07-02 12:06:01,198,343,475861,465027,1430,1434,978,0
2019-07-02 12:36:01,195,342,476732,465857,1610,1553,987,0
2019-07-02 13:06:01,194,344,477362,466569,1551,1597,951,0
2019-07-02 13:36:01,194,344,478317,467553,1566,1680,929,0
2019-07-02 14:06:02,193,342,479313,468662,1940,2063,910,0
2019-07-02 14:37:01,193,340,480004,469447,1683,1883,826,0
2019-07-02 15:07:01,187,339,480663,470139,1335,1445,781,0
2019-07-02 15:37:01,187,340,481461,470929,1479,1491,776,0
2019-07-02 16:07:01,185,344,482185,471668,1510,1538,727,0
2019-07-02 16:37:02,185,345,482875,472399,1443,1514,676,0
2019-07-02 17:08:01,189,342,483728,473163,1490,1424,663,0
2019-07-02 17:38:01,185,345,484421,473901,1480,1413,648,0
2019-07-02 18:08:01,186,344,485158,474553,1415,1369,678,0
2019-07-02 18:38:01,185,346,485806,475192,1404,1312,660,0
2019-07-02 19:08:01,184,345,486622,475880,1517,1382,669,0
2019-07-02 19:38:02,188,345,487603,476702,1878,1555,651,0
2019-07-02 20:09:01,182,350,488377,477392,1698,1471,645,0
2019-07-02 20:39:01,177,350,489159,478053,1474,1307,617,0
2019-07-02 21:09:01,179,346,489917,478590,1578,1229,597,0
2019-07-02 21:39:01,178,345,490474,479238,1363,1224,558,0
2019-07-02 22:09:01,174,347,490945,479716,988,1071,478,0
2019-07-02 22:39:01,173,344,491343,480162,797,852,448,0
2019-07-02 23:09:01,172,345,491628,480436,703,742,435,0
2019-07-02 23:39:01,172,347,491988,480765,666,652,398,0
2019-07-03 00:09:01,178,349,492365,481103,726,650,371,0
2019-07-03 00:39:01,178,348,492793,481475,768,663,339,0
2019-07-03 01:09:01,176,348,493099,481729,670,590,353,0
2019-07-03 01:39:02,175,353,493291,481977,512,516,354,0
2019-07-03 02:09:02,176,350,493545,482216,443,476,372,0
2019-07-03 02:40:01,177,347,493830,482505,542,516,381,0
2019-07-03 03:10:01,175,347,494082,482759,564,579,403,0
2019-07-03 03:40:01,175,347,494431,483118,619,632,412,0
2019-07-03 04:10:02,174,351,494626,483320,520,537,436,0
2019-07-03 04:41:01,174,352,494961,483675,547,560,454,0
2019-07-03 05:11:02,173,351,495269,483995,601,658,506,0
2019-07-03 05:42:01,175,354,495712,484399,771,731,539,0
