Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers
2020-04-25 08:14:01,102,98,18,6,0,1,764
2020-04-25 08:44:01,158,154,844,930,192,207,862
2020-04-25 09:14:01,162,157,1683,1790,1665,1784,934
2020-04-25 09:44:02,163,158,2535,2639,1637,1679,913
2020-04-25 10:15:01,162,159,3347,3417,1664,1627,882
2020-04-25 10:45:01,164,159,4153,4236,1618,1597,840
2020-04-25 11:15:01,164,159,4898,5073,1551,1656,820
2020-04-25 11:45:01,164,159,5734,5906,1581,1670,792
2020-04-25 12:15:02,165,158,6676,6907,1779,1835,739
2020-04-25 12:45:02,164,158,7393,7756,1635,1820,735
2020-04-25 13:16:01,165,158,8179,8662,1504,1756,706
2020-04-25 13:46:02,165,157,9041,9599,1672,1868,685
2020-04-25 14:17:01,165,157,10023,10555,1799,1846,632
2020-04-25 14:47:01,165,157,10815,11507,1719,1891,585
2020-04-25 15:17:01,165,157,11638,12344,1616,1790,593
2020-04-25 15:47:01,165,157,12273,13061,1458,1554,568
2020-04-25 16:17:01,165,157,12931,13741,1287,1346,541
2020-04-25 16:47:01,164,159,13466,14395,1140,1303,499
2020-04-25 17:17:01,164,159,14030,14970,1144,1280,462
2020-04-25 17:47:01,164,159,14472,15477,1029,1104,452
2020-04-25 18:17:01,164,158,14991,15958,962,990,455
2020-04-25 18:47:01,164,158,15582,16477,1110,1000,459
2020-04-25 19:17:01,162,159,16099,16946,1133,1009,453
2020-04-25 19:47:01,162,159,16624,17372,1042,895,442
2020-04-25 20:17:01,161,160,17129,17802,1041,894,433
2020-04-25 20:47:01,161,160,17539,18232,915,860,437
2020-04-25 21:17:01,161,161,18013,18612,845,798,419
2020-04-25 21:47:01,160,162,18448,19013,898,750,393
2020-04-25 22:17:01,160,162,18806,19374,793,762,371
2020-04-25 22:47:01,159,162,19162,19668,700,637,372
2020-04-25 23:17:01,159,163,19454,19986,642,612,353
2020-04-25 23:47:01,159,163,19789,20240,620,532,316
2020-04-26 00:17:01,159,162,20087,20508,633,522,311
2020-04-26 00:47:01,159,162,20358,20764,569,524,318
2020-04-26 01:17:01,159,162,20677,21072,578,554,321
2020-04-26 01:47:01,159,162,20978,21337,607,562,325
2020-04-26 02:17:01,159,162,21289,21618,612,547,356
2020-04-26 02:47:01,160,162,21615,21903,647,567,356
2020-04-26 03:17:02,159,162,21995,22215,684,566,373
2020-04-26 03:48:01,159,163,22388,22588,742,670,396
2020-04-26 04:18:01,159,163,22807,22943,816,731,400
2020-04-26 04:48:01,159,163,23147,23323,766,745,412
2020-04-26 05:18:01,159,162,23553,23702,703,720,427
2020-04-26 05:48:01,158,162,23958,24028,811,704,454
2020-04-26 06:18:02,158,162,24363,24422,766,696,446
2020-04-26 06:49:01,158,162,24891,24893,942,859,501
2020-04-26 07:19:01,158,162,25431,25369,1071,947,525
2020-04-26 07:49:01,158,162,25999,25878,1091,974,584
2020-04-26 08:19:01,158,163,26616,26432,1172,1041,612
2020-04-26 08:49:01,158,163,27214,26928,1143,947,612
2020-04-26 09:19:02,158,163,27921,27501,1289,1069,647
2020-04-26 09:50:01,158,163,28652,28082,1438,1154,620
2020-04-26 10:20:01,158,163,29299,28671,1349,1149,621
2020-04-26 10:50:02,158,163,29926,29180,1274,1098,644
2020-04-26 11:21:01,158,163,30719,29874,1189,1029,657
2020-04-26 11:51:01,158,163,31357,30427,1253,1062,634
2020-04-26 12:21:01,158,163,32054,31003,1335,1129,646
2020-04-26 12:51:01,158,163,32729,31579,1374,1152,651
2020-04-26 13:21:01,158,163,33412,32127,1359,1125,613
2020-04-26 13:51:01,158,163,34091,32679,1362,1105,566
2020-04-26 14:21:01,158,163,34679,33176,1270,1053,535
2020-04-26 14:51:01,157,164,35153,33572,1068,897,501
2020-04-26 15:21:01,156,164,35611,33919,934,744,465
2020-04-26 15:51:01,156,164,36127,34384,974,814,440
2020-04-26 16:21:01,156,164,36575,34754,964,835,441
2020-04-26 16:51:01,154,165,36991,35093,869,709,433
2020-04-26 17:21:01,154,165,37287,35339,714,585,403
2020-04-26 17:51:02,154,165,37606,35609,643,518,420
2020-04-26 18:22:01,152,166,37876,35878,589,539,425
2020-04-26 18:52:01,152,167,38085,36115,479,506,412
2020-04-26 19:22:01,152,167,38383,36380,508,504,393
2020-04-26 19:52:01,152,167,38711,36707,626,593,368
2020-04-26 20:22:01,152,167,39107,36978,724,601,354
2020-04-26 20:52:02,152,167,39423,37184,712,477,324
2020-04-26 21:22:02,151,168,39632,37366,526,390,299
2020-04-26 21:53:01,151,168,39833,37544,413,362,282
2020-04-26 22:23:01,151,168,40096,37742,470,377,274
2020-04-26 22:53:01,151,168,40364,37926,530,383,263
2020-04-26 23:23:01,151,168,40589,38114,494,374,273
2020-04-26 23:53:01,151,168,40817,38275,442,346,252
2020-04-27 00:23:01,151,168,41019,38433,429,320,234
2020-04-27 00:53:01,151,168,41214,38584,383,310,236
2020-04-27 01:23:01,151,168,41418,38751,400,318,243
2020-04-27 01:53:01,151,168,41609,38925,395,341,235
2020-04-27 02:23:01,151,168,41821,39103,405,361,254
2020-04-27 02:53:01,151,169,42085,39331,476,406,277
2020-04-27 03:23:01,151,170,42323,39582,502,486,282
2020-04-27 03:53:01,151,171,42565,39787,480,456,289
2020-04-27 04:23:01,151,171,42766,39976,443,395,283
2020-04-27 04:53:01,151,172,42963,40210,388,419,312
2020-04-27 05:23:01,151,172,43193,40454,457,508,322
2020-04-27 05:53:01,151,174,43403,40710,440,500,325
2020-04-27 06:23:01,151,176,43746,40970,555,519,356
2020-04-27 06:53:01,151,176,44092,41254,689,544,378
2020-04-27 07:23:01,151,176,44411,41624,664,655,410
2020-04-27 07:53:01,151,176,44835,41992,743,736,435
2020-04-27 08:23:01,151,176,45274,42340,865,718,453
2020-04-27 08:53:01,151,176,45679,42693,844,701,446
2020-04-27 09:23:01,151,176,46071,43015,798,675,442
2020-04-27 09:53:02,151,176,46460,43366,782,661,465
2020-04-27 10:24:01,151,176,46883,43801,814,786,480
2020-04-27 10:54:01,151,176,47332,44172,855,797,513
2020-04-27 11:24:01,151,176,47833,44580,978,802,566
2020-04-27 11:54:01,151,176,48408,45071,1105,937,607
2020-04-27 12:24:01,151,176,49086,45471,1266,885,633
2020-04-27 12:54:01,151,176,49696,46005,1288,934,636
2020-04-27 13:24:01,151,176,50365,46618,1279,1154,577
2020-04-27 13:54:01,151,176,50919,47126,1223,1121,549
2020-04-27 14:24:01,151,176,51428,47469,1079,865,511
2020-04-27 14:54:01,151,176,51935,47864,992,744,502
2020-04-27 15:24:01,151,176,52489,48251,1062,786,476
2020-04-27 15:54:01,151,176,52944,48628,1009,764,440
2020-04-27 16:24:01,151,176,53347,49001,861,751,412
2020-04-27 16:54:01,151,176,53723,49361,765,731,390
2020-04-27 17:24:01,151,176,54156,49732,815,733,394
2020-04-27 17:54:01,151,176,54532,50067,790,691,393
2020-04-27 18:24:01,151,176,54888,50372,716,623,381
2020-04-27 18:54:01,151,176,55173,50602,607,493,386
2020-04-27 19:24:01,151,176,55475,50845,596,476,392
2020-04-27 19:54:02,151,176,55706,51060,533,458,402
2020-04-27 20:25:02,151,176,56001,51286,544,460,398
2020-04-27 20:56:01,151,176,56403,51596,697,538,380
2020-04-27 21:26:01,151,176,56776,51865,767,577,359
2020-04-27 21:56:02,151,176,57068,52107,669,513,346
2020-04-27 22:27:01,151,176,57421,52359,705,525,316
2020-04-27 22:57:01,151,176,57705,52578,597,472,282
2020-04-27 23:27:01,151,176,58008,52742,557,380,283
2020-04-27 23:57:01,151,176,58298,52963,564,365,287
2020-04-28 00:27:01,151,176,58558,53172,584,458,264
2020-04-28 00:57:01,151,176,58759,53377,463,416,264
2020-04-28 01:27:01,151,176,58963,53560,404,391,254
2020-04-28 01:57:01,151,176,59106,53706,347,329,237
2020-04-28 02:27:01,151,176,59272,53823,311,264,256
2020-04-28 02:57:02,151,176,59431,53963,325,257,265
2020-04-28 03:28:01,151,176,59604,54123,335,300,289
2020-04-28 03:58:01,151,176,59832,54280,401,317,318
2020-04-28 04:28:01,151,176,60105,54484,504,353,323
2020-04-28 04:58:01,151,176,60369,54721,537,441,351
2020-04-28 05:28:01,151,176,60666,54928,542,422,349
2020-04-28 05:58:01,151,176,60965,55198,596,478,362
2020-04-28 06:28:01,151,176,61285,55461,623,539,405
2020-04-28 06:58:01,151,176,61616,55758,651,560,399
2020-04-28 07:28:01,151,176,61970,56074,696,629,392
2020-04-28 07:58:01,151,176,62193,56320,546,525,420
2020-04-28 08:28:01,151,176,62503,56631,517,549,437
2020-04-28 08:58:01,152,175,62896,56977,703,657,465
2020-04-28 09:28:02,152,174,63201,57258,662,591,484
2020-04-28 09:59:01,152,175,63532,57546,615,523,522
2020-04-28 10:29:01,153,173,63938,57931,752,683,532
2020-04-28 10:59:01,152,172,64387,58337,823,767,525
2020-04-28 11:29:01,152,174,64808,58719,887,805,551
2020-04-28 11:59:01,152,174,65232,59084,851,752,574
2020-04-28 12:29:01,152,174,65697,59572,846,809,599
2020-04-28 12:59:01,153,173,66170,59968,884,792,578
2020-04-28 13:29:01,154,172,66564,60386,801,763,570
2020-04-28 13:59:01,154,172,67041,60931,872,963,519
