Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,ColonialCasualityRateHr,SteamPlayers
2019-12-31 08:47:01,160,126,192,182,18,0,0/hr,1365
2019-12-31 09:17:01,183,188,1383,1394,1383,1394,1394/hr,1496
2019-12-31 09:47:01,189,187,2880,2787,2684,2602,2602/hr,1539
2019-12-31 10:17:01,193,189,4281,4115,2794,2620,2620/hr,1495
2019-12-31 10:47:01,195,191,5992,5699,3051,2868,2868/hr,1443
2019-12-31 11:17:01,197,191,7607,7251,3333,3141,3141/hr,1322
2019-12-31 11:47:01,196,192,9208,8890,3210,3203,3203/hr,1264
2019-12-31 12:17:01,195,194,10701,10389,3046,3055,3055/hr,1191
2019-12-31 12:47:01,195,195,12157,11795,2918,2900,2900/hr,1120
2019-12-31 13:17:01,195,195,13441,13080,2740,2691,2691/hr,1102
2019-12-31 13:47:01,195,194,14830,14309,2673,2514,2514/hr,1086
2019-12-31 14:17:01,197,192,16091,15513,2677,2461,2461/hr,1060
2019-12-31 14:47:01,196,192,17482,17058,2665,2752,2752/hr,1066
2019-12-31 15:17:01,195,191,18777,18330,2659,2807,2807/hr,1008
2019-12-31 15:47:01,198,191,19980,19669,2462,2574,2574/hr,990
2019-12-31 16:17:01,199,189,21121,20706,2279,2295,2295/hr,969
2019-12-31 16:47:01,201,187,22259,21653,2267,1944,1944/hr,918
2019-12-31 17:17:01,202,186,23347,22692,2197,1957,1957/hr,892
2019-12-31 17:47:01,201,185,24243,23517,2064,1931,1931/hr,878
2019-12-31 18:17:02,202,186,25255,24513,1990,1880,1880/hr,888
2019-12-31 18:48:01,201,185,26206,25595,1964,2080,2080/hr,935
2019-12-31 19:18:01,199,186,27237,26707,1978,2161,2161/hr,938
2019-12-31 19:48:01,199,186,28322,27901,2067,2291,2291/hr,950
2019-12-31 20:18:01,200,185,29451,29089,2161,2334,2334/hr,948
2019-12-31 20:48:01,201,184,30437,30121,2081,2159,2159/hr,930
2019-12-31 21:18:01,202,184,31250,31137,1801,2058,2058/hr,935
2019-12-31 21:48:01,201,184,32213,32224,1775,2095,2095/hr,935
2019-12-31 22:18:01,201,183,33199,33193,1929,2037,2037/hr,896
2019-12-31 22:48:01,202,182,34099,34084,1761,1724,1724/hr,914
2019-12-31 23:18:01,200,185,34956,34982,1779,1807,1807/hr,889
2019-12-31 23:48:01,200,185,35871,35866,1774,1783,1783/hr,887
2020-01-01 00:18:01,200,181,36769,36805,1846,1856,1856/hr,896
2020-01-01 00:48:01,202,181,37728,37826,1811,1937,1937/hr,874
2020-01-01 01:18:01,197,182,38558,38525,1743,1657,1657/hr,854
2020-01-01 01:48:01,196,185,39319,39317,1592,1491,1491/hr,844
2020-01-01 02:18:01,196,184,40171,40155,1613,1630,1630/hr,870
2020-01-01 02:48:01,195,184,41077,40958,1758,1647,1647/hr,928
2020-01-01 03:18:01,197,184,41973,41846,1729,1622,1622/hr,984
2020-01-01 03:48:01,196,185,42673,42777,1597,1820,1820/hr,1068
2020-01-01 04:18:01,195,185,43358,43689,1359,1832,1832/hr,1092
2020-01-01 04:48:01,194,184,44280,44906,1570,2054,2054/hr,1137
2020-01-01 05:18:01,194,185,45288,46089,2011,2493,2493/hr,1199
2020-01-01 05:48:01,192,187,46512,47521,2237,2601,2601/hr,1276
2020-01-01 06:18:01,192,186,47707,48819,2369,2696,2696/hr,1324
2020-01-01 06:48:01,192,186,48963,50435,2379,2853,2853/hr,1348
2020-01-01 07:18:02,192,184,50187,52257,2456,3433,3433/hr,1303
2020-01-01 07:49:01,192,184,51412,54058,2304,3410,3410/hr,1250
2020-01-01 08:19:01,191,184,52498,55381,2139,2881,2881/hr,1198
2020-01-01 08:49:01,194,183,53458,56621,2023,2497,2497/hr,1180
2020-01-01 09:19:01,196,180,54537,57721,2039,2341,2341/hr,1161
2020-01-01 09:49:01,197,177,55525,58873,2080,2277,2277/hr,1163
2020-01-01 10:19:01,197,176,56611,60203,2024,2450,2450/hr,1243
2020-01-01 10:49:01,198,175,57850,61734,2343,2883,2883/hr,1247
2020-01-01 11:19:01,200,172,58900,63181,2289,2978,2978/hr,1239
2020-01-01 11:49:01,200,173,60063,64478,2200,2720,2720/hr,1253
2020-01-01 12:19:01,202,173,61140,65809,2211,2588,2588/hr,1302
2020-01-01 12:49:01,205,169,62136,67029,2073,2551,2551/hr,1309
2020-01-01 13:19:01,204,169,63146,68154,1957,2299,2299/hr,1297
2020-01-01 13:49:01,204,169,64135,69292,2000,2265,2265/hr,1285
2020-01-01 14:19:01,206,168,65174,70361,2045,2224,2224/hr,1302
2020-01-01 14:49:01,205,167,66364,71626,2252,2369,2369/hr,1264
2020-01-01 15:19:01,206,166,67553,72783,2403,2476,2476/hr,1244
2020-01-01 15:49:01,206,166,68638,73833,2226,2172,2172/hr,1181
2020-01-01 16:19:01,205,166,69598,74917,2038,2121,2121/hr,1158
2020-01-01 16:49:01,206,166,70697,76135,2075,2331,2331/hr,1163
2020-01-01 17:19:01,207,165,71760,77415,2188,2527,2527/hr,1112
2020-01-01 17:49:01,206,165,72766,78589,2030,2441,2441/hr,1083
2020-01-01 18:19:01,206,165,73668,79584,1950,2189,2189/hr,1084
2020-01-01 18:49:01,206,161,74534,80616,1775,2016,2016/hr,1069
2020-01-01 19:19:01,208,159,75411,81602,1764,2031,2031/hr,1025
2020-01-01 19:49:01,206,159,76272,82549,1771,1973,1973/hr,1015
2020-01-01 20:19:01,208,158,77210,83512,1789,1908,1908/hr,1028
2020-01-01 20:49:01,206,157,78264,84528,1994,1981,1981/hr,980
2020-01-01 21:19:01,210,157,79078,85442,1868,1933,1933/hr,947
2020-01-01 21:49:01,212,156,79754,86412,1490,1884,1884/hr,888
2020-01-01 22:19:01,212,156,80486,87533,1408,2091,2091/hr,787
2020-01-01 22:49:01,213,156,81169,88428,1469,2119,2119/hr,787
2020-01-01 23:19:01,213,156,81866,89310,1382,1777,1777/hr,803
2020-01-01 23:49:01,213,156,82664,90176,1495,1746,1746/hr,768
2020-01-02 00:19:01,213,155,83301,91018,1435,1707,1707/hr,751
2020-01-02 00:49:01,198,154,84018,91889,1325,1692,1692/hr,743
2020-01-02 01:19:01,212,157,84647,92690,1346,1672,1672/hr,760
2020-01-02 01:49:01,211,157,85271,93374,1234,1423,1423/hr,733
2020-01-02 02:19:01,210,158,85811,94029,1164,1339,1339/hr,766
2020-01-02 02:49:01,211,156,86337,94649,1064,1284,1284/hr,800
2020-01-02 03:19:01,212,156,86944,95350,1138,1327,1327/hr,808
2020-01-02 03:49:01,219,158,87691,96143,1346,1470,1470/hr,848
2020-01-02 04:19:01,217,157,88463,97078,1520,1722,1722/hr,873
2020-01-02 04:49:01,218,157,89262,98215,1472,2031,2031/hr,914
2020-01-02 05:19:01,220,158,90060,99261,1575,2173,2173/hr,959
2020-01-02 05:49:01,219,161,91028,100540,1750,2242,2242/hr,969
2020-01-02 06:19:01,215,161,91968,101570,1819,2202,2202/hr,998
2020-01-02 06:49:01,220,161,92888,102675,1860,2129,2129/hr,1020
2020-01-02 07:19:01,220,163,93761,103668,1793,2098,2098/hr,1029
2020-01-02 07:49:01,217,165,94706,104715,1761,2017,2017/hr,1037
2020-01-02 08:19:01,217,163,95651,105703,1837,1969,1969/hr,1027
2020-01-02 08:49:01,217,162,96572,106642,1812,1845,1845/hr,1019
2020-01-02 09:19:01,217,161,97427,107673,1783,1974,1974/hr,1030
2020-01-02 09:49:02,218,161,98386,108882,1842,2272,2272/hr,1035
2020-01-02 10:20:01,220,160,99337,109871,1926,2225,2225/hr,1032
2020-01-02 10:50:01,219,161,100307,110777,1926,1896,1896/hr,1074
2020-01-02 11:20:01,222,161,101261,111710,1853,1762,1762/hr,1119
2020-01-02 11:50:01,222,162,102260,112663,1960,1894,1894/hr,1177
2020-01-02 12:20:01,220,163,103097,113614,1860,1932,1932/hr,1172
