Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,ColonialCasualityRateHr,SteamPlayers
2019-05-04 08:05:01,77,79,0,0,0,0,0/hr,439
2019-05-04 08:10:01,77,79,0,0,0,0,0/hr,481
2019-05-04 08:15:01,77,79,1,0,0,0,0/hr,507
2019-05-04 08:20:01,77,79,1,0,0,0,0/hr,546
2019-05-04 08:25:01,77,79,99,83,0,0,0/hr,550
2019-05-04 08:30:01,79,79,147,125,0,0,0/hr,558
2019-05-04 08:35:01,79,79,203,194,0,0,0/hr,573
2019-05-04 08:40:01,79,80,255,222,0,0,0/hr,574
2019-05-04 08:45:01,79,80,330,326,0,0,0/hr,585
2019-05-04 08:50:01,81,80,350,351,0,0,0/hr,596
2019-05-04 08:55:01,81,80,424,409,0,0,0/hr,607
2019-05-04 09:00:01,81,81,450,442,0,0,0/hr,616
2019-05-04 09:05:01,80,81,574,541,574,541,541/hr,618
2019-05-04 09:10:01,81,81,665,659,665,659,659/hr,628
2019-05-04 09:15:01,81,81,714,727,713,727,727/hr,623
2019-05-04 09:20:01,82,82,847,875,846,875,875/hr,619
2019-05-04 09:25:01,83,82,898,950,799,867,867/hr,623
2019-05-04 09:30:01,84,82,962,1064,815,939,939/hr,618
2019-05-04 09:35:01,85,82,1001,1111,798,917,917/hr,625
2019-05-04 09:40:01,86,82,1049,1164,794,942,942/hr,626
2019-05-04 09:45:01,86,82,1140,1263,810,937,937/hr,624
2019-05-04 09:50:01,88,83,1228,1368,878,1017,1017/hr,614
2019-05-04 09:55:01,88,83,1289,1448,865,1039,1039/hr,604
2019-05-04 10:00:01,88,84,1346,1505,896,1063,1063/hr,603
2019-05-04 10:05:01,88,83,1488,1708,914,1167,1167/hr,604
2019-05-04 10:10:01,88,83,1572,1817,907,1158,1158/hr,607
2019-05-04 10:15:01,88,83,1619,1874,905,1147,1147/hr,597
2019-05-04 10:20:01,88,83,1721,2009,874,1134,1134/hr,597
2019-05-04 10:25:01,88,84,1808,2144,910,1194,1194/hr,596
2019-05-04 10:30:02,88,84,1871,2239,948,1230,1230/hr,591
2019-05-04 10:35:01,88,84,2020,2379,1019,1268,1268/hr,588
2019-05-04 10:40:01,88,84,2083,2459,1034,1295,1295/hr,583
2019-05-04 10:45:01,88,83,2163,2527,1023,1264,1264/hr,592
2019-05-04 10:50:01,88,82,2212,2578,984,1210,1210/hr,596
2019-05-04 10:55:01,89,82,2399,2762,1110,1314,1314/hr,587
2019-05-04 11:00:01,89,82,2507,2895,1161,1390,1390/hr,593
2019-05-04 11:05:01,89,82,2624,3010,1136,1302,1302/hr,581
2019-05-04 11:10:01,89,82,2677,3079,1105,1262,1262/hr,593
2019-05-04 11:15:01,89,81,2799,3256,1180,1382,1382/hr,592
2019-05-04 11:20:01,90,81,2902,3371,1181,1362,1362/hr,581
2019-05-04 11:25:01,90,81,2986,3432,1178,1288,1288/hr,581
2019-05-04 11:30:01,89,81,3073,3538,1202,1299,1299/hr,587
2019-05-04 11:35:01,89,81,3134,3617,1114,1238,1238/hr,579
2019-05-04 11:40:02,89,81,3143,3641,1068,1214,1214/hr,590
2019-05-04 11:45:01,89,81,3282,3853,1119,1326,1326/hr,582
2019-05-04 11:50:02,89,80,3319,3892,1004,1232,1232/hr,580
2019-05-04 11:55:02,89,80,3400,4034,974,1241,1241/hr,577
2019-05-04 12:00:01,89,81,3490,4124,983,1229,1229/hr,579
2019-05-04 12:05:01,89,81,3535,4195,911,1185,1185/hr,569
2019-05-04 12:10:01,90,80,3615,4286,938,1207,1207/hr,573
2019-05-04 12:15:01,90,81,3667,4349,868,1093,1093/hr,557
2019-05-04 12:20:01,90,81,3709,4409,807,1038,1038/hr,558
2019-05-04 12:25:01,90,81,3781,4484,795,1052,1052/hr,556
2019-05-04 12:30:01,90,81,3842,4530,769,992,992/hr,548
2019-05-04 12:35:01,91,81,3909,4614,775,997,997/hr,550
2019-05-04 12:40:01,91,80,3998,4718,855,1077,1077/hr,555
2019-05-04 12:45:01,91,80,4045,4773,763,920,920/hr,560
2019-05-04 12:50:01,91,80,4145,4924,826,1032,1032/hr,565
2019-05-04 12:55:01,91,79,4236,5081,836,1047,1047/hr,569
2019-05-04 13:00:02,91,79,4309,5187,843,1082,1082/hr,558
2019-05-04 13:05:01,91,80,4374,5295,839,1100,1100/hr,549
2019-05-04 13:10:01,91,80,4432,5359,817,1073,1073/hr,543
2019-05-04 13:15:01,91,80,4513,5483,846,1134,1134/hr,555
2019-05-04 13:20:01,91,80,4642,5635,933,1226,1226/hr,557
2019-05-04 13:25:01,91,80,4705,5722,924,1238,1238/hr,557
2019-05-04 13:30:01,91,80,4812,5850,970,1320,1320/hr,559
2019-05-04 13:35:01,91,80,4912,5966,1003,1352,1352/hr,548
2019-05-04 13:40:01,91,80,4930,5984,932,1266,1266/hr,552
2019-05-04 13:45:01,91,80,5142,6203,1097,1430,1430/hr,560
2019-05-04 13:50:01,91,80,5218,6287,1073,1363,1363/hr,557
2019-05-04 13:55:01,91,80,5339,6414,1103,1333,1333/hr,553
2019-05-04 14:00:01,91,80,5415,6509,1106,1322,1322/hr,541
2019-05-04 14:05:01,91,81,5641,6786,1267,1491,1491/hr,528
2019-05-04 14:10:01,91,81,5727,6872,1295,1513,1513/hr,529
2019-05-04 14:15:01,91,81,5824,6965,1311,1482,1482/hr,507
2019-05-04 14:20:01,91,81,5951,7113,1309,1478,1478/hr,507
2019-05-04 14:25:01,91,81,6009,7170,1304,1448,1448/hr,508
2019-05-04 14:30:01,91,81,6036,7207,1224,1357,1357/hr,492
