Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,ColonialCasualityRateHr,SteamPlayers
2024-10-02 05:24:01,135,252,60883,98100,301,466,466/hr,1580
2024-10-02 05:54:01,111,124,1338540,1287415,1143,1198,1198/hr,1543
2024-10-02 06:24:01,139,278,1339284,1288134,1278,1311,1311/hr,1646
2024-10-02 06:54:01,140,299,1340270,1289250,1742,1862,1862/hr,1914
2024-10-02 07:24:01,160,319,1341437,1290268,2152,2139,2139/hr,1952
2024-10-02 07:54:01,173,320,1342535,1291514,2320,2351,2351/hr,2062
2024-10-02 08:24:01,175,320,1343635,1292647,2090,2282,2282/hr,2122
2024-10-02 08:54:01,201,321,1344847,1293928,2249,2307,2307/hr,2255
2024-10-02 09:24:01,200,320,1346096,1295365,2460,2722,2722/hr,2324
2024-10-02 09:54:01,199,337,1347578,1296852,2829,3014,3014/hr,2479
2024-10-02 10:24:01,200,338,1349092,1298572,2976,3210,3210/hr,2625
2024-10-02 10:54:01,214,351,1350746,1300738,3208,3928,3928/hr,2722
2024-10-02 11:24:01,215,350,1352580,1303047,3502,4502,4502/hr,2801
2024-10-02 11:54:01,218,349,1354584,1304973,3870,4268,4268/hr,2908
2024-10-02 12:24:01,218,347,1356404,1306676,3747,3544,3544/hr,2895
2024-10-02 12:54:01,217,346,1358371,1308745,3802,3790,3790/hr,2844
2024-10-02 13:24:01,218,357,1360155,1310684,3728,3988,3988/hr,2741
2024-10-02 13:54:01,221,353,1361964,1312922,3561,4142,4142/hr,2692
2024-10-02 14:24:01,222,350,1363843,1315021,3718,4398,4398/hr,2570
2024-10-02 14:54:01,225,351,1365705,1316915,3688,3922,3922/hr,2521
2024-10-02 15:24:01,226,364,1367542,1318665,3733,3685,3685/hr,2383
2024-10-02 15:54:01,227,361,1369484,1320663,3890,3748,3748/hr,2286
2024-10-02 16:24:01,228,360,1371019,1322159,3436,3456,3456/hr,2120
2024-10-02 16:54:01,224,363,1372570,1323402,3119,2761,2761/hr,2121
2024-10-02 17:24:01,221,367,1374186,1324663,3077,2487,2487/hr,2089
2024-10-02 17:54:01,221,367,1375648,1326241,3104,2866,2866/hr,2048
2024-10-02 18:24:01,220,367,1377108,1327622,2801,2813,2813/hr,2007
2024-10-02 18:54:01,219,369,1378750,1329074,3047,2816,2816/hr,1958
2024-10-02 19:24:01,218,369,1380031,1330574,2939,2978,2978/hr,1919
2024-10-02 19:54:01,218,369,1381253,1332026,2379,2861,2861/hr,1875
2024-10-02 20:24:01,218,370,1382295,1333349,2190,2657,2657/hr,1760
2024-10-02 20:54:01,217,370,1383537,1334797,2290,2786,2786/hr,1747
2024-10-02 21:24:01,218,370,1384635,1336148,2341,2798,2798/hr,1632
2024-10-02 21:54:01,218,371,1385719,1337388,2094,2495,2495/hr,1564
2024-10-02 22:24:01,217,371,1386596,1338375,1908,2069,2069/hr,1454
2024-10-02 22:54:01,218,370,1387449,1339593,1689,2197,2197/hr,1416
2024-10-02 23:24:01,218,370,1388238,1340670,1588,2240,2240/hr,1350
2024-10-02 23:54:01,218,370,1389091,1341845,1671,2243,2243/hr,1317
2024-10-03 00:24:01,220,369,1389771,1342547,1450,1755,1755/hr,1256
2024-10-03 00:54:01,220,369,1390575,1343289,1490,1447,1447/hr,1292
2024-10-03 01:24:01,220,368,1391323,1344073,1615,1560,1560/hr,1299
2024-10-03 01:54:01,222,367,1392203,1344844,1644,1576,1576/hr,1330
2024-10-03 02:24:01,223,366,1392827,1345440,1522,1384,1384/hr,1347
2024-10-03 02:54:01,224,365,1393627,1346171,1418,1302,1302/hr,1389
2024-10-03 03:24:02,224,364,1394426,1346966,1632,1579,1579/hr,1408
2024-10-03 03:55:01,225,364,1395119,1347755,1478,1593,1593/hr,1466
2024-10-03 04:25:02,226,363,1396022,1348619,1550,1604,1604/hr,1510
2024-10-03 04:56:01,226,363,1396983,1349535,1870,1775,1775/hr,1597
2024-10-03 05:26:01,227,363,1398046,1350447,2078,1882,1882/hr,1669
2024-10-03 05:56:01,228,362,1399374,1351463,2365,1888,1888/hr,1802
2024-10-03 06:26:01,228,362,1400562,1352478,2402,1923,1923/hr,1917
2024-10-03 06:56:01,228,361,1401840,1353731,2384,2177,2177/hr,2032
2024-10-03 07:27:01,228,361,1403331,1355011,2691,2308,2308/hr,2099
2024-10-03 07:57:01,229,361,1404791,1356302,2838,2437,2437/hr,2195
2024-10-03 08:27:01,228,360,1406399,1357635,3101,2601,2601/hr,2278
2024-10-03 08:57:01,229,361,1408157,1359084,3421,2809,2809/hr,2427
2024-10-03 09:27:01,229,362,1409951,1360551,3496,2925,2925/hr,2567
2024-10-03 09:57:01,227,361,1412106,1362141,3994,3114,3114/hr,2678
2024-10-03 10:27:01,227,362,1414191,1363934,4257,3507,3507/hr,2724
2024-10-03 10:57:01,228,363,1416064,1365564,3854,3384,3384/hr,2811
2024-10-03 11:27:01,225,364,1418134,1367281,3964,3374,3374/hr,2833
2024-10-03 11:57:01,225,366,1419950,1368856,3955,3345,3345/hr,2843
2024-10-03 12:27:01,224,367,1421865,1370904,3744,3644,3644/hr,2849
2024-10-03 12:57:01,224,367,1424094,1373373,4208,4550,4550/hr,2878
2024-10-03 13:27:01,218,370,1426522,1375615,4591,4716,4716/hr,2725
2024-10-03 13:57:01,219,369,1428631,1377698,4414,4224,4224/hr,2648
2024-10-03 14:27:01,219,370,1430295,1379593,3814,4026,4026/hr,2410
2024-10-03 14:57:01,219,370,1432078,1381577,3503,3945,3945/hr,2312
2024-10-03 15:27:01,220,368,1433861,1383356,3613,3809,3809/hr,2191
2024-10-03 15:57:01,223,362,1435709,1385308,3562,3680,3680/hr,2129
2024-10-03 16:27:01,225,361,1437331,1386669,3470,3281,3281/hr,2056
2024-10-03 16:57:01,225,364,1438676,1387975,2974,2643,2643/hr,2058
2024-10-03 17:27:01,225,366,1439854,1389254,2573,2630,2630/hr,1992
2024-10-03 17:57:01,225,365,1441178,1390474,2539,2549,2549/hr,2034
2024-10-03 18:27:01,225,366,1442764,1392040,2910,2795,2795/hr,2077
2024-10-03 18:57:01,224,367,1444505,1393519,3254,3036,3036/hr,2064
2024-10-03 19:27:01,224,367,1446013,1394756,3075,2694,2694/hr,2001
2024-10-03 19:57:01,224,367,1447434,1396174,2683,2496,2496/hr,1922
2024-10-03 20:27:01,224,366,1448419,1397222,2314,2382,2382/hr,1865
2024-10-03 20:57:01,223,366,1449773,1398462,2353,2308,2308/hr,1769
2024-10-03 21:27:01,223,366,1451120,1399703,2716,2496,2496/hr,1613
2024-10-03 21:57:01,221,367,1452412,1400768,2581,2237,2237/hr,1543
2024-10-03 22:27:01,221,367,1453455,1401764,2344,2069,2069/hr,1451
2024-10-03 22:57:01,221,368,1454486,1402711,2112,1982,1982/hr,1421
2024-10-03 23:27:01,222,368,1455346,1403631,1869,1874,1874/hr,1311
2024-10-03 23:57:01,222,368,1456338,1404572,1875,1887,1887/hr,1305
2024-10-04 00:27:01,220,370,1457284,1405436,1840,1707,1707/hr,1306
2024-10-04 00:57:02,219,371,1458218,1406364,1957,1867,1867/hr,1298
2024-10-04 01:28:01,220,370,1459020,1407169,1650,1635,1635/hr,1266
2024-10-04 01:58:01,221,369,1459837,1407922,1655,1597,1597/hr,1311
