Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers,Target
2019-07-24 08:36:01,116,120,0,0,0,0,591,1
2019-07-24 09:06:01,117,126,513,455,772,755,643,1
2019-07-24 09:36:01,119,129,1131,898,1160,920,657,1
2019-07-24 10:06:01,119,139,1728,1318,1215,863,649,1
2019-07-24 10:36:01,119,144,2409,1868,1278,970,648,1
2019-07-24 11:06:01,120,142,3036,2438,1325,1134,633,1
2019-07-24 11:36:01,119,142,3777,3017,1368,1149,630,1
2019-07-24 12:06:01,121,143,4444,3637,1408,1200,642,1
2019-07-24 12:36:01,122,143,5108,4270,1331,1253,629,1
2019-07-24 13:06:01,122,142,5704,4772,1292,1171,606,1
2019-07-24 13:36:01,122,143,6222,5265,1124,1005,587,1
2019-07-24 14:06:01,95,121,6952,5959,1011,899,562,1
2019-07-24 14:36:01,95,121,7536,6377,1075,827,527,1
2019-07-24 15:06:01,95,121,8166,6824,1215,867,476,1
2019-07-24 15:36:01,95,121,8742,7351,1217,982,479,1
2019-07-24 16:06:01,95,121,9227,7769,1061,945,481,1
2019-07-24 16:36:01,99,121,9699,8323,1010,1030,466,1
2019-07-24 17:06:01,122,121,10228,8812,1001,1042,447,1
2019-07-24 17:36:01,151,129,10819,9358,1130,1043,433,1
2019-07-24 18:06:01,188,170,11305,9860,1171,1137,406,1
2019-07-24 18:36:02,209,200,11745,10315,935,965,399,1
2019-07-24 19:07:01,212,215,12199,10784,891,923,377,1
2019-07-24 19:37:01,221,219,12599,11205,810,862,380,1
2019-07-24 20:07:01,227,218,13068,11601,851,763,370,1
2019-07-24 20:37:02,228,219,13535,12074,938,893,367,1
2019-07-24 21:08:01,229,221,14003,12520,935,919,323,1
2019-07-24 21:38:02,229,221,14340,12846,768,741,295,1
2019-07-24 22:09:01,228,223,14610,13078,557,531,261,1
2019-07-24 22:39:01,227,223,14838,13331,506,488,242,1
2019-07-24 23:09:01,225,224,15076,13542,492,492,202,1
2019-07-24 23:39:01,225,223,15241,13757,355,386,206,1
2019-07-25 00:09:02,224,223,15422,13940,346,399,212,1
2019-07-25 00:40:01,226,224,15630,14158,372,370,223,1
2019-07-25 01:10:01,226,224,15795,14389,366,442,238,1
2019-07-25 01:40:02,226,223,16073,14677,458,536,232,1
2019-07-25 02:11:01,225,224,16273,14862,439,437,245,1
2019-07-25 02:41:01,226,223,16521,15107,453,435,238,1
2019-07-25 03:11:01,226,223,16751,15316,480,459,238,1
2019-07-25 03:41:01,227,222,17046,15609,526,503,255,1
2019-07-25 04:11:01,227,222,17345,15881,600,571,255,1
2019-07-25 04:41:01,228,220,17589,16072,476,400,272,1
2019-07-25 05:11:01,228,219,17879,16344,542,468,301,1
2019-07-25 05:41:01,228,222,18138,16633,586,602,311,1
2019-07-25 06:11:01,229,223,18497,16952,586,562,319,1
2019-07-25 06:41:01,232,224,18826,17261,652,602,326,1
2019-07-25 07:11:01,235,224,19155,17543,676,607,337,1
2019-07-25 07:41:01,238,224,19393,17777,523,458,374,1
2019-07-25 08:11:01,239,224,19670,18171,493,597,366,1
2019-07-25 08:41:01,241,223,19995,18615,612,851,398,1
2019-07-25 09:11:01,240,223,20367,19107,693,926,388,1
2019-07-25 09:41:01,241,223,20683,19551,598,864,433,1
2019-07-25 10:11:02,240,223,21053,19992,606,793,428,1
2019-07-25 10:42:01,240,225,21467,20420,784,870,452,1
2019-07-25 11:12:01,240,227,21868,20914,821,934,461,1
2019-07-25 11:42:01,240,227,22242,21435,686,975,432,1
2019-07-25 12:12:01,240,225,22611,21871,749,965,464,1
2019-07-25 12:42:01,240,225,23133,22475,871,1029,478,1
2019-07-25 13:12:01,241,225,23671,23026,974,1065,484,1
2019-07-25 13:42:01,238,227,24222,23540,1050,1019,481,1
2019-07-25 14:12:01,238,229,24637,23958,922,881,426,1
2019-07-25 14:42:01,239,229,25019,24462,779,926,393,1
2019-07-25 15:12:01,237,230,25414,24860,709,828,372,1
2019-07-25 15:42:01,236,231,25772,25260,734,777,368,1
2019-07-25 16:12:01,235,233,26060,25546,650,689,351,1
2019-07-25 16:42:01,234,234,26315,25812,487,515,360,1
2019-07-25 17:12:01,234,233,26549,26088,429,494,363,1
2019-07-25 17:42:01,233,234,26858,26409,552,608,331,1
2019-07-25 18:12:01,232,234,27106,26621,564,543,311,1
2019-07-25 18:42:01,231,234,27385,26926,505,493,294,1
2019-07-25 19:12:01,231,236,27607,27146,493,510,269,1
2019-07-25 19:42:01,232,236,27795,27366,398,427,313,1
2019-07-25 20:12:01,232,235,28085,27605,460,432,310,1
2019-07-25 20:42:01,232,235,28384,27850,606,501,307,1
2019-07-25 21:12:01,232,235,28619,28110,540,505,301,1
2019-07-25 21:42:01,232,235,28909,28443,521,576,280,1
2019-07-25 22:12:02,231,234,29197,28721,539,564,260,1
2019-07-25 22:43:01,230,236,29478,28943,493,412,240,1
2019-07-25 23:13:01,230,236,29643,29109,340,313,220,1
2019-07-25 23:43:01,230,237,29819,29246,341,303,207,1
2019-07-26 00:13:01,231,236,29990,29410,347,301,190,1
2019-07-26 00:43:01,231,236,30151,29521,332,275,180,1
2019-07-26 01:13:01,230,236,30340,29642,353,236,193,1
2019-07-26 01:43:01,230,236,30570,29854,419,333,191,1
2019-07-26 02:13:01,230,236,30759,30063,420,428,201,1
2019-07-26 02:43:01,230,235,30937,30188,367,334,183,1
2019-07-26 03:13:01,230,235,31102,30294,343,234,207,1
2019-07-26 03:43:01,229,236,31276,30487,339,299,224,1
2019-07-26 04:13:01,228,236,31477,30683,375,389,236,1
2019-07-26 04:43:01,229,236,31670,30887,394,400,252,1
2019-07-26 05:13:01,229,237,31876,31069,399,388,272,1
2019-07-26 05:43:01,229,238,32146,31282,476,395,311,1
2019-07-26 06:13:01,227,238,32460,31553,584,487,308,1
2019-07-26 06:43:01,227,237,32764,31821,618,539,317,1
2019-07-26 07:13:02,227,238,33071,32091,699,615,334,1
2019-07-26 07:44:01,227,238,33339,32364,575,543,358,1
2019-07-26 08:14:01,226,238,33684,32652,613,562,373,1
2019-07-26 08:44:01,226,236,34079,32953,740,589,356,1
2019-07-26 09:14:01,228,236,34436,33250,754,599,381,1
2019-07-26 09:44:01,228,236,34770,33566,691,613,378,1
2019-07-26 10:14:01,228,237,35112,33854,685,605,406,1
2019-07-26 10:44:01,229,235,35481,34090,711,524,429,1
2019-07-26 11:14:01,230,236,35829,34370,718,521,454,1
2019-07-26 11:44:01,230,237,36238,34675,757,585,450,1
2019-07-26 12:14:01,230,237,36809,35104,982,733,467,1
2019-07-26 12:44:02,230,237,37271,35535,1017,919,466,1
2019-07-26 13:15:01,228,238,37754,35961,946,856,463,1
2019-07-26 13:45:01,228,239,38192,36365,904,835,0,1
2019-07-26 14:15:01,228,240,38592,36746,841,786,432,1
2019-07-26 14:45:01,228,241,39061,37181,869,816,432,1
2019-07-26 15:15:01,228,240,39580,37624,991,880,404,1
2019-07-26 15:45:02,228,240,40049,38113,988,932,413,1
2019-07-26 16:16:01,228,239,40491,38583,913,960,393,1
2019-07-26 16:46:01,227,239,40802,38898,753,785,372,1
2019-07-26 17:16:01,226,240,41197,39321,784,835,377,1
2019-07-26 17:46:01,226,240,41571,39675,795,792,364,1
2019-07-26 18:16:01,227,240,41983,39967,798,657,338,1
2019-07-26 18:46:01,227,240,42274,40240,703,565,321,1
2019-07-26 19:16:01,227,240,42559,40544,576,578,320,1
2019-07-26 19:46:01,228,238,42809,40827,515,575,336,1
2019-07-26 20:16:01,228,239,43088,41070,546,541,330,1
2019-07-26 20:46:01,228,238,43338,41281,531,454,337,1
2019-07-26 21:16:01,231,238,43600,41543,513,473,327,1
2019-07-26 21:46:02,231,238,43953,41888,616,607,314,1
2019-07-26 22:17:01,231,239,44256,42191,656,649,302,1
2019-07-26 22:47:01,231,239,44520,42472,544,562,288,1
2019-07-26 23:17:01,231,239,44814,42747,540,543,289,1
2019-07-26 23:47:01,229,238,45092,43037,583,595,265,1
2019-07-27 00:17:01,231,238,45297,43269,480,524,240,1
2019-07-27 00:47:01,232,237,45498,43453,409,418,234,1
2019-07-27 01:17:01,232,236,45662,43592,393,369,220,1
2019-07-27 01:47:01,232,235,45831,43764,338,314,226,1
2019-07-27 02:17:01,232,235,46012,43923,364,337,228,1
2019-07-27 02:47:01,232,235,46165,44048,352,287,254,1
2019-07-27 03:17:01,232,232,46316,44260,293,334,251,1
2019-07-27 03:47:01,234,233,46487,44445,330,409,259,1
2019-07-27 04:17:01,234,233,46726,44679,413,422,279,1
2019-07-27 04:47:01,236,230,46913,44886,413,443,297,1
2019-07-27 05:17:01,236,232,47211,45121,494,450,323,1
2019-07-27 05:47:01,236,232,47494,45395,593,522,351,1
2019-07-27 06:17:01,236,232,47798,45704,588,585,371,1
2019-07-27 06:47:01,236,232,48161,46033,671,639,410,1
2019-07-27 07:17:01,236,233,48603,46369,811,639,412,1
2019-07-27 07:47:01,236,233,48959,46682,764,619,411,1
2019-07-27 08:17:01,236,234,49326,47006,723,636,424,1
2019-07-27 08:47:01,236,234,49688,47314,740,641,459,1
2019-07-27 09:17:01,236,235,50006,47703,698,717,491,1
2019-07-27 09:47:01,237,233,50353,48131,670,818,497,1
2019-07-27 10:17:01,238,232,50753,48596,747,893,524,1
2019-07-27 10:47:01,239,232,51147,49089,778,954,532,1
2019-07-27 11:17:01,240,231,51468,49475,718,883,522,1
2019-07-27 11:47:01,239,231,51860,49907,716,821,504,1
2019-07-27 12:17:01,239,229,52301,50410,822,926,513,1
2019-07-27 12:47:01,240,230,52823,51018,1001,1142,496,1
2019-07-27 13:17:01,243,227,53244,51555,985,1190,488,1
2019-07-27 13:47:02,243,226,53549,51927,697,882,472,1
2019-07-27 14:18:01,244,225,53906,52327,654,752,462,1
2019-07-27 14:48:02,245,226,54255,52656,735,749,431,1
2019-07-27 15:19:01,246,223,54684,53098,758,766,417,1
2019-07-27 15:49:01,249,221,54974,53391,738,755,377,1
2019-07-27 16:19:01,250,220,55298,53738,578,602,389,1
2019-07-27 16:49:01,251,220,55613,54038,607,626,355,1
2019-07-27 17:19:01,251,219,55834,54249,543,516,331,1
2019-07-27 17:49:01,251,219,56125,54494,517,460,323,1
2019-07-27 18:19:01,252,214,56466,54842,618,594,309,1
2019-07-27 18:49:01,252,213,56665,55046,511,540,308,1
2019-07-27 19:19:01,253,213,56893,55254,421,386,312,1
2019-07-27 19:49:01,253,212,57074,55430,371,363,302,1
2019-07-27 20:19:01,253,212,57320,55696,422,435,307,1
2019-07-27 20:49:01,253,211,57581,55976,508,547,319,1
2019-07-27 21:19:01,254,211,57889,56247,553,544,301,1
2019-07-27 21:49:01,254,210,58078,56473,498,510,278,1
2019-07-27 22:19:01,255,210,58242,56721,331,473,275,1
