Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualtyRate,SteamPlayers,WardenPlayHours,ColonialPlayHours,Target
2023-02-19 17:59:01,598,735,0,0,0,0,0,0,1562,981183,917724,0
2023-02-19 18:29:01,530,701,231,253,3006212,2806087,1879,1768,1495,981448,918075,0
2023-02-19 18:59:02,511,669,229,255,3006730,2806642,1406,1327,1444,981703,918409,0
2023-02-19 19:30:05,506,644,226,256,3007255,2807033,1058,958,1414,981965,918743,0
2023-02-19 20:00:17,492,618,225,259,3007769,2807480,1042,846,1362,982213,919054,0
2023-02-19 20:31:02,471,600,224,260,3008302,2807895,1039,854,1297,982454,919361,0
2023-02-19 21:01:02,450,547,223,255,3008895,2808423,1142,971,1201,982679,919635,0
2023-02-19 21:32:01,463,575,224,257,3009523,2809108,1228,1216,1196,982918,919932,0
2023-02-19 22:02:02,472,552,221,258,3010260,2809846,1394,1458,1167,983155,920208,0
2023-02-19 22:32:02,474,544,219,262,3010975,2810575,1422,1417,1129,983392,920480,0
2023-02-19 23:02:02,457,518,216,261,3011654,2811191,1391,1349,1095,983620,920739,0
2023-02-19 23:33:02,434,503,218,263,3012391,2811807,1406,1220,1079,983844,920999,0
2023-02-20 00:04:01,398,496,219,262,3013126,2812465,1409,1268,1048,984050,921255,0
2023-02-20 00:34:01,402,507,217,263,3013842,2812924,1365,1032,1047,984251,921508,0
2023-02-20 01:04:01,428,540,218,263,3014422,2813415,1300,959,1056,984465,921778,0
2023-02-20 01:34:01,434,560,217,266,3015049,2813902,1200,981,1126,984682,922058,0
2023-02-20 02:04:01,450,551,215,265,3015700,2814539,1294,1178,1140,984907,922334,0
2023-02-20 02:34:02,480,580,219,263,3016406,2815218,1352,1293,1181,985147,922624,0
2023-02-20 03:05:03,515,596,219,265,3017226,2816030,1419,1438,1228,985413,922932,0
2023-02-20 03:35:03,541,620,220,263,3018042,2816762,1565,1458,1287,985684,923242,0
2023-02-20 04:06:02,553,651,220,261,3018921,2817660,1701,1627,1338,985969,923578,0
2023-02-20 04:37:01,604,681,220,261,3019851,2818541,1736,1722,1413,986281,923930,0
2023-02-20 05:07:01,642,710,221,261,3020822,2819464,1887,1816,1502,986602,924285,0
2023-02-20 05:37:01,647,720,221,262,3021667,2820164,1811,1613,1558,986926,924645,0
2023-02-20 06:07:02,675,791,221,264,3022309,2820973,1514,1526,1614,987263,925041,0
2023-02-20 06:37:02,689,824,219,265,3023253,2821952,1642,1869,1665,987608,925453,0
2023-02-20 07:07:02,509,619,218,264,3024038,2822701,1785,1762,1669,987862,925762,0
2023-02-20 07:38:01,695,818,219,259,3025162,2823782,1864,1834,1761,988221,926185,0
2023-02-20 08:08:01,754,870,216,264,3026454,2824791,2582,2222,1822,988598,926620,0
2023-02-20 08:38:01,787,911,217,263,3027672,2825898,2535,2132,1944,988992,927075,0
2023-02-20 09:08:02,870,947,219,267,3028863,2827155,2551,2494,1994,989427,927549,0
2023-02-20 09:38:02,896,972,219,266,3030264,2828599,2706,2815,2141,989875,928035,0
2023-02-20 10:08:02,910,1063,219,267,3031841,2829901,2954,2735,2193,990330,928566,0
2023-02-20 10:39:02,971,1127,220,267,3033042,2831384,2724,2774,2255,990832,929149,0
2023-02-20 11:09:02,993,1132,218,269,3034367,2832736,2574,2890,2361,991328,929715,0
2023-02-20 11:40:02,1028,1175,218,269,3035900,2834346,2804,2898,2479,991859,930322,0
2023-02-20 12:10:02,1073,1184,218,270,3038196,2836258,3792,3464,2509,992396,930914,0
2023-02-20 12:40:02,1036,1178,218,270,3040764,2838633,4788,4282,2502,992914,931503,0
2023-02-20 13:11:02,1028,1147,216,268,3042848,2840707,4719,4394,2382,993445,932095,0
2023-02-20 13:41:02,934,1067,217,269,3044619,2842649,3592,3822,2305,993912,932629,0
2023-02-20 14:12:02,906,1007,216,268,3046190,2844611,3158,3692,2159,994380,933149,0
2023-02-20 14:42:02,835,937,215,270,3047823,2846232,3074,3422,2029,994798,933618,0
2023-02-20 15:12:02,815,919,217,270,3049146,2847778,3064,3251,1938,995205,934077,0
2023-02-20 15:42:02,711,847,215,271,3050477,2849394,2456,3029,1768,995561,934501,0
2023-02-20 16:12:02,696,810,216,271,3051645,2850825,2353,2909,1680,995909,934906,0
2023-02-20 16:42:02,637,777,214,272,3052857,2851982,2351,2590,1642,996227,935294,0
2023-02-20 17:12:02,615,791,212,272,3054111,2853095,2417,2215,1568,996535,935690,0
2023-02-20 17:43:01,586,845,208,276,3055399,2854296,2422,2233,1566,996837,936126,0
2023-02-20 18:13:02,569,772,208,276,3056330,2855558,2123,2459,1534,997122,936512,0
2023-02-20 18:44:01,528,805,208,277,3057332,2856771,1857,2432,1492,997394,936928,0
2023-02-20 19:14:02,515,765,207,276,3058288,2857815,1918,2243,1449,997652,937311,0
2023-02-20 19:45:03,489,729,206,282,3059080,2858685,1699,1866,1371,997905,937687,0
2023-02-20 20:16:01,497,712,206,280,3059967,2859661,1579,1718,1358,998161,938055,0
2023-02-20 20:46:01,456,656,205,280,3060843,2860592,1705,1864,1320,998389,938383,0
2023-02-20 21:16:01,455,643,206,280,3061657,2861503,1673,1829,1219,998617,938704,0
2023-02-20 21:46:01,428,593,204,279,3062486,2862313,1611,1682,1189,998831,939001,0
2023-02-20 22:16:02,398,588,200,284,3063125,2863025,1492,1582,1129,999030,939295,0
2023-02-20 22:46:02,352,553,197,286,3063849,2863822,1367,1504,1078,999206,939572,0
2023-02-20 23:16:02,344,500,198,286,3064431,2864480,1308,1459,995,999378,939822,0
2023-02-20 23:47:01,363,496,196,287,3064997,2865094,1136,1275,964,999565,940078,0
2023-02-21 00:17:01,387,503,196,286,3065639,2865721,1227,1254,981,999759,940329,0
2023-02-21 00:47:01,390,499,196,287,3066271,2866332,1343,1276,1018,999954,940579,0
2023-02-21 01:17:02,400,523,195,289,3066916,2866942,1313,1222,1030,1000154,940840,0
2023-02-21 01:48:01,371,520,193,288,3067580,2867554,1338,1244,1040,1000346,941109,0
2023-02-21 02:18:02,407,520,193,288,3068173,2868277,1306,1402,1052,1000549,941369,0
2023-02-21 02:49:01,433,574,195,284,3068771,2868866,1205,1320,1105,1000773,941665,0
2023-02-21 03:19:01,465,570,196,287,3069440,2869564,1200,1251,1157,1001005,941950,0
2023-02-21 03:49:01,476,624,196,287,3070192,2870272,1423,1398,1217,1001243,942262,0
2023-02-21 04:19:01,486,642,196,285,3071003,2870984,1568,1429,1236,1001486,942583,0
2023-02-21 04:49:01,495,654,197,285,3072046,2871753,1845,1470,1289,1001734,942910,0
2023-02-21 05:19:01,542,688,191,288,3073104,2872747,2176,1807,1356,1002005,943254,0
2023-02-21 05:49:01,534,714,190,290,3074035,2873664,1914,1924,1451,1002272,943611,0
2023-02-21 06:19:01,595,753,188,292,3075028,2874659,1958,1939,1495,1002569,943988,0
2023-02-21 06:49:01,645,805,187,295,3075982,2875768,1975,2118,1564,1002892,944390,0
2023-02-21 07:19:01,697,823,186,294,3077067,2876818,2075,2192,1686,1003240,944802,0
2023-02-21 07:49:01,739,834,186,292,3078271,2877894,2336,2192,1759,1003610,945219,0
2023-02-21 08:19:02,752,852,188,293,3079487,2878965,2406,2169,1789,1003986,945645,0
2023-02-21 08:50:01,765,859,189,288,3080730,2880231,2468,2320,1841,1004381,946089,0
2023-02-21 09:20:03,792,894,190,287,3082052,2881646,2495,2581,1858,1004778,946536,0
2023-02-21 09:50:03,780,988,188,289,3083570,2883111,2894,2927,1937,1005168,947030,0
2023-02-21 10:21:01,797,1040,187,290,3085211,2884856,2953,3049,2047,1005579,947567,0
2023-02-21 10:51:01,842,1066,185,292,3086781,2886506,3263,3426,2116,1006000,948100,0
2023-02-21 11:21:02,840,1112,185,294,3088428,2888303,3291,3523,2182,1006420,948656,0
2023-02-21 11:51:02,881,1106,184,293,3089936,2890189,3151,3696,2211,1006861,949209,0
2023-02-21 12:22:01,908,1090,184,294,3091663,2892230,3100,3697,2188,1007329,949772,0
2023-02-21 12:52:01,858,1067,183,291,3093222,2893847,3088,3439,2203,1007758,950306,0
2023-02-21 13:22:01,860,1048,182,296,3094772,2895468,3079,3187,2143,1008188,950830,0
2023-02-21 13:52:01,812,987,181,299,3096160,2897263,2912,3465,2025,1008594,951323,0
2023-02-21 14:22:01,785,952,179,294,3097747,2898909,2941,3264,1962,1008987,951799,0
2023-02-21 14:52:01,724,907,181,298,3099037,2900236,2723,2741,1864,1009349,952253,0
2023-02-21 15:22:01,668,778,177,299,3100056,2901497,2167,2570,1263,1009683,952642,0
2023-02-21 15:52:01,603,711,177,298,3100947,2902516,1881,2202,1578,1009984,952997,0
2023-02-21 16:22:02,602,709,179,300,3101742,2903293,1638,1792,1487,1010286,953352,0
2023-02-21 16:52:02,545,709,181,297,3102649,2904429,1671,1957,1465,1010558,953706,0
2023-02-21 17:23:01,531,722,179,297,3103560,2905418,1801,2100,1395,1010832,954079,0
2023-02-21 17:53:01,517,728,179,297,3104341,2906223,1686,1769,1372,1011091,954443,0
2023-02-21 18:23:01,527,746,178,298,3105220,2906991,1668,1528,1405,1011354,954816,0
2023-02-21 18:53:01,487,711,178,302,3105917,2907960,1647,1792,1418,1011598,955172,0
2023-02-21 19:23:01,459,701,178,298,3106528,2908800,1323,1832,1336,1011827,955522,0
2023-02-21 19:53:02,453,673,177,301,3107324,2909728,1407,1725,1274,1012054,955859,0
2023-02-21 20:24:02,414,682,175,301,3108043,2910634,1581,1893,1242,1012268,956211,0
2023-02-21 20:55:01,374,637,173,298,3108798,2911617,1406,1789,1213,1012461,956540,0
2023-02-21 21:25:03,358,599,173,300,3109429,2912385,1318,1596,1125,1012640,956840,0
2023-02-21 21:56:01,336,545,171,301,3110155,2913073,1300,1398,1028,1012814,957121,0
2023-02-21 22:26:01,343,556,167,303,3110790,2913706,1300,1289,1021,1012985,957399,0
2023-02-21 22:56:01,345,544,167,301,3111474,2914384,1337,1330,1008,1013158,957671,0
2023-02-21 23:26:01,313,505,166,302,3112027,2915029,1237,1334,1001,1013314,957924,0
2023-02-21 23:56:01,296,493,166,302,3112470,2915493,999,1112,893,1013462,958170,0
2023-02-22 00:26:01,319,481,162,305,3112980,2915998,935,963,925,1013622,958411,0
2023-02-22 00:56:01,356,489,165,306,3113496,2916495,1013,988,970,1013800,958655,0
2023-02-22 01:26:01,357,508,166,303,3113970,2917063,990,1066,976,1013978,958909,0
2023-02-22 01:56:01,380,502,169,301,3114401,2917605,870,1087,1001,1014168,959160,0
2023-02-22 02:26:01,414,527,170,298,3114977,2918190,1032,1149,1037,1014375,959424,0
2023-02-22 02:56:02,430,542,169,298,3115621,2918886,1279,1337,1111,1014590,959695,0
2023-02-22 03:27:01,448,569,167,302,3116332,2919509,1347,1299,1117,1014822,959989,0
2023-02-22 03:57:02,471,595,167,298,3117058,2920191,1492,1345,1200,1015057,960286,0
2023-02-22 04:28:01,489,626,167,300,3117783,2920955,1441,1444,1233,1015310,960610,0
2023-02-22 04:58:02,528,681,168,297,3118594,2921751,1537,1561,1324,1015574,960950,0
2023-02-22 05:28:02,554,690,170,296,3119428,2922690,1695,1803,1386,1015851,961295,0
2023-02-22 05:59:01,591,710,168,297,3120416,2923864,1849,2118,1489,1016156,961662,0
2023-02-22 06:29:01,574,720,168,298,3121552,2925008,2182,2310,1536,1016443,962022,0
2023-02-22 06:59:01,618,754,169,295,3122423,2925928,1959,2034,1512,1016752,962399,0
2023-02-22 07:29:02,667,803,169,293,3123378,2927000,1875,2052,1611,1017086,962801,0
2023-02-22 08:00:09,683,839,168,298,3124401,2928376,2053,2506,1706,1017440,963236,0
2023-02-22 08:31:01,714,863,167,301,3125573,2929820,2179,2850,1767,1017807,963680,0
2023-02-22 09:01:01,725,882,166,300,3126685,2931176,2211,2707,1808,1018170,964121,0
