Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers
2019-08-19 09:25:01,108,116,1,0,2,0,483
2019-08-19 09:55:01,154,192,243,327,39,94,560
2019-08-19 10:25:01,206,195,630,872,656,906,593
2019-08-19 10:55:01,210,194,1025,1427,772,1099,599
2019-08-19 11:25:01,210,193,1630,2102,1001,1230,593
2019-08-19 11:55:01,214,194,2228,2788,1203,1361,580
2019-08-19 12:25:01,217,195,2862,3544,1176,1384,577
2019-08-19 12:55:01,218,195,3547,4275,1198,1329,552
2019-08-19 13:25:01,219,194,4207,4890,1345,1346,521
2019-08-19 13:55:01,220,194,4764,5517,1224,1249,481
2019-08-19 14:25:01,219,194,5272,6094,1007,1137,452
2019-08-19 14:55:01,218,195,5637,6464,827,896,418
2019-08-19 15:25:02,218,195,5960,6815,667,691,397
2019-08-19 15:56:01,216,196,6313,7200,668,737,393
2019-08-19 16:26:01,214,195,6750,7584,775,752,375
2019-08-19 16:56:01,213,195,7052,7848,612,512,355
2019-08-19 17:26:02,213,195,7392,8121,646,540,343
2019-08-19 17:57:01,213,195,7860,8599,729,675,339
2019-08-19 18:27:01,213,195,8356,9081,832,844,321
2019-08-19 18:57:01,212,195,8779,9438,919,839,301
2019-08-19 19:27:01,212,195,9149,9823,798,744,287
2019-08-19 19:57:01,212,195,9542,10199,763,761,278
2019-08-19 20:27:01,214,195,9958,10527,809,704,274
2019-08-19 20:57:01,214,195,10317,10887,775,688,269
2019-08-19 21:27:01,214,195,10623,11212,665,686,237
2019-08-19 21:57:01,212,195,10851,11475,534,588,210
2019-08-19 22:27:01,212,194,11046,11654,423,442,203
2019-08-19 22:57:01,213,193,11231,11799,380,324,178
2019-08-19 23:27:01,213,192,11382,11944,336,291,169
2019-08-19 23:57:01,213,192,11556,12080,325,281,154
2019-08-20 00:27:01,213,192,11723,12228,341,285,158
2019-08-20 00:57:01,214,192,11909,12400,353,320,162
2019-08-20 01:27:01,214,193,12109,12609,387,381,165
2019-08-20 01:57:01,214,194,12253,12782,344,382,166
2019-08-20 02:27:01,214,199,12436,13018,326,409,169
2019-08-20 02:57:01,217,199,12553,13173,300,391,181
2019-08-20 03:27:01,217,199,12752,13400,317,385,195
2019-08-20 03:57:01,217,199,12942,13694,389,521,214
2019-08-20 04:27:01,217,199,13213,14023,463,624,212
2019-08-20 04:57:01,218,198,13500,14287,558,593,207
2019-08-20 05:27:01,217,199,13652,14582,449,561,204
2019-08-20 05:57:01,217,198,13860,14848,360,561,208
2019-08-20 06:27:01,217,198,14076,15089,429,511,239
2019-08-20 06:57:01,217,198,14270,15307,410,459,241
2019-08-20 07:27:01,217,198,14565,15586,490,499,270
2019-08-20 07:57:01,217,197,14817,15838,547,531,277
2019-08-20 08:27:01,217,198,15077,16097,512,512,292
2019-08-20 08:57:01,217,198,15364,16386,547,548,319
2019-08-20 09:27:01,210,164,15685,16719,615,635,335
2019-08-20 09:57:01,219,197,16063,17121,698,735,330
2019-08-20 10:27:01,219,197,16382,17519,686,792,358
2019-08-20 10:57:01,219,197,16726,17867,663,746,391
2019-08-20 11:27:01,219,197,17184,18302,802,784,398
2019-08-20 11:57:01,219,196,17610,18821,884,954,422
2019-08-20 12:27:02,219,197,18042,19320,928,1102,416
2019-08-20 12:58:01,219,197,18454,19776,844,955,392
2019-08-20 13:28:01,219,196,18819,20106,779,787,391
2019-08-20 13:58:01,219,196,19189,20475,735,699,373
2019-08-20 14:28:01,219,196,19601,20908,782,802,381
2019-08-20 14:58:01,219,196,19892,21305,703,830,343
2019-08-20 15:28:01,219,196,20167,21572,572,660,299
2019-08-20 15:58:01,222,196,20412,21870,520,565,296
2019-08-20 16:28:01,223,199,20695,22209,532,637,287
2019-08-20 16:58:01,224,201,20932,22546,520,676,291
2019-08-20 17:28:01,224,201,21188,22818,495,612,283
2019-08-20 17:58:01,224,202,21491,23109,559,563,276
2019-08-20 18:28:01,224,202,21879,23428,691,610,280
2019-08-20 18:58:01,224,202,22202,23683,711,574,283
2019-08-20 19:28:01,224,202,22543,24002,664,576,276
2019-08-20 19:58:01,224,202,22816,24280,614,597,233
2019-08-20 20:28:01,224,202,23017,24500,474,498,203
2019-08-20 20:58:01,223,204,23233,24701,417,421,195
2019-08-20 21:28:01,221,203,23391,24886,374,386,192
2019-08-20 21:58:01,221,204,23597,25053,364,352,169
2019-08-20 22:28:01,221,205,23805,25171,414,291,151
2019-08-20 22:58:01,222,204,23929,25248,332,195,141
2019-08-20 23:28:01,223,202,24020,25305,221,134,135
2019-08-20 23:58:01,223,202,24130,25390,201,142,122
2019-08-21 00:28:01,223,203,24222,25458,205,153,125
2019-08-21 00:58:01,223,203,24351,25562,221,172,125
2019-08-21 01:28:01,224,203,24499,25683,277,227,124
2019-08-21 01:58:01,224,203,24596,25782,245,220,120
2019-08-21 02:28:01,224,203,24689,25895,198,215,136
2019-08-21 02:58:01,224,200,24748,25977,166,208,137
2019-08-21 03:28:01,226,199,24826,26076,137,186,153
2019-08-21 03:58:02,227,199,24906,26168,158,191,170
2019-08-21 04:29:01,229,197,25004,26303,178,227,173
2019-08-21 04:59:01,227,197,25071,26427,151,230,186
2019-08-21 05:29:01,227,197,25139,26548,135,245,204
2019-08-21 05:59:01,227,196,25276,26751,212,335,217
2019-08-21 06:29:01,227,196,25486,26998,346,452,238
2019-08-21 06:59:01,226,197,25715,27291,440,540,246
2019-08-21 07:29:01,224,199,25958,27598,474,602,263
2019-08-21 07:59:01,223,198,26221,27840,511,549,277
2019-08-21 08:29:01,224,200,26546,28102,601,516,283
2019-08-21 08:59:01,225,202,26832,28337,611,497,314
2019-08-21 09:29:01,225,203,27128,28653,581,552,308
2019-08-21 09:59:01,226,202,27460,28932,629,596,334
2019-08-21 10:29:01,226,200,27865,29233,737,581,368
2019-08-21 10:59:01,229,198,28333,29730,873,798,392
2019-08-21 11:29:01,228,196,28822,30224,960,997,403
2019-08-21 11:59:01,227,197,29278,30641,955,922,408
2019-08-21 12:29:01,226,199,29649,31055,788,825,398
2019-08-21 12:59:01,224,201,30092,31538,814,897,395
2019-08-21 13:29:02,224,205,30514,31993,872,946,378
2019-08-21 14:00:02,224,205,30895,32347,804,809,350
2019-08-21 14:30:02,224,204,31324,32789,820,794,348
2019-08-21 15:01:01,223,205,31617,33097,720,750,313
2019-08-21 15:31:01,221,205,31891,33363,573,579,317
2019-08-21 16:01:01,221,205,32123,33614,502,522,318
2019-08-21 16:31:01,221,205,32463,33882,582,506,302
2019-08-21 17:01:01,221,206,32757,34157,634,543,300
2019-08-21 17:31:01,221,206,33026,34444,563,562,294
2019-08-21 18:01:01,222,205,33264,34724,476,545,273
2019-08-21 18:31:01,219,205,33534,35049,503,620,272
2019-08-21 19:01:01,220,206,33795,35430,520,704,270
2019-08-21 19:31:01,221,206,34060,35785,534,750,278
2019-08-21 20:01:01,218,208,34409,36165,643,770,261
2019-08-21 20:31:01,214,211,34558,36409,487,611,237
2019-08-21 21:01:01,214,211,34725,36607,316,442,218
2019-08-21 21:31:01,214,213,34850,36773,304,379,199
2019-08-21 22:01:01,212,215,35003,36919,279,317,177
2019-08-21 22:31:01,210,216,35145,37061,280,274,170
2019-08-21 23:01:02,209,218,35274,37183,272,265,142
2019-08-21 23:32:01,208,218,35386,37307,243,246,142
2019-08-22 00:02:01,208,220,35490,37415,214,226,138
2019-08-22 00:32:01,207,222,35569,37497,167,181,137
2019-08-22 01:02:01,205,223,35669,37596,181,189,133
2019-08-22 01:32:01,205,224,35755,37699,167,196,139
2019-08-22 02:02:01,205,226,35820,37754,151,158,145
2019-08-22 02:32:01,205,226,35845,37802,90,107,165
2019-08-22 03:02:01,204,226,35899,37902,80,154,163
2019-08-22 03:32:01,204,226,35923,37947,76,136,179
2019-08-22 04:02:01,203,226,35956,38011,55,110,178
2019-08-22 04:32:01,203,226,36080,38142,158,195,173
2019-08-22 05:02:01,203,226,36194,38254,238,243,186
2019-08-22 05:32:01,203,226,36343,38379,256,235,188
2019-08-22 06:02:01,203,226,36452,38480,258,226,206
2019-08-22 06:32:01,203,226,36588,38639,249,263,212
2019-08-22 07:02:01,204,225,36723,38799,276,319,218
2019-08-22 07:32:01,203,225,36876,38975,288,336,247
2019-08-22 08:02:01,203,225,37035,39145,311,346,269
2019-08-22 08:32:01,203,225,37212,39351,337,376,266
2019-08-22 09:02:01,203,224,37470,39580,430,413,293
2019-08-22 09:32:01,203,225,37688,39886,473,541,304
2019-08-22 10:02:01,203,225,37915,40113,428,488,300
2019-08-22 10:32:01,203,225,38169,40344,481,462,302
2019-08-22 11:02:01,203,223,38370,40527,455,414,313
2019-08-22 11:32:01,204,223,38645,40777,448,392,340
2019-08-22 12:02:01,203,222,38928,41042,532,489,363
2019-08-22 12:32:01,204,223,39229,41396,599,640,379
2019-08-22 13:02:02,204,223,39515,41764,587,722,370
2019-08-22 13:33:01,204,223,39903,42150,650,751,351
2019-08-22 14:03:01,204,224,40178,42451,663,687,339
2019-08-22 14:33:01,204,224,40404,42773,539,659,316
2019-08-22 15:03:01,203,224,40653,43035,440,560,301
2019-08-22 15:33:01,202,224,40855,43319,454,563,292
2019-08-22 16:03:01,202,224,41005,43543,352,508,286
2019-08-22 16:33:01,202,225,41301,43934,452,628,310
2019-08-22 17:03:01,202,227,41590,44267,583,731,314
2019-08-22 17:33:01,204,227,41939,44620,620,653,292
2019-08-22 18:03:01,203,228,42182,44858,602,601,258
2019-08-22 18:33:01,203,228,42409,45119,466,507,230
2019-08-22 19:03:01,203,228,42595,45320,413,462,235
2019-08-22 19:33:01,203,228,42861,45611,451,494,236
2019-08-22 20:03:01,202,227,43054,45840,418,464,229
2019-08-22 20:33:01,203,227,43304,46099,449,491,217
2019-08-22 21:03:01,203,227,43477,46308,425,468,214
2019-08-22 21:33:01,204,226,43642,46525,340,426,209
2019-08-22 22:03:01,204,226,43828,46695,351,384,178
2019-08-22 22:33:01,204,225,43999,46910,363,429,187
2019-08-22 23:03:01,205,226,44164,47069,336,374,175
2019-08-22 23:33:01,205,226,44385,47253,404,392,157
2019-08-23 00:03:01,205,226,44556,47379,393,311,125
2019-08-23 00:33:01,205,226,44653,47442,268,191,121
2019-08-23 01:03:01,205,226,44745,47519,173,129,137
2019-08-23 01:33:01,205,226,44850,47589,196,151,132
2019-08-23 02:03:01,204,226,44918,47689,170,172,138
2019-08-23 02:33:01,204,226,45004,47788,159,196,152
2019-08-23 03:03:01,205,225,45102,47898,186,209,162
2019-08-23 03:33:01,206,225,45186,47997,183,209,172
2019-08-23 04:03:01,206,225,45299,48108,196,209,168
2019-08-23 04:33:01,206,225,45400,48206,206,213,181
2019-08-23 05:03:01,206,222,45481,48298,180,190,177
2019-08-23 05:33:01,208,221,45581,48429,187,226,187
2019-08-23 06:03:01,211,216,45697,48543,214,243,190
2019-08-23 06:33:01,211,217,45795,48643,216,216,202
2019-08-23 07:03:01,211,217,45923,48740,230,200,223
2019-08-23 07:33:01,211,217,46083,48907,285,264,241
2019-08-23 08:03:01,211,218,46236,49082,293,334,250
2019-08-23 08:33:01,211,218,46395,49238,314,337,255
2019-08-23 09:03:01,212,217,46590,49384,354,302,285
2019-08-23 09:33:01,211,217,46783,49592,401,368,302
2019-08-23 10:03:02,211,218,47000,49809,384,395,301
2019-08-23 10:34:01,211,218,47235,50149,459,564,304
2019-08-23 11:04:01,210,219,47461,50369,479,576,314
2019-08-23 11:34:01,210,219,47649,50678,399,502,331
2019-08-23 12:04:01,209,220,47878,50914,435,542,382
2019-08-23 12:34:01,207,221,48138,51188,482,497,396
2019-08-23 13:04:01,209,222,48414,51463,536,545,408
2019-08-23 13:34:01,209,222,48783,51868,645,680,380
2019-08-23 14:04:01,209,222,49013,52189,588,705,382
2019-08-23 14:34:01,209,221,49279,52529,476,652,397
2019-08-23 15:04:01,209,221,49600,53018,579,832,362
2019-08-23 15:34:01,208,222,49917,53440,664,951,379
2019-08-23 16:04:01,208,222,50263,53831,666,814,325
2019-08-23 16:34:01,208,222,50563,54103,646,673,297
2019-08-23 17:04:01,207,221,50850,54364,593,538,271
2019-08-23 17:34:01,208,221,50998,54487,434,381,285
2019-08-23 18:04:01,208,221,51180,54641,331,274,278
2019-08-23 18:34:01,208,221,51370,54800,398,327,289
2019-08-23 19:04:02,208,219,51661,55075,481,434,285
2019-08-23 19:35:01,210,215,51860,55342,462,526,269
2019-08-23 20:05:01,214,210,51992,55453,255,219,276
2019-08-23 20:35:01,214,209,52221,55612,377,283,280
2019-08-23 21:05:01,215,208,52458,55848,466,395,250
2019-08-23 21:35:01,218,208,52591,56028,348,392,233
2019-08-23 22:05:01,218,208,52721,56164,251,304,223
2019-08-23 22:35:01,218,208,52862,56320,273,296,215
2019-08-23 23:05:01,218,207,52966,56443,236,275,229
2019-08-23 23:35:01,220,205,53115,56616,255,296,213
2019-08-24 00:05:01,219,205,53244,56746,275,305,209
2019-08-24 00:35:37,219,208,53383,56867,265,229,198
2019-08-24 01:06:01,220,207,53492,57023,245,273,186
2019-08-24 01:36:01,220,207,53646,57224,279,370,198
2019-08-24 02:06:01,221,206,53748,57289,237,234,184
2019-08-24 02:36:01,222,205,53844,57363,198,139,178
2019-08-24 03:06:01,223,201,53897,57408,134,99,174
2019-08-24 03:36:01,223,201,53982,57492,144,131,200
2019-08-24 04:06:01,225,201,54119,57600,222,192,208
2019-08-24 04:36:01,226,198,54207,57703,224,214,220
2019-08-24 05:06:02,228,197,54363,57840,261,259,244
2019-08-24 05:37:01,228,197,54519,58036,346,372,241
2019-08-24 06:07:01,228,196,54651,58211,288,371,263
2019-08-24 06:37:01,231,195,54832,58453,297,391,302
2019-08-24 07:07:01,232,194,55015,58668,351,437,309
2019-08-24 07:37:01,234,191,55246,58859,416,396,343
2019-08-24 08:07:02,237,187,55417,59026,344,330,383
2019-08-24 08:38:01,238,185,55591,59216,348,358,400
2019-08-24 09:08:01,239,183,55774,59395,326,353,415
2019-08-24 09:38:01,242,178,55960,59587,350,370,413
2019-08-24 10:08:01,244,179,56155,59766,380,378,406
2019-08-24 10:38:01,246,177,56402,59985,420,381,407
2019-08-24 11:08:01,247,176,56641,60243,496,489,402
2019-08-24 11:38:01,247,175,57014,60532,623,561,378
2019-08-24 12:08:01,247,175,57427,60857,755,581,380
2019-08-24 12:38:02,249,171,57804,61175,769,634,245
