Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers,SquaredWinMargin
2025-02-13 00:28:01,165,204,125100,119666,1709,1762,1949,25281
2025-02-13 00:58:01,167,201,125818,120360,1265,1304,1957,25281
2025-02-13 01:28:01,168,201,126487,121109,1428,1585,2047,25281
2025-02-13 01:58:01,168,201,127387,121864,1803,1512,2108,25281
2025-02-13 02:28:01,168,201,128236,122678,1714,1669,2141,25281
2025-02-13 02:58:01,166,203,129190,123505,1821,1565,2215,25281
2025-02-13 03:28:01,166,203,130193,124435,2033,1878,2310,25281
2025-02-13 03:58:01,167,202,131312,125571,2002,2134,2416,25281
2025-02-13 04:28:01,166,203,132505,126635,2069,1912,2560,25281
2025-02-13 04:58:01,167,201,133669,127624,2352,1997,2690,25281
2025-02-13 05:28:01,168,201,134958,128806,2512,2437,2793,25281
2025-02-13 05:58:01,167,202,136608,130213,3068,2780,2937,25281
2025-02-13 06:28:01,167,202,138278,131788,3377,3173,3125,25281
2025-02-13 06:58:01,166,202,139999,133352,3286,2926,3210,25281
2025-02-13 07:28:01,167,202,141546,134854,3343,3182,3385,25281
2025-02-13 07:58:01,167,202,143509,136392,3987,3098,3518,25281
2025-02-13 08:28:01,167,202,146026,138293,4556,3575,3795,25281
2025-02-13 08:58:01,167,202,148426,140453,4045,3821,3924,25281
2025-02-13 09:28:01,168,201,150385,142488,3810,3868,4015,25281
2025-02-13 09:58:01,168,201,152453,144779,4137,4583,4210,25281
2025-02-13 10:28:01,168,201,154543,147113,3726,4088,4305,25281
2025-02-13 10:58:01,167,202,156749,149586,4388,4939,4381,25281
2025-02-13 11:28:01,167,202,158934,151805,4209,4314,4528,25281
2025-02-13 11:58:01,167,202,161273,154245,4082,4355,4553,25281
2025-02-13 12:28:01,166,203,163470,156467,4491,4506,4551,25281
2025-02-13 12:58:01,166,203,165635,158479,4709,4266,4419,25281
2025-02-13 13:28:01,166,203,167736,160358,3807,3484,4200,25281
2025-02-13 13:58:01,166,203,169839,162375,4069,3870,4073,25281
2025-02-13 14:28:01,166,203,172018,164127,4369,3489,3854,25281
2025-02-13 14:58:01,166,203,174501,166140,4539,3733,3619,25281
2025-02-13 15:28:01,166,203,176705,167996,4277,3588,3533,25281
2025-02-13 15:58:01,168,201,179126,169698,4505,3295,3359,25281
2025-02-13 16:28:01,168,201,180979,171175,3503,2857,3183,25281
2025-02-13 16:58:01,169,200,182788,172810,3630,3297,3112,25281
2025-02-13 17:28:01,170,199,184844,174409,3540,2680,3094,25281
2025-02-13 17:58:01,170,199,186733,175932,3751,3038,3005,25281
2025-02-13 18:28:01,170,199,188255,177274,3046,2685,2956,25281
2025-02-13 18:58:01,170,199,189586,178526,2399,2351,2844,25281
2025-02-13 19:28:02,170,199,190967,179885,2521,2620,2762,25281
2025-02-13 19:59:01,170,199,192371,181376,2785,2967,2684,25281
2025-02-13 20:29:01,169,200,193639,182572,2590,2444,2619,25281
2025-02-13 20:59:01,169,200,194983,183721,2410,2027,2557,25281
2025-02-13 21:29:01,168,201,196368,184794,2518,1893,2461,25281
2025-02-13 21:59:01,167,201,197707,185938,2422,2114,2235,25281
2025-02-13 22:29:01,167,202,198628,186833,1631,1688,2089,25281
2025-02-13 22:59:01,166,202,199419,187647,1406,1448,2007,25281
2025-02-13 23:29:01,166,203,200174,188245,1474,1186,1984,25281
2025-02-13 23:59:01,166,203,200861,188863,1376,1245,1976,25281
2025-02-14 00:29:01,165,204,201568,189537,1420,1364,1972,25281
2025-02-14 00:59:01,165,204,202247,190293,1202,1412,2028,25281
2025-02-14 01:29:01,167,202,203008,191078,1341,1394,2124,25281
2025-02-14 01:59:01,166,203,204080,192014,2102,1812,2191,25281
2025-02-14 02:29:01,166,203,204914,192869,1713,1730,2288,25281
2025-02-14 02:59:01,166,203,205746,193728,1411,1582,2327,25281
2025-02-14 03:29:02,166,203,206603,194555,1610,1585,2423,25281
2025-02-14 04:00:01,166,203,207563,195347,2031,1698,2531,25281
2025-02-14 04:30:01,166,203,208567,196252,1793,1700,2642,25281
2025-02-14 05:00:02,167,202,209754,197317,1908,1647,2740,25281
2025-02-14 05:31:02,167,202,211156,198790,2337,2550,2892,25281
2025-02-14 06:02:01,167,202,212424,200030,2546,2493,3004,25281
2025-02-14 06:32:01,167,202,213711,201079,2581,2100,3167,25281
2025-02-14 07:02:02,167,202,215038,202298,2640,2437,3235,25281
2025-02-14 07:33:01,167,202,216253,203349,2586,2247,3332,25281
2025-02-14 08:03:01,167,202,217762,204683,2967,2542,3615,25281
2025-02-14 08:33:01,167,202,219627,206197,3727,3022,3791,25281
2025-02-14 09:03:01,166,202,221608,207826,3964,3265,3986,25281
2025-02-14 09:33:01,166,203,223552,209242,4053,2973,4105,25281
2025-02-14 10:03:01,166,203,225692,210920,4291,3359,4176,25281
2025-02-14 10:33:01,165,204,227524,212504,3316,2984,4286,25281
2025-02-14 11:03:01,164,205,229528,214149,4036,3314,4345,25281
2025-02-14 11:33:01,165,204,231238,215769,3595,3363,4339,25281
2025-02-14 12:03:01,165,204,233257,217450,3854,3260,4376,25281
2025-02-14 12:33:01,165,204,235468,219368,4284,3705,4347,25281
2025-02-14 13:03:02,165,204,237371,221026,4322,3646,4232,25281
2025-02-14 13:33:02,165,204,239118,222650,3546,3302,4118,25281
2025-02-14 14:04:01,163,206,241375,224609,4352,3778,4036,25281
2025-02-14 14:34:01,163,206,243628,226849,4415,4331,3901,25281
2025-02-14 15:04:01,163,206,245946,229055,4754,4458,3645,25281
2025-02-14 15:34:01,163,206,247797,230796,3779,3669,3593,25281
2025-02-14 16:04:01,162,207,249372,232367,3280,3253,3370,25281
2025-02-14 16:34:01,162,207,250830,233865,2896,3028,3245,25281
2025-02-14 17:04:03,162,207,252162,235202,2645,2616,3130,25281
2025-02-14 17:35:01,161,208,253465,236535,2618,2595,3093,25281
2025-02-14 18:05:01,161,208,254613,237662,2236,2110,2993,25281
2025-02-14 18:35:01,161,208,255579,238591,1932,1856,2984,25281
2025-02-14 19:05:01,161,208,256723,239600,2250,2003,2917,25281
2025-02-14 19:35:01,161,208,257894,240665,2335,2138,2906,25281
2025-02-14 20:05:02,161,208,259041,241690,2241,2078,2868,25281
2025-02-14 20:36:01,161,208,260225,242795,2171,1992,2848,25281
2025-02-14 21:06:01,161,208,261410,243950,2097,2112,2789,25281
2025-02-14 21:36:01,161,208,262314,244834,1709,1666,2680,25281
2025-02-14 22:06:02,161,208,263262,245861,1981,2077,2587,25281
2025-02-14 22:37:02,161,207,264442,246916,2147,1947,2478,25281
2025-02-14 23:08:01,162,207,265441,247913,1948,1968,2440,25281
2025-02-14 23:38:01,162,207,266432,248830,1979,1835,2373,25281
2025-02-15 00:08:01,160,209,267474,249905,1991,2081,2366,25281
2025-02-15 00:38:01,160,209,268390,250756,1820,1693,2457,25281
2025-02-15 01:08:01,161,208,269312,251664,1729,1753,2541,25281
2025-02-15 01:38:01,161,208,270030,252376,1418,1410,2623,25281
2025-02-15 02:08:01,160,208,270843,253109,1601,1428,2724,25281
2025-02-15 02:38:01,161,208,271783,254053,1895,1905,2840,25281
2025-02-15 03:08:01,161,208,272820,255042,2087,2001,3026,25281
2025-02-15 03:38:01,161,208,273847,255859,1994,1629,3166,25281
2025-02-15 04:08:02,161,208,275072,256905,2310,2007,3288,25281
2025-02-15 04:39:01,161,208,276393,258059,2369,2109,3480,25281
2025-02-15 05:09:01,161,208,277926,259501,3107,2912,3613,25281
2025-02-15 05:39:01,160,208,279750,260988,3598,3019,3784,25281
2025-02-15 06:09:01,161,208,281661,262846,3927,3874,3920,25281
2025-02-15 06:39:01,160,208,283415,264773,3467,3806,4104,25281
2025-02-15 07:09:01,161,208,285529,267090,4108,4614,4284,25281
2025-02-15 07:39:01,160,208,287591,268899,3912,3479,4444,25281
2025-02-15 08:09:01,160,209,289567,270888,4015,4054,4497,25281
