Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers,SquaredWinMargin
2019-04-25 08:15:02,77,79,0,0,0,0,441,53361
2019-04-25 08:20:01,77,79,0,0,0,0,464,53361
2019-04-25 08:25:01,78,79,5,13,0,0,495,53361
2019-04-25 08:30:01,78,79,7,14,0,0,510,53361
2019-04-25 08:35:01,78,79,65,70,0,0,506,53361
2019-04-25 08:40:01,80,80,75,75,0,0,518,53361
2019-04-25 08:45:01,80,80,134,128,0,0,517,53361
2019-04-25 08:50:01,81,80,145,139,0,0,521,53361
2019-04-25 08:55:01,81,80,198,188,0,0,532,53361
2019-04-25 09:00:01,81,81,217,201,0,0,530,53361
2019-04-25 09:05:01,83,82,257,291,0,0,532,53361
2019-04-25 09:10:01,83,82,277,317,0,0,535,53361
2019-04-25 09:15:01,82,83,299,360,299,360,541,53361
2019-04-25 09:20:01,83,84,317,381,317,381,539,53361
2019-04-25 09:25:01,83,86,361,437,356,424,535,53361
2019-04-25 09:30:01,83,86,376,457,369,443,539,53361
2019-04-25 09:35:02,83,86,435,495,393,459,527,53361
2019-04-25 09:40:01,84,87,459,529,384,454,528,53361
2019-04-25 09:45:01,84,87,491,571,357,443,531,53361
2019-04-25 09:50:01,85,88,526,607,381,468,527,53361
2019-04-25 09:55:01,85,88,585,659,387,471,535,53361
2019-04-25 10:00:01,87,88,612,687,395,486,535,53361
2019-04-25 10:05:01,87,88,679,768,422,477,545,53361
2019-04-25 10:10:02,86,89,730,814,471,495,550,53361
2019-04-25 10:15:01,86,89,815,914,516,554,557,53361
2019-04-25 10:20:01,87,89,832,922,515,541,543,53361
2019-04-25 10:25:01,86,89,924,990,563,553,548,53361
2019-04-25 10:30:01,86,91,972,1031,596,574,545,53361
2019-04-25 10:35:01,86,93,1059,1121,624,626,550,53361
2019-04-25 10:40:01,86,93,1094,1163,635,634,549,53361
2019-04-25 10:45:01,86,93,1200,1256,709,685,537,53361
2019-04-25 10:50:01,86,93,1225,1270,699,663,532,53361
2019-04-25 10:55:01,85,93,1350,1384,765,725,527,53361
2019-04-25 11:00:01,85,93,1391,1410,779,723,509,53361
2019-04-25 11:05:01,85,93,1519,1526,840,758,507,53361
2019-04-25 11:10:01,85,93,1548,1548,818,734,516,53361
2019-04-25 11:15:01,85,93,1656,1647,841,733,517,53361
2019-04-25 11:20:02,85,93,1696,1686,842,758,523,53361
2019-04-25 11:25:01,85,94,1846,1791,922,801,510,53361
2019-04-25 11:30:01,85,94,1899,1848,927,817,504,53361
2019-04-25 11:35:01,85,94,2000,1930,941,809,508,53361
2019-04-25 11:40:01,85,94,2010,1948,916,785,509,53361
2019-04-25 11:45:01,85,94,2145,2065,945,809,499,53361
2019-04-25 11:50:01,85,94,2222,2125,997,855,480,53361
2019-04-25 11:55:01,85,94,2331,2195,981,811,491,53361
2019-04-25 12:00:01,85,94,2345,2206,954,796,498,53361
2019-04-25 12:05:01,85,95,2548,2395,1029,869,496,53361
2019-04-25 12:10:02,85,95,2558,2401,983,821,496,53361
2019-04-25 12:15:01,85,95,2702,2537,1046,890,497,53361
2019-04-25 12:20:01,84,95,2728,2560,1032,874,490,53361
2019-04-25 12:25:01,83,95,2880,2677,1034,886,489,53361
2019-04-25 12:30:02,83,96,2918,2729,1001,870,488,53361
2019-04-25 12:35:01,83,95,3038,2812,1038,882,482,53361
2019-04-25 12:40:02,84,95,3077,2862,1015,869,479,53361
2019-04-25 12:45:01,84,95,3160,2965,1015,900,482,53361
2019-04-25 12:50:01,84,95,3215,3011,993,886,494,53361
2019-04-25 12:55:01,83,95,3359,3149,1028,954,495,53361
2019-04-25 13:00:01,83,94,3429,3201,1084,995,479,53361
2019-04-25 13:05:01,84,94,3544,3302,996,907,480,53361
2019-04-25 13:10:01,83,94,3630,3361,1072,960,482,53361
2019-04-25 13:15:01,83,94,3692,3424,990,887,480,53361
2019-04-25 13:20:01,83,93,3752,3458,1024,898,487,53361
2019-04-25 13:25:01,83,93,3846,3537,966,860,484,53361
2019-04-25 13:30:01,82,93,3852,3540,934,811,476,53361
2019-04-25 13:35:01,82,94,3989,3639,951,827,473,53361
2019-04-25 13:40:02,83,94,4017,3652,940,790,454,53361
2019-04-25 13:45:01,83,94,4106,3714,946,749,461,53361
2019-04-25 13:50:01,83,94,4144,3745,929,734,446,53361
2019-04-25 13:55:01,82,94,4242,3835,883,686,439,53361
2019-04-25 14:00:01,82,94,4296,3873,867,672,436,53361
2019-04-25 14:05:01,82,94,4371,3940,827,638,432,53361
2019-04-25 14:10:01,82,94,4399,3968,769,607,433,53361
2019-04-25 14:15:01,82,95,4502,4074,810,650,425,53361
2019-04-25 14:20:01,81,95,4580,4147,828,689,423,53361
2019-04-25 14:25:01,81,95,4662,4200,816,663,421,53361
2019-04-25 14:30:01,82,95,4756,4281,904,741,423,53361
2019-04-25 14:35:01,82,95,4819,4352,830,713,414,53361
2019-04-25 14:40:01,82,95,4902,4393,885,741,411,53361
2019-04-25 14:45:01,81,95,5022,4484,916,770,409,53361
2019-04-25 14:50:01,81,96,5097,4566,953,821,407,53361
2019-04-25 14:55:01,81,96,5200,4641,958,806,405,53361
2019-04-25 15:00:01,80,95,5225,4654,929,781,396,53361
2019-04-25 15:05:01,80,95,5320,4735,949,795,394,53361
2019-04-25 15:10:01,80,96,5376,4771,977,803,390,53361
2019-04-25 15:15:01,80,96,5456,4851,954,777,379,53361
2019-04-25 15:20:01,81,95,5487,4870,907,723,371,53361
2019-04-25 15:25:01,82,95,5621,4955,959,755,371,53361
2019-04-25 15:30:01,81,95,5645,4962,889,681,362,53361
2019-04-25 15:35:01,81,95,5773,5063,954,711,362,53361
2019-04-25 15:40:03,81,95,5773,5064,818,632,363,53361
2019-04-25 15:45:01,81,95,5925,5164,903,680,362,53361
2019-04-25 15:50:01,81,94,5934,5174,837,608,365,53361
2019-04-25 15:55:01,81,94,6061,5272,861,631,362,53361
2019-04-25 16:00:01,80,96,6101,5308,876,654,365,53361
2019-04-25 16:05:02,80,96,6198,5389,895,673,356,53361
2019-04-25 16:10:01,80,96,6200,5393,824,622,363,53361
2019-04-25 16:15:01,79,96,6363,5532,907,681,363,53361
2019-04-25 16:20:01,79,96,6386,5561,899,691,366,53361
2019-04-25 16:25:01,79,97,6499,5630,878,675,368,53361
2019-04-25 16:30:02,79,97,6525,5641,820,630,366,53361
2019-04-25 16:35:01,79,97,6672,5721,899,658,363,53361
2019-04-25 16:40:01,79,98,6722,5753,949,689,364,53361
2019-04-25 16:45:01,79,98,6810,5826,885,662,355,53361
2019-04-25 16:50:01,79,98,6810,5826,876,652,353,53361
2019-04-25 16:55:01,79,98,6911,5926,850,654,350,53361
2019-04-25 17:00:01,78,98,6919,5937,818,629,348,53361
2019-04-25 17:05:01,78,98,7015,6025,817,636,342,53361
2019-04-25 17:10:01,78,98,7068,6084,868,691,347,53361
2019-04-25 17:15:01,78,97,7135,6141,772,609,338,53361
2019-04-25 17:20:01,79,97,7164,6164,778,603,345,53361
2019-04-25 17:25:01,79,97,7254,6242,755,612,346,53361
2019-04-25 17:30:01,79,96,7281,6263,756,622,345,53361
2019-04-25 17:35:01,80,96,7364,6328,692,607,340,53361
2019-04-25 17:40:01,80,96,7406,6367,684,614,345,53361
2019-04-25 17:45:01,80,96,7446,6397,636,571,351,53361
2019-04-25 17:50:01,80,96,7463,6417,653,591,351,53361
2019-04-25 17:55:01,80,96,7567,6503,656,577,360,53361
2019-04-25 18:00:01,80,96,7567,6506,648,569,362,53361
2019-04-25 18:05:01,80,96,7707,6642,692,617,358,53361
2019-04-25 18:10:01,80,96,7715,6654,647,570,361,53361
2019-04-25 18:15:01,80,96,7846,6789,711,648,357,53361
2019-04-25 18:20:02,80,96,7846,6789,645,597,359,53361
2019-04-25 18:25:01,80,96,7992,6937,738,695,357,53361
2019-04-25 18:30:01,80,94,8061,7008,780,745,351,53361
2019-04-25 18:35:01,80,94,8098,7051,734,723,360,53361
2019-04-25 18:40:01,82,94,8124,7080,718,713,362,53361
2019-04-25 18:45:01,82,94,8209,7179,763,782,363,53361
2019-04-25 18:50:01,82,94,8232,7198,769,781,359,53361
2019-04-25 18:55:01,82,94,8340,7312,773,809,354,53361
2019-04-25 19:00:01,82,94,8346,7319,779,813,353,53361
2019-04-25 19:05:01,82,94,8480,7451,773,809,355,53361
2019-04-25 19:10:01,82,94,8535,7492,820,838,352,53361
2019-04-25 19:15:01,81,95,8638,7592,792,803,354,53361
2019-04-25 19:20:01,81,95,8682,7632,836,843,343,53361
2019-04-25 19:25:01,82,95,8793,7716,801,779,346,53361
2019-04-25 19:30:01,82,95,8838,7742,777,734,344,53361
2019-04-25 19:35:01,82,95,8975,7860,877,809,336,53361
2019-04-25 19:40:01,82,95,9028,7888,904,808,339,53361
2019-04-25 19:45:01,82,95,9191,8007,982,828,338,53361
2019-04-25 19:50:01,82,95,9264,8059,1032,861,336,53361
2019-04-25 19:55:01,82,95,9401,8180,1061,868,345,53361
2019-04-25 20:00:01,82,95,9439,8207,1093,888,350,53361
2019-04-25 20:05:01,82,95,9579,8335,1099,884,351,53361
2019-04-25 20:10:01,82,95,9616,8381,1081,889,349,53361
2019-04-25 20:15:02,82,95,9736,8474,1149,917,345,53361
2019-04-25 20:20:01,82,95,9762,8509,1080,877,331,53361
2019-04-25 20:25:01,82,95,9851,8571,1058,855,336,53361
2019-04-25 20:30:01,82,95,9868,8579,1030,837,330,53361
