Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers,SquaredWinMargin
2019-04-06 05:00:01,0,0,0,0,0,0,405,66564
2019-04-06 05:05:02,114,176,45742,44983,879,645,399,66564
2019-04-06 05:10:01,112,178,45807,45046,871,654,409,66564
2019-04-06 05:15:01,112,179,45809,45050,812,621,404,66564
2019-04-06 05:20:01,112,179,45891,45139,846,670,413,66564
2019-04-06 05:25:01,113,176,45971,45202,866,690,410,66564
2019-04-06 05:30:01,113,177,45996,45225,786,644,407,66564
2019-04-06 05:35:01,111,178,46056,45319,761,692,412,66564
2019-04-06 05:40:01,111,176,46107,45351,762,672,405,66564
2019-04-06 05:45:01,111,176,46144,45380,704,641,413,66564
2019-04-06 05:50:01,111,177,46233,45443,693,617,421,66564
2019-04-06 05:55:01,112,176,46264,45466,688,609,433,66564
2019-04-06 06:00:01,112,177,46341,45542,654,610,427,66564
2019-04-06 06:05:01,113,177,46380,45597,638,614,433,66564
2019-04-06 06:10:01,113,179,46428,45642,621,596,438,66564
2019-04-06 06:15:01,113,179,46487,45691,678,641,390,66564
2019-04-06 06:20:01,113,179,46590,45795,699,656,317,66564
2019-04-06 06:25:01,114,179,46635,45841,664,639,332,66564
2019-04-06 06:30:01,114,179,46672,45876,676,651,332,66564
2019-04-06 06:35:01,113,179,46740,45937,684,618,323,66564
2019-04-06 06:40:01,113,178,46780,45996,673,645,378,66564
2019-04-06 06:45:01,114,180,46846,46052,702,672,424,66564
2019-04-06 06:50:01,114,180,46911,46134,678,691,457,66564
2019-04-06 06:55:01,114,179,47037,46215,773,749,466,66564
2019-04-06 07:00:01,115,179,47114,46297,773,755,479,66564
2019-04-06 07:05:01,115,179,47194,46346,814,749,484,66564
2019-04-06 07:10:01,115,179,47252,46417,824,775,506,66564
2019-04-06 07:15:01,115,179,47397,46525,910,834,513,66564
2019-04-06 07:20:01,115,179,47534,46666,944,871,525,66564
2019-04-06 07:25:01,115,179,47616,46704,981,863,532,66564
2019-04-06 07:30:01,115,179,47693,46788,1021,912,533,66564
2019-04-06 07:35:01,115,179,47800,46851,1060,914,543,66564
2019-04-06 07:40:01,115,179,47964,46998,1184,1002,547,66564
2019-04-06 07:45:01,115,179,48062,47089,1216,1037,554,66564
2019-04-06 07:50:01,115,179,48132,47126,1221,992,562,66564
2019-04-06 07:55:01,115,180,48298,47226,1261,1011,572,66564
2019-04-06 08:00:01,115,180,48373,47345,1259,1048,575,66564
2019-04-06 08:05:01,115,180,48497,47415,1303,1069,586,66564
2019-04-06 08:10:01,115,180,48669,47594,1417,1177,609,66564
2019-04-06 08:15:01,115,180,48797,47675,1400,1150,606,66564
2019-04-06 08:20:01,115,180,48877,47767,1343,1101,620,66564
2019-04-06 08:25:01,114,180,48972,47866,1356,1162,623,66564
2019-04-06 08:30:01,114,179,49113,47994,1420,1206,623,66564
2019-04-06 08:35:01,114,179,49200,48039,1400,1188,621,66564
2019-04-06 08:40:01,114,180,49289,48176,1325,1178,633,66564
2019-04-06 08:45:01,114,181,49455,48309,1393,1220,636,66564
2019-04-06 08:50:01,114,181,49520,48372,1388,1246,642,66564
2019-04-06 08:55:01,115,181,49651,48491,1353,1265,644,66564
2019-04-06 09:00:01,115,181,49753,48565,1380,1220,651,66564
2019-04-06 09:05:01,115,181,49849,48659,1352,1244,642,66564
2019-04-06 09:10:01,115,181,49942,48764,1273,1170,658,66564
2019-04-06 09:15:01,115,181,50064,48895,1267,1220,666,66564
2019-04-06 09:20:02,115,180,50141,48985,1275,1220,471,66564
2019-04-06 09:25:01,115,180,50241,49075,1269,1209,507,66564
2019-04-06 09:30:01,115,180,50303,49146,1190,1152,514,66564
2019-04-06 09:35:01,115,180,50352,49215,1152,1176,466,66564
2019-04-06 09:40:01,115,180,50428,49322,1139,1146,446,66564
2019-04-06 09:45:01,115,179,50535,49468,1080,1159,441,66564
2019-04-06 09:50:01,115,179,50561,49493,1041,1121,434,66564
2019-04-06 09:55:01,115,179,50648,49561,997,1070,422,66564
2019-04-06 10:00:01,115,179,50684,49597,931,1032,414,66564
2019-04-06 10:05:02,115,179,50770,49674,902,992,404,66564
2019-04-06 10:10:01,115,179,50806,49709,864,945,394,66564
2019-04-06 10:15:01,115,178,50866,49781,802,886,412,66564
2019-04-06 10:20:01,117,177,50897,49812,756,827,504,66564
2019-04-06 10:25:01,117,175,50989,49856,748,781,532,66564
2019-04-06 10:30:01,117,174,51019,49904,716,758,555,66564
2019-04-06 10:35:01,118,174,51150,50016,798,801,570,66564
2019-04-06 10:40:01,118,174,51192,50067,764,745,586,66564
2019-04-06 10:45:01,118,174,51315,50163,780,695,608,66564
2019-04-06 10:50:01,117,174,51375,50232,814,739,612,66564
2019-04-06 10:55:01,117,175,51475,50342,827,781,636,66564
2019-04-06 11:00:01,118,175,51598,50449,914,852,644,66564
2019-04-06 11:05:01,118,175,51696,50526,926,852,668,66564
2019-04-06 11:10:01,118,175,51761,50584,955,875,678,66564
2019-04-06 11:15:01,118,175,51926,50712,1060,931,672,66564
