Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers,SquaredWinMargin
2020-02-06 09:20:01,83,65,0,1,0,3,503,30625
2020-02-06 09:50:01,118,85,553,457,59,75,578,30625
2020-02-06 10:20:01,127,86,1201,1112,1201,1111,582,30625
2020-02-06 10:50:01,129,110,1826,1783,1273,1326,600,30625
2020-02-06 11:20:01,129,110,2524,2521,1322,1409,570,30625
2020-02-06 11:50:01,130,112,3117,3079,1222,1219,533,30625
2020-02-06 12:20:01,130,112,3743,3722,1274,1236,508,30625
2020-02-06 12:50:02,130,112,4379,4339,1262,1260,479,30625
2020-02-06 13:21:01,130,112,4891,4885,1148,1163,463,30625
2020-02-06 13:51:01,130,112,5372,5484,999,1147,439,30625
2020-02-06 14:21:01,130,125,5863,6003,972,1082,423,30625
2020-02-06 14:51:01,130,125,6374,6491,1011,1015,413,30625
2020-02-06 15:21:02,130,124,6846,6893,983,890,427,30625
2020-02-06 15:52:01,130,124,7288,7313,914,822,419,30625
2020-02-06 16:22:01,130,124,7740,7787,894,895,414,30625
2020-02-06 16:52:01,130,124,8199,8224,902,874,414,30625
2020-02-06 17:22:01,130,124,8711,8708,980,940,439,30625
2020-02-06 17:52:01,130,124,9209,9137,991,901,444,30625
2020-02-06 18:22:01,130,124,9738,9714,1029,1007,412,30625
2020-02-06 18:52:01,130,124,10197,10218,988,1083,417,30625
2020-02-06 19:22:01,130,124,10733,10674,994,962,389,30625
2020-02-06 19:52:02,130,125,11178,11068,981,851,390,30625
2020-02-06 20:23:01,130,125,11602,11505,862,826,357,30625
2020-02-06 20:53:01,130,125,12122,11914,945,846,352,30625
2020-02-06 21:23:02,130,125,12660,12414,1067,914,328,30625
2020-02-06 21:54:01,130,125,13089,12792,927,813,293,30625
2020-02-06 22:24:01,129,125,13500,13170,850,765,275,30625
2020-02-06 22:54:01,129,125,13793,13550,705,758,262,30625
2020-02-06 23:24:01,129,125,14098,13840,560,620,248,30625
2020-02-06 23:54:01,129,125,14439,14129,624,559,239,30625
2020-02-07 00:24:01,129,125,14685,14417,587,573,252,30625
2020-02-07 00:54:01,129,125,14976,14757,519,593,231,30625
2020-02-07 01:24:01,128,126,15185,15063,450,583,233,30625
2020-02-07 01:54:01,128,126,15360,15275,413,559,232,30625
2020-02-07 02:24:01,128,126,15594,15501,412,437,242,30625
2020-02-07 02:54:02,128,126,15846,15753,486,478,255,30625
