Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers,SquaredWinMargin
2019-05-31 05:25:02,0,0,0,0,0,0,276,32761
2019-05-31 05:30:01,0,0,0,0,0,0,276,32761
2019-05-31 05:35:01,0,0,0,0,0,0,265,32761
2019-05-31 05:40:01,0,0,0,0,0,0,265,32761
2019-05-31 05:45:01,0,0,0,0,0,0,266,32761
2019-05-31 05:50:01,187,88,152856,163970,278,260,275,32761
2019-05-31 05:55:01,186,88,152902,164009,263,240,280,32761
2019-05-31 06:00:01,187,88,152930,164026,266,228,285,32761
2019-05-31 06:05:01,187,88,152944,164049,272,241,286,32761
2019-05-31 06:10:01,188,85,152963,164069,262,248,284,32761
2019-05-31 06:15:01,186,85,152981,164080,257,229,286,32761
2019-05-31 06:20:01,186,86,153004,164107,276,252,289,32761
2019-05-31 06:25:01,186,84,153008,164108,270,244,289,32761
2019-05-31 06:30:02,187,85,153059,164189,294,293,283,32761
2019-05-31 06:35:01,187,84,153070,164198,284,281,290,32761
2019-05-31 06:40:01,189,84,153099,164221,289,282,299,32761
2019-05-31 06:45:01,191,84,153138,164239,297,277,304,32761
2019-05-31 06:50:01,192,83,153153,164255,291,274,307,32761
2019-05-31 06:55:01,192,83,153182,164268,302,275,303,32761
2019-05-31 07:00:01,193,83,153226,164306,299,275,308,32761
2019-05-31 07:05:01,194,83,153249,164316,294,268,304,32761
2019-05-31 07:10:01,195,82,153263,164355,295,283,316,32761
2019-05-31 07:15:02,195,82,153305,164388,317,295,313,32761
2019-05-31 07:20:02,195,82,153326,164420,318,313,311,32761
2019-05-31 07:25:01,195,82,153361,164455,330,321,311,32761
2019-05-31 07:30:01,195,81,153383,164486,346,349,312,32761
2019-05-31 07:35:01,195,81,153412,164534,327,319,308,32761
2019-05-31 07:40:01,195,81,153434,164561,337,335,310,32761
2019-05-31 07:45:01,195,81,153454,164584,327,336,315,32761
2019-05-31 07:50:01,196,80,153486,164634,321,365,309,32761
2019-05-31 07:55:01,196,80,153490,164640,312,356,311,32761
2019-05-31 08:00:01,196,80,153516,164676,309,376,300,32761
2019-05-31 08:05:01,196,81,153578,164730,325,391,289,32761
2019-05-31 08:10:01,196,81,153613,164762,337,411,290,32761
2019-05-31 08:15:01,196,81,153630,164780,340,392,291,32761
2019-05-31 08:20:01,197,80,153702,164842,367,420,295,32761
2019-05-31 08:25:01,197,80,153714,164846,358,393,304,32761
2019-05-31 08:30:01,198,79,153785,164892,392,403,312,32761
2019-05-31 08:35:01,198,79,153846,164924,428,404,321,32761
2019-05-31 08:40:01,198,79,153920,164974,470,406,313,32761
2019-05-31 08:45:01,199,79,153937,165000,464,405,313,32761
2019-05-31 08:50:01,200,79,153987,165037,492,419,311,32761
2019-05-31 08:55:01,200,79,154009,165048,484,383,307,32761
2019-05-31 09:00:01,200,79,154057,165101,524,426,304,32761
2019-05-31 09:05:01,200,79,154078,165122,520,412,304,32761
2019-05-31 09:10:01,200,79,154085,165134,469,373,310,32761
2019-05-31 09:15:01,200,79,154137,165174,485,380,314,32761
2019-05-31 09:20:01,199,79,154170,165208,500,395,307,32761
2019-05-31 09:25:01,200,79,154241,165268,499,394,316,32761
2019-05-31 09:30:01,199,79,154270,165309,514,428,319,32761
2019-05-31 09:35:01,199,79,154290,165342,467,415,326,32761
2019-05-31 09:40:01,199,79,154309,165356,428,399,326,32761
2019-05-31 09:45:01,201,79,154337,165378,386,374,335,32761
2019-05-31 09:50:01,201,79,154366,165396,396,366,343,32761
2019-05-31 09:55:01,201,79,154420,165434,400,366,346,32761
2019-05-31 10:00:01,201,79,154440,165459,399,380,337,32761
2019-05-31 10:05:01,201,79,154484,165485,395,355,347,32761
2019-05-31 10:10:02,201,79,154509,165506,399,355,356,32761
2019-05-31 10:15:01,201,77,154541,165533,421,369,360,32761
2019-05-31 10:20:01,201,76,154580,165550,409,348,365,32761
2019-05-31 10:25:01,201,75,154612,165574,409,339,370,32761
2019-05-31 10:30:01,201,75,154638,165588,367,295,368,32761
2019-05-31 10:35:01,200,75,154690,165608,388,276,377,32761
2019-05-31 10:40:01,199,75,154732,165637,408,272,377,32761
2019-05-31 10:45:01,197,75,154762,165672,418,293,379,32761
2019-05-31 10:50:02,197,74,154772,165687,401,286,380,32761
2019-05-31 10:55:01,197,74,154806,165712,406,292,380,32761
2019-05-31 11:00:01,198,74,154815,165716,366,261,393,32761
2019-05-31 11:05:01,199,76,154867,165761,396,279,394,32761
2019-05-31 11:10:01,199,76,154883,165775,370,268,392,32761
2019-05-31 11:15:01,199,76,154913,165799,374,271,401,32761
