Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualtyRate,SteamPlayers,WardenPlayHours,ColonialPlayHours,WinMargin
2022-05-03 10:12:01,1104,1099,169,181,0,0,0,0,3282,0,0,325
2022-05-03 10:42:01,1826,1549,266,254,3588,3535,2104,2109,3766,913,774,325
2022-05-03 11:12:01,1874,1630,265,265,7979,7801,8178,7989,3887,1850,1589,325
2022-05-03 11:42:01,1792,1655,264,265,11805,11709,8180,8113,3868,2746,2417,325
2022-05-03 12:12:01,1773,1713,262,267,15835,15611,8015,7926,3816,3632,3273,325
2022-05-03 12:42:01,1693,1598,262,267,20005,19865,8221,8163,3656,4479,4072,325
2022-05-03 13:12:01,1637,1537,262,268,23842,23831,7948,8116,3518,5297,4841,325
2022-05-03 13:42:02,1540,1409,261,269,27060,27384,7114,7608,3267,6067,5545,325
2022-05-03 14:13:01,1496,1345,261,269,30533,30861,6441,6730,3132,6840,6240,325
2022-05-03 14:43:01,1380,1268,261,269,33969,34224,6955,6918,2929,7530,6874,325
2022-05-03 15:13:01,1299,1186,261,269,37085,37478,6435,6461,2764,8179,7467,325
2022-05-03 15:43:01,1231,1110,261,269,40016,40298,5962,5967,2604,8795,8022,325
2022-05-03 16:13:01,1168,1085,261,269,42799,43318,5717,5780,0,9379,8564,325
2022-05-03 16:43:01,1033,897,261,269,45202,45772,5123,5335,1941,9895,9013,325
2022-05-03 17:13:02,1090,985,261,269,47318,47880,4428,4491,2338,10441,9506,325
2022-05-03 17:44:01,1136,993,261,269,49480,50280,4220,4485,2359,11027,10018,325
2022-05-03 18:14:01,1092,983,261,269,52067,52867,4534,4795,2306,11573,10510,325
2022-05-03 18:44:02,1046,936,261,269,54416,55124,4893,4755,2258,12097,10978,325
2022-05-03 19:15:01,1033,909,262,269,57053,57331,4827,4323,2181,12630,11448,325
2022-05-03 19:45:02,1001,887,261,270,59204,59260,4332,3726,2103,13131,11891,325
2022-05-03 20:15:02,914,788,260,270,61196,61618,3868,4109,0,13588,12285,325
