Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualtyRate,SteamPlayers,WardenPlayHours,ColonialPlayHours,WinMargin
2021-06-29 09:33:01,1152,1107,179,181,574,620,265,244,2660,576,553,-224
2021-06-29 10:03:01,1364,1267,186,193,3410,3306,1534,1484,2983,1258,1187,-224
2021-06-29 10:33:01,1409,1336,195,197,6085,5768,5486,5136,3076,1962,1855,-224
2021-06-29 11:03:01,1379,1345,197,197,9115,8230,5649,4889,3052,2652,2527,-224
2021-06-29 11:33:01,1403,1309,197,197,11958,10873,6017,5283,3058,3353,3182,-224
2021-06-29 12:03:01,1423,1324,198,197,15295,13721,6428,5670,3099,4065,3844,-224
2021-06-29 12:33:01,1384,1301,198,197,18467,16751,6453,5852,3057,4757,4494,-224
2021-06-29 13:03:01,1376,1288,198,197,21899,19833,6745,6288,3004,5445,5138,-224
2021-06-29 13:33:01,1351,1246,198,197,24946,22815,6556,6134,2928,6120,5761,-224
2021-06-29 14:03:01,1284,1196,198,197,28050,25898,6292,6205,2799,6762,6359,-224
2021-06-29 14:33:01,1209,1149,198,197,30949,28892,6256,6340,2670,7367,6934,-224
2021-06-29 15:03:01,1139,1086,198,197,33663,31347,5583,5420,2481,7936,7477,-224
2021-06-29 15:33:01,1078,1028,198,197,36239,33779,5705,5323,2379,8475,7991,-224
2021-06-29 16:03:01,1041,1023,197,198,38922,36163,5198,4725,2324,8996,8502,-224
2021-06-29 16:33:02,985,1025,196,199,41421,38586,5338,4973,2314,9488,9015,-224
2021-06-29 17:04:01,961,1015,196,199,43994,41052,5205,4944,2247,9985,9539,-224
2021-06-29 17:34:01,977,1003,194,199,46190,43461,4856,4952,2267,10473,10040,-224
2021-06-29 18:04:01,948,994,194,199,48713,45812,4725,4749,2214,10947,10537,-224
2021-06-29 18:34:01,915,980,194,199,51051,48100,4731,4610,2157,11405,11027,-224
2021-06-29 19:04:01,891,961,194,199,53231,50259,4674,4551,2111,11850,11508,-224
