Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,ColonialCasualityRateHr,SteamPlayers
2019-03-26 10:55:01,0,0,0,0,0,0,0/hr,526
2019-03-26 11:00:01,87,249,347481,319730,861,744,744/hr,539
2019-03-26 11:05:01,87,248,347541,319786,806,706,706/hr,539
2019-03-26 11:10:01,89,247,347639,319870,871,739,739/hr,532
2019-03-26 11:15:01,91,248,347730,319930,868,681,681/hr,542
2019-03-26 11:20:01,90,248,347778,319970,862,653,653/hr,555
2019-03-26 11:25:01,90,248,347812,319992,853,623,623/hr,567
2019-03-26 11:30:01,91,249,347898,320049,899,658,658/hr,580
2019-03-26 11:35:01,91,248,347919,320075,820,601,601/hr,589
2019-03-26 11:40:01,92,249,348065,320191,946,704,704/hr,599
2019-03-26 11:45:01,92,249,348124,320243,892,697,697/hr,601
2019-03-26 11:50:01,92,249,348258,320372,947,760,760/hr,597
2019-03-26 11:55:01,92,249,348303,320412,896,744,744/hr,606
2019-03-26 12:00:01,92,249,348448,320493,967,763,763/hr,604
2019-03-26 12:05:01,92,249,348519,320547,978,761,761/hr,608
2019-03-26 12:10:01,91,249,348599,320617,960,747,747/hr,621
2019-03-26 12:15:02,90,249,348692,320694,997,789,789/hr,626
2019-03-26 12:25:01,89,249,348820,320791,1008,799,799/hr,626
2019-03-26 12:30:01,88,249,348898,320869,1000,820,820/hr,620
2019-03-26 12:35:01,86,250,348924,320888,1005,813,813/hr,634
2019-03-26 12:40:01,85,249,348977,320959,912,768,768/hr,645
2019-03-26 12:45:01,85,249,349067,321073,943,830,830/hr,664
2019-03-26 12:50:01,84,250,349142,321136,884,764,764/hr,666
2019-03-26 12:55:01,84,250,349177,321181,874,769,769/hr,663
2019-03-26 13:00:01,84,250,349273,321265,825,772,772/hr,664
2019-03-26 13:05:01,84,250,349321,321340,802,793,793/hr,655
2019-03-26 13:10:01,83,250,349422,321423,823,806,806/hr,650
2019-03-26 13:15:01,82,250,349461,321472,769,778,778/hr,651
2019-03-26 13:20:02,82,250,349546,321552,793,830,830/hr,644
2019-03-26 13:25:01,83,251,349588,321600,768,809,809/hr,652
2019-03-26 13:30:01,83,250,349652,321663,754,794,794/hr,660
2019-03-26 13:35:01,83,251,349697,321705,773,817,817/hr,658
2019-03-26 13:40:01,83,252,349748,321748,771,789,789/hr,663
2019-03-26 13:45:01,84,251,349805,321829,738,756,756/hr,666
2019-03-26 13:50:01,84,250,349900,321991,758,855,855/hr,662
