Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,ColonialCasualityRateHr,SteamPlayers
2020-08-03 09:26:01,107,99,289,275,20,3,3/hr,513
2020-08-03 09:56:01,108,102,1019,1057,1019,1057,1057/hr,528
2020-08-03 10:26:01,110,102,1619,1700,1353,1441,1441/hr,529
2020-08-03 10:56:01,110,102,2143,2264,1118,1199,1199/hr,493
2020-08-03 11:26:01,110,102,2769,2951,1152,1252,1252/hr,500
2020-08-03 11:56:01,110,102,3584,3655,1421,1367,1367/hr,483
2020-08-03 12:26:01,110,102,4369,4390,1600,1439,1439/hr,453
2020-08-03 12:56:01,111,101,5078,4989,1564,1422,1422/hr,439
2020-08-03 13:26:01,112,100,5805,5708,1386,1318,1318/hr,421
2020-08-03 13:56:01,112,100,6467,6325,1335,1255,1255/hr,392
2020-08-03 14:26:01,113,99,7090,6964,1310,1283,1283/hr,377
2020-08-03 14:56:01,114,98,7540,7488,1013,1101,1101/hr,343
2020-08-03 15:26:01,114,98,7863,7806,779,847,847/hr,334
2020-08-03 15:56:01,114,98,8141,8088,606,600,600/hr,348
2020-08-03 16:26:01,114,98,8453,8412,591,606,606/hr,362
2020-08-03 16:56:01,114,98,8779,8789,639,701,701/hr,345
2020-08-03 17:26:01,114,98,9119,9166,669,757,757/hr,347
2020-08-03 17:56:01,114,98,9426,9551,647,762,762/hr,348
2020-08-03 18:26:01,115,97,9782,10006,637,840,840/hr,335
2020-08-03 18:56:01,115,97,10113,10351,687,800,800/hr,348
2020-08-03 19:26:01,116,96,10449,10690,644,669,669/hr,362
2020-08-03 19:56:01,117,95,10727,11098,602,727,727/hr,346
2020-08-03 20:26:01,118,94,10974,11396,526,702,702/hr,323
2020-08-03 20:56:01,118,93,11229,11734,502,636,636/hr,297
2020-08-03 21:26:01,118,93,11526,12068,553,672,672/hr,284
2020-08-03 21:56:01,118,93,11786,12372,557,638,638/hr,278
2020-08-03 22:26:01,119,92,12027,12702,497,656,656/hr,277
2020-08-03 22:56:01,119,92,12237,12958,451,586,586/hr,256
2020-08-03 23:26:01,119,92,12421,13193,394,491,491/hr,248
2020-08-03 23:56:01,120,90,12569,13480,289,476,476/hr,246
2020-08-04 00:26:01,120,90,12723,13676,302,485,485/hr,238
2020-08-04 00:56:01,121,88,12897,13883,320,392,392/hr,235
2020-08-04 01:26:01,121,88,13079,14127,357,452,452/hr,244
2020-08-04 01:56:01,121,88,13184,14368,290,494,494/hr,226
2020-08-04 02:26:01,120,86,13286,14592,208,466,466/hr,227
2020-08-04 02:56:01,121,86,13342,14668,159,303,303/hr,211
2020-08-04 03:26:01,121,86,13406,14755,121,162,162/hr,248
2020-08-04 03:56:01,122,86,13524,14856,184,190,190/hr,255
2020-08-04 04:26:01,122,86,13806,15095,421,355,355/hr,284
2020-08-04 04:56:01,121,86,14092,15408,567,549,549/hr,321
2020-08-04 05:26:01,122,86,14459,15778,643,680,680/hr,326
2020-08-04 05:56:01,122,86,14783,16149,691,742,742/hr,323
2020-08-04 06:26:01,122,86,15144,16588,757,900,900/hr,309
2020-08-04 06:56:01,122,86,15466,16919,683,772,772/hr,307
2020-08-04 07:26:01,122,86,15656,17135,496,511,511/hr,308
2020-08-04 07:56:01,122,86,15909,17378,444,460,460/hr,276
2020-08-04 08:26:01,122,86,16163,17695,507,563,563/hr,278
2020-08-04 08:56:01,122,86,16447,17927,521,517,517/hr,291
2020-08-04 09:26:01,122,86,16697,18221,513,497,497/hr,290
2020-08-04 09:56:01,122,86,16871,18401,425,474,474/hr,296
2020-08-04 10:26:01,122,86,17090,18579,397,358,358/hr,326
2020-08-04 10:56:02,122,86,17436,18948,577,549,549/hr,329
2020-08-04 11:27:01,122,86,17659,19178,567,580,580/hr,342
2020-08-04 11:57:01,122,86,17938,19468,501,523,523/hr,351
2020-08-04 12:27:01,122,86,18198,19702,527,517,517/hr,344
2020-08-04 12:57:01,123,85,18499,20001,522,482,482/hr,357
2020-08-04 13:27:01,125,85,18710,20284,525,599,599/hr,383
2020-08-04 13:57:01,129,84,18991,20670,494,669,669/hr,386
2020-08-04 14:27:01,130,84,19262,21066,551,782,782/hr,369
2020-08-04 14:57:01,130,83,19485,21367,499,704,704/hr,355
2020-08-04 15:27:01,131,81,19649,21613,387,549,549/hr,332
2020-08-04 15:57:02,132,81,19849,21933,364,566,566/hr,329
2020-08-04 16:28:01,134,79,20068,22194,420,559,559/hr,0
2020-08-04 16:58:01,134,78,20207,22389,358,456,456/hr,264
2020-08-04 17:28:01,135,77,20391,22611,324,408,408/hr,273
2020-08-04 17:58:01,135,76,20533,22840,316,446,446/hr,289
2020-08-04 18:28:01,137,74,20694,23016,290,361,361/hr,283
2020-08-04 18:58:02,137,74,20909,23202,345,341,341/hr,263
2020-08-04 19:29:01,137,74,21192,23444,467,412,412/hr,283
2020-08-04 19:59:01,136,74,21460,23739,527,501,501/hr,283
2020-08-04 20:29:01,136,74,21663,24078,472,634,634/hr,266
2020-08-04 20:59:01,137,74,21879,24329,419,590,590/hr,226
2020-08-04 21:29:01,137,74,22027,24501,339,373,373/hr,227
2020-08-04 21:59:01,136,73,22155,24629,256,261,261/hr,219
2020-08-04 22:29:01,136,72,22256,24716,230,215,215/hr,216
2020-08-04 22:59:01,137,74,22316,24766,167,144,144/hr,203
2020-08-04 23:29:01,138,72,22388,24809,133,93,93/hr,188
2020-08-04 23:59:01,137,72,22463,24904,146,139,139/hr,182
2020-08-05 00:29:01,139,72,22590,25086,201,275,275/hr,198
2020-08-05 00:59:01,139,72,22708,25243,245,339,339/hr,217
2020-08-05 01:29:01,139,72,22898,25398,308,312,312/hr,220
2020-08-05 01:59:01,138,72,23025,25607,317,364,364/hr,235
2020-08-05 02:29:02,136,72,23131,25794,239,424,424/hr,235
2020-08-05 03:00:01,136,72,23237,25991,212,373,373/hr,243
2020-08-05 03:30:01,135,72,23350,26164,217,370,370/hr,221
2020-08-05 04:00:01,135,72,23454,26329,218,337,337/hr,233
2020-08-05 04:30:02,136,72,23547,26476,198,311,311/hr,241
2020-08-05 05:00:02,136,72,23664,26612,208,283,283/hr,258
2020-08-05 05:31:01,137,72,23766,26751,217,273,273/hr,257
2020-08-05 06:01:01,137,72,23865,26887,200,271,271/hr,260
2020-08-05 06:31:01,137,72,23972,27043,210,295,295/hr,266
2020-08-05 07:01:01,137,72,24075,27214,226,331,331/hr,279
2020-08-05 07:31:01,136,73,24169,27369,196,325,325/hr,285
