Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,ColonialCasualityRateHr,SteamPlayers
2024-11-12 01:35:01,0,0,0,0,0,0,0/hr,1050
2024-11-12 02:05:01,357,204,572508,614750,1543,1731,1731/hr,1047
2024-11-12 02:35:01,357,204,573338,615620,1683,1785,1785/hr,1070
2024-11-12 03:05:01,357,203,574223,616539,1674,1770,1770/hr,1076
2024-11-12 03:35:01,358,203,575047,617354,1680,1733,1733/hr,1126
2024-11-12 04:05:01,356,203,575846,618159,1548,1556,1556/hr,1160
2024-11-12 04:35:01,356,205,576611,619234,1485,1806,1806/hr,1252
2024-11-12 05:05:01,354,207,577432,620174,1593,2031,2031/hr,1299
2024-11-12 05:35:02,354,207,578532,621387,1920,2136,2136/hr,1355
2024-11-12 06:06:01,354,206,579899,622941,2392,2651,2651/hr,1438
2024-11-12 06:36:01,355,204,581182,624482,2506,2884,2884/hr,1504
2024-11-12 07:06:01,356,204,582378,625905,2466,2927,2927/hr,1580
2024-11-12 07:36:01,358,200,583473,627332,2300,2864,2864/hr,1610
2024-11-12 08:06:02,359,201,584793,628775,2489,2910,2910/hr,1653
2024-11-12 08:37:01,358,201,586287,630313,2821,2979,2979/hr,1861
2024-11-12 09:07:01,359,201,587753,632084,2962,3310,3310/hr,1909
2024-11-12 09:37:01,359,199,589433,633798,3187,3521,3521/hr,2052
2024-11-12 10:07:02,361,197,591219,635675,3469,3594,3594/hr,2117
2024-11-12 10:38:01,360,198,593227,637809,3781,4009,4009/hr,2253
2024-11-12 11:08:01,362,198,595502,640056,4270,4286,4286/hr,2317
2024-11-12 11:38:01,363,197,597802,642059,4602,4243,4243/hr,2309
2024-11-12 12:08:01,361,194,600016,644109,4556,4106,4106/hr,2228
2024-11-12 12:38:01,363,191,602150,646243,4396,4230,4230/hr,2332
