Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualtyRate,SteamPlayers,WardenPlayHours,ColonialPlayHours
2023-11-28 07:23:01,0,0,0,0,0,0,0,0,2210,1001796,932111
2023-11-28 07:53:01,796,504,149,104,2843910,2729834,1154,1203,2237,1002194,932363
2023-11-28 08:23:01,944,570,256,132,2844829,2730664,1466,1365,2507,1002666,932648
2023-11-28 08:53:01,1038,609,296,132,2845935,2731953,2063,2158,2763,1003185,932953
2023-11-28 09:23:01,1072,666,325,133,2847193,2733032,2431,2402,2944,1003721,933286
2023-11-28 09:53:01,1177,715,325,133,2848472,2734384,2594,2502,3080,1004309,933643
2023-11-28 10:23:01,1223,743,325,131,2850133,2735887,2935,2707,3163,1004921,934015
2023-11-28 10:53:01,1232,747,325,146,2851852,2737536,3394,3141,3190,1005537,934388
2023-11-28 11:23:02,1267,779,350,159,2853451,2738964,3356,3106,3237,1006171,934778
2023-11-28 11:54:01,1240,815,349,159,2855076,2740354,3079,2751,3246,1006811,935199
2023-11-28 12:24:02,1252,770,351,154,2856752,2741853,3054,2637,3196,1007437,935584
2023-11-28 12:55:02,1225,795,353,153,2858460,2743470,3245,2990,3098,1008070,935995
2023-11-28 13:26:01,1181,769,367,151,2860374,2745282,3334,3096,2991,1008680,936392
2023-11-28 13:56:01,1159,758,382,151,2862523,2747025,3636,3041,2917,1009260,936771
2023-11-28 14:26:01,1065,717,382,149,2864769,2748838,4268,3490,2791,1009792,937129
2023-11-28 14:56:01,1068,694,385,150,2866455,2750245,3884,3201,2654,1010326,937476
2023-11-28 15:26:01,925,654,387,150,2867990,2751482,2922,2440,2565,1010789,937803
2023-11-28 15:56:01,960,670,387,148,2869362,2752520,2741,2185,2394,1011269,938138
2023-11-28 16:26:01,898,673,388,148,2870600,2753485,2614,2042,2328,1011718,938475
2023-11-28 16:56:01,918,660,386,147,2871743,2754430,2339,1877,2255,1012177,938805
2023-11-28 17:26:02,924,619,386,151,2873147,2755509,2384,1902,2291,1012639,939115
2023-11-28 17:57:02,945,628,384,152,2874812,2756839,2801,2179,2275,1013127,939439
2023-11-28 18:28:01,917,646,383,153,2876167,2757896,2619,2112,2275,1013601,939773
