Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers,WinMargin
2024-08-29 10:11:01,301,290,0,0,0,0,4319,-289
2024-08-29 10:41:01,302,292,3219,2965,7321,6358,5205,-289
2024-08-29 11:11:01,301,294,7755,7048,7903,7066,5307,-289
2024-08-29 11:41:01,297,298,12844,11278,8718,7615,0,-289
2024-08-29 12:11:01,298,298,18124,15879,9934,8506,5121,-289
2024-08-29 12:41:01,297,298,22681,20122,8892,8059,4832,-289
2024-08-29 13:11:01,295,301,26870,24306,8422,8175,4405,-289
2024-08-29 13:41:01,293,302,30860,28048,7900,7580,4174,-289
2024-08-29 14:11:01,291,303,34244,31482,7018,6763,3877,-289
2024-08-29 14:41:01,288,306,36914,34361,5656,5981,3686,-289
2024-08-29 15:11:01,287,306,39708,37377,5379,5771,3506,-289
2024-08-29 15:41:01,286,307,42427,40714,5202,6050,3319,-289
2024-08-29 16:11:01,286,306,45005,43336,5214,5800,3117,-289
2024-08-29 16:41:01,284,306,47505,46102,5037,5314,2965,-289
2024-08-29 17:11:01,284,306,49866,48348,4656,4776,2810,-289
2024-08-29 17:41:01,283,306,51886,50622,4018,4104,2699,-289
2024-08-29 18:11:01,281,307,53914,52767,3878,4257,2620,-289
2024-08-29 18:41:01,280,308,55686,54710,3493,3606,2524,-289
2024-08-29 19:11:01,277,311,57600,56815,3578,3889,2462,-289
2024-08-29 19:41:01,276,311,59434,58689,3730,3926,2353,-289
2024-08-29 20:11:01,276,311,61505,60630,3627,3470,2154,-289
2024-08-29 20:41:01,275,312,63562,62692,3963,3762,2055,-289
2024-08-29 21:11:01,275,312,65446,64405,3656,3466,1922,-289
2024-08-29 21:41:01,274,313,67085,66044,3248,3097,1830,-289
2024-08-29 22:11:01,274,313,68699,67417,3265,3004,1710,-289
2024-08-29 22:41:01,273,314,70306,68788,3089,2560,1647,-289
2024-08-29 23:11:01,272,315,71743,70061,2994,2591,1598,-289
2024-08-29 23:41:01,271,316,72939,71146,2477,2234,1577,-289
2024-08-30 00:11:01,269,317,74046,72066,2121,1871,1598,-289
2024-08-30 00:41:01,269,317,75250,72871,2230,1649,1641,-289
2024-08-30 01:11:01,269,316,76344,73856,2178,1726,1723,-289
2024-08-30 01:41:01,271,315,77254,74688,1745,1582,1748,-289
2024-08-30 02:11:01,271,315,78407,75530,2066,1674,1856,-289
2024-08-30 02:41:01,271,315,79625,76563,2290,1762,1874,-289
2024-08-30 03:11:01,271,315,80835,77530,2315,1908,1971,-289
2024-08-30 03:41:01,271,315,81991,78569,2082,1781,2036,-289
2024-08-30 04:11:01,270,316,83402,79844,2355,2114,2129,-289
2024-08-30 04:41:01,270,316,85024,81231,2975,2564,2245,-289
2024-08-30 05:11:01,270,316,86922,82805,3536,2940,2328,-289
2024-08-30 05:41:01,270,316,88942,84393,3778,2962,2406,-289
2024-08-30 06:11:01,270,316,90871,85891,3702,2927,2495,-289
