Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers,WinMargin
2020-05-21 09:32:01,118,143,458,514,3,5,720,-175
2020-05-21 10:02:01,133,168,1413,1380,1413,1380,727,-175
2020-05-21 10:32:01,159,168,2238,2266,1775,1752,761,-175
2020-05-21 11:02:01,159,170,3132,3137,1719,1757,729,-175
2020-05-21 11:32:01,159,171,3930,3991,1719,1750,735,-175
2020-05-21 12:02:01,160,171,4772,4869,1650,1741,703,-175
2020-05-21 12:32:01,160,171,5445,5761,1453,1737,691,-175
2020-05-21 13:02:01,160,171,6181,6634,1450,1819,665,-175
2020-05-21 13:32:01,160,171,6892,7575,1440,1788,657,-175
2020-05-21 14:02:01,160,171,7760,8456,1579,1824,607,-175
2020-05-21 14:32:01,159,172,8512,9180,1619,1585,602,-175
2020-05-21 15:02:01,159,172,9141,9920,1255,1376,563,-175
2020-05-21 15:32:01,159,172,9717,10570,1206,1392,528,-175
2020-05-21 16:02:01,159,172,10409,11187,1265,1266,515,-175
2020-05-21 16:32:01,159,172,11064,11889,1329,1272,496,-175
2020-05-21 17:02:01,160,171,11706,12532,1298,1345,488,-175
2020-05-21 17:32:01,160,171,12236,13162,1172,1273,475,-175
2020-05-21 18:02:01,160,171,12763,13787,1057,1256,459,-175
2020-05-21 18:32:01,158,171,13304,14394,1101,1273,447,-175
2020-05-21 19:02:01,159,171,13866,14959,1078,1151,432,-175
2020-05-21 19:32:01,159,171,14390,15523,1084,1127,416,-175
2020-05-21 20:02:01,159,171,14821,15939,953,980,392,-175
2020-05-21 20:32:01,158,172,15224,16264,834,742,357,-175
2020-05-21 21:02:01,157,172,15585,16589,766,651,335,-175
2020-05-21 21:32:01,157,172,15931,16885,707,621,337,-175
2020-05-21 22:02:01,157,172,16265,17162,681,574,312,-175
2020-05-21 22:32:01,157,172,16568,17451,629,559,306,-175
2020-05-21 23:02:01,157,173,16851,17719,558,543,283,-175
2020-05-21 23:32:01,156,173,17133,18015,567,564,269,-175
