Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers,WinMargin
2019-11-27 22:20:02,0,0,0,0,0,0,287,207
2019-11-27 22:51:01,124,139,13022,14520,787,767,268,207
2019-11-27 23:21:01,124,139,13285,14873,586,715,243,207
2019-11-27 23:51:01,124,138,13587,15167,548,619,198,207
2019-11-28 00:21:01,123,140,13801,15393,478,485,175,207
2019-11-28 00:51:01,123,139,14021,15632,434,465,170,207
2019-11-28 01:21:01,123,140,14176,15822,375,429,165,207
2019-11-28 01:51:01,123,140,14283,15960,247,315,173,207
2019-11-28 02:21:01,123,139,14444,16128,271,308,189,207
2019-11-28 02:51:01,123,138,14609,16345,310,370,182,207
2019-11-28 03:21:01,125,137,14743,16495,295,374,192,207
2019-11-28 03:51:02,126,136,14919,16677,313,338,196,207
2019-11-28 04:22:01,125,136,15264,16897,527,406,206,207
2019-11-28 04:52:01,125,137,15541,17101,622,424,219,207
2019-11-28 05:22:01,125,137,15770,17359,510,465,223,207
2019-11-28 05:52:01,125,137,15998,17587,459,491,220,207
2019-11-28 06:22:01,125,137,16321,17834,551,479,221,207
2019-11-28 06:52:01,125,137,16642,18101,640,512,228,207
2019-11-28 07:22:02,125,137,16902,18293,581,459,254,207
2019-11-28 07:53:01,125,137,17164,18488,493,358,265,207
2019-11-28 08:23:01,125,137,17479,18771,577,478,284,207
2019-11-28 08:53:01,125,137,17813,19127,635,617,308,207
2019-11-28 09:23:01,125,137,18214,19512,705,697,327,207
2019-11-28 09:53:01,125,137,18649,19943,928,910,347,207
2019-11-28 10:23:01,126,136,19139,20381,926,869,380,207
2019-11-28 10:53:01,126,136,19592,20748,944,806,383,207
2019-11-28 11:23:01,126,136,20104,21155,965,774,427,207
2019-11-28 11:53:01,126,136,20747,21661,1155,913,454,207
2019-11-28 12:23:01,126,136,21492,22527,1387,1373,455,207
2019-11-28 12:53:01,126,136,22149,23283,1402,1623,439,207
2019-11-28 13:23:01,126,136,22843,23897,1351,1371,400,207
2019-11-28 13:53:01,126,136,23423,24356,1274,1074,383,207
2019-11-28 14:23:01,125,136,23917,24833,1025,926,371,207
2019-11-28 14:53:01,125,136,24311,25260,852,854,349,207
2019-11-28 15:23:01,123,138,24671,25598,662,646,374,207
2019-11-28 15:53:01,123,138,24918,25933,591,670,332,207
2019-11-28 16:23:01,123,138,25219,26279,553,681,292,207
2019-11-28 16:53:01,124,137,25542,26663,634,727,298,207
2019-11-28 17:23:02,124,137,25896,27048,678,772,286,207
2019-11-28 17:54:01,124,137,26227,27369,677,687,276,207
2019-11-28 18:24:02,124,137,26583,27709,678,654,287,207
2019-11-28 18:55:01,124,137,27023,28158,689,691,276,207
2019-11-28 19:25:01,123,137,27368,28531,667,695,283,207
2019-11-28 19:55:01,123,137,27734,28865,712,709,301,207
2019-11-28 20:25:01,123,136,28124,29239,756,709,295,207
2019-11-28 20:55:01,123,136,28560,29655,826,791,295,207
2019-11-28 21:25:01,124,136,28836,29975,712,737,268,207
2019-11-28 21:55:01,124,136,29106,30283,546,632,269,207
2019-11-28 22:25:01,124,136,29506,30744,674,781,260,207
2019-11-28 22:55:02,124,135,29831,31137,734,852,235,207
2019-11-28 23:26:01,125,135,30071,31394,567,653,223,207
2019-11-28 23:56:01,125,135,30283,31606,456,472,207,207
2019-11-29 00:26:01,126,135,30460,31827,390,435,190,207
2019-11-29 00:56:01,126,135,30688,32010,407,400,194,207
2019-11-29 01:26:01,125,136,30838,32170,378,343,186,207
2019-11-29 01:56:01,126,136,30981,32362,294,352,190,207
2019-11-29 02:26:01,128,135,31149,32545,312,375,209,207
2019-11-29 02:56:02,129,135,31411,32774,469,437,194,207
2019-11-29 03:27:01,131,134,31629,32944,486,405,192,207
2019-11-29 03:57:01,130,134,31853,33177,442,405,194,207
2019-11-29 04:27:02,130,135,32117,33415,487,472,195,207
2019-11-29 04:58:01,130,135,32297,33681,445,504,219,207
2019-11-29 05:28:02,130,135,32494,33921,378,507,230,207
2019-11-29 05:59:01,130,135,32711,34188,415,508,268,207
2019-11-29 06:29:01,131,135,32987,34545,484,620,278,207
2019-11-29 06:59:01,131,134,33301,34883,590,695,272,207
2019-11-29 07:29:01,134,133,33533,35084,565,558,303,207
2019-11-29 07:59:01,133,132,33814,35375,514,492,292,207
2019-11-29 08:29:01,134,131,34138,35682,605,598,320,207
2019-11-29 08:59:01,136,129,34484,35949,670,573,359,207
2019-11-29 09:29:01,136,129,34786,36289,609,602,379,207
2019-11-29 09:59:01,135,129,35157,36636,673,687,391,207
2019-11-29 10:29:01,135,131,35504,37022,719,733,432,207
2019-11-29 10:59:01,135,131,35870,37379,714,743,439,207
2019-11-29 11:29:02,135,131,36233,37738,715,676,466,207
2019-11-29 11:59:02,135,131,36637,38181,752,815,484,207
2019-11-29 12:30:01,135,131,37091,38745,859,1007,477,207
2019-11-29 13:00:01,135,131,37625,39309,959,1065,497,207
2019-11-29 13:30:01,135,130,38158,39947,1093,1209,481,207
2019-11-29 14:00:02,135,130,38627,40585,1000,1276,502,207
