Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers,WinMargin
2024-08-03 04:48:01,0,0,0,0,0,0,1274,-343
2024-08-03 05:18:01,157,117,1427457,1454670,1395,1532,2006,-343
2024-08-03 05:48:01,242,182,1428606,1456207,2007,2596,2233,-343
2024-08-03 06:18:01,255,218,1430094,1457998,2728,3482,2417,-343
2024-08-03 06:48:01,257,218,1431594,1459644,3006,3451,2533,-343
2024-08-03 07:18:01,258,224,1433054,1461261,3024,3339,2600,-343
2024-08-03 07:48:01,261,238,1434659,1462719,3110,3074,2800,-343
2024-08-03 08:18:01,273,261,1436539,1464435,3392,3116,2930,-343
2024-08-03 08:48:01,301,257,1438490,1466512,3785,3840,3047,-343
2024-08-03 09:18:01,302,254,1440680,1468771,4143,4351,3143,-343
2024-08-03 09:48:01,304,252,1443325,1471063,4957,4715,3228,-343
2024-08-03 10:18:01,318,251,1445938,1473669,5370,4936,3241,-343
2024-08-03 10:48:01,319,250,1448597,1476038,5250,4999,3214,-343
2024-08-03 11:18:01,318,251,1451258,1478398,5358,4771,3240,-343
2024-08-03 11:48:01,318,250,1454016,1480695,5405,4657,3200,-343
2024-08-03 12:18:01,317,253,1457332,1483281,6040,4821,3261,-343
2024-08-03 12:48:01,318,253,1460890,1486333,6856,5613,3269,-343
2024-08-03 13:18:01,317,254,1464350,1489162,7085,5980,3253,-343
2024-08-03 13:48:01,313,257,1468011,1492236,7069,5937,3180,-343
2024-08-03 14:18:01,313,257,1470935,1494864,6151,5300,3062,-343
2024-08-03 14:48:01,324,257,1473387,1497102,5528,5003,2815,-343
2024-08-03 15:18:01,320,259,1475328,1498928,4415,4112,2699,-343
2024-08-03 15:48:01,320,260,1477035,1500545,3585,3397,2489,-343
2024-08-03 16:18:01,322,260,1478702,1502080,3365,3131,2366,-343
2024-08-03 16:48:01,321,260,1480437,1503563,3469,3091,2223,-343
2024-08-03 17:18:01,320,262,1481747,1504819,3113,2782,2125,-343
2024-08-03 17:48:01,319,263,1483332,1506245,2889,2672,2074,-343
2024-08-03 18:18:01,319,263,1484541,1507552,2826,2777,2039,-343
2024-08-03 18:48:01,319,263,1485852,1508777,2541,2548,2064,-343
2024-08-03 19:18:01,319,263,1487281,1510123,2818,2622,2049,-343
2024-08-03 19:48:02,318,263,1488719,1511479,2788,2741,2047,-343
2024-08-03 20:19:01,318,263,1490219,1512941,2961,2849,2038,-343
2024-08-03 20:49:01,318,264,1491493,1514263,2696,2793,1966,-343
2024-08-03 21:19:01,317,264,1492957,1515550,2663,2596,1923,-343
2024-08-03 21:49:01,318,264,1494563,1516904,3159,2699,1916,-343
2024-08-03 22:19:01,317,263,1496341,1518454,3403,2933,1870,-343
2024-08-03 22:49:01,316,265,1497995,1520106,3449,3244,1840,-343
2024-08-03 23:19:01,315,265,1499807,1522023,3555,3614,1823,-343
2024-08-03 23:49:01,313,265,1501394,1523975,3191,3808,1798,-343
2024-08-04 00:19:01,312,269,1502505,1525161,2734,3171,1731,-343
2024-08-04 00:49:01,312,269,1503588,1526272,2181,2268,1758,-343
2024-08-04 01:19:01,312,269,1504800,1527684,2163,2501,1765,-343
2024-08-04 01:49:01,311,269,1506174,1529232,2598,2975,1851,-343
2024-08-04 02:19:01,311,269,1507339,1530706,2561,3035,1855,-343
2024-08-04 02:49:01,311,269,1508649,1532467,2509,3264,1942,-343
2024-08-04 03:19:01,311,269,1509815,1533938,2562,3300,2027,-343
2024-08-04 03:49:01,311,270,1511156,1535364,2565,2964,2062,-343
2024-08-04 04:19:01,311,268,1512240,1536654,2474,2792,2166,-343
2024-08-04 04:49:01,312,269,1513499,1538258,2314,2888,2221,-343
2024-08-04 05:19:01,314,266,1514931,1539732,2700,3095,2302,-343
2024-08-04 05:49:01,313,267,1516639,1541509,3195,3332,2426,-343
2024-08-04 06:19:02,312,267,1518229,1543076,3153,3193,2531,-343
2024-08-04 06:50:01,314,266,1519849,1545070,3282,3623,2679,-343
2024-08-04 07:20:02,314,263,1521698,1546889,3492,3838,2734,-343
2024-08-04 07:51:01,315,260,1523599,1548964,3896,4041,2841,-343
2024-08-04 08:21:01,318,260,1525273,1550666,3524,3698,2905,-343
2024-08-04 08:51:02,319,260,1527261,1552433,3683,3489,2935,-343
2024-08-04 09:22:01,319,259,1529769,1554465,4458,3792,3011,-343
2024-08-04 09:52:01,321,258,1531925,1556761,4439,4123,3076,-343
2024-08-04 10:22:01,319,258,1534191,1558540,4412,3996,3176,-343
2024-08-04 10:52:01,319,258,1536250,1560587,4341,3797,3265,-343
2024-08-04 11:22:01,318,261,1538350,1562619,4350,4223,3308,-343
2024-08-04 11:52:01,316,263,1540584,1564814,4459,4351,3402,-343
2024-08-04 12:22:01,314,264,1543005,1567032,4549,4291,3448,-343
2024-08-04 12:52:01,316,262,1545584,1569560,4662,4446,3477,-343
2024-08-04 13:22:01,318,261,1547895,1571868,4849,4756,3400,-343
2024-08-04 13:52:01,319,259,1550531,1574433,4977,4929,3257,-343
2024-08-04 14:22:01,318,262,1553378,1576748,5603,4871,3062,-343
2024-08-04 14:52:01,317,260,1555965,1579042,5239,4448,2892,-343
2024-08-04 15:22:01,318,260,1558312,1581316,4515,4286,2814,-343
2024-08-04 15:52:01,318,261,1560673,1583623,4747,4676,2609,-343
2024-08-04 16:22:01,318,261,1562892,1585538,4623,4247,2502,-343
2024-08-04 16:52:01,316,263,1564867,1587595,4194,3967,2391,-343
2024-08-04 17:22:01,315,264,1566548,1589252,3591,3656,2261,-343
2024-08-04 17:52:01,315,265,1567896,1590803,2963,3150,2137,-343
2024-08-04 18:22:01,315,265,1569301,1592610,2722,3264,2074,-343
2024-08-04 18:52:01,314,264,1570782,1594255,2772,3217,2010,-343
2024-08-04 19:22:01,314,265,1572103,1595993,2691,3335,1979,-343
2024-08-04 19:52:01,315,265,1573559,1597571,2804,3307,1895,-343
2024-08-04 20:22:01,315,265,1574801,1598662,2716,2676,1867,-343
2024-08-04 20:52:01,315,265,1576114,1600186,2620,2780,1775,-343
2024-08-04 21:22:01,315,266,1577423,1601640,2617,2830,1726,-343
2024-08-04 21:52:01,314,266,1578701,1603209,2557,3029,1658,-343
2024-08-04 22:22:01,314,266,1579804,1604414,2458,2869,1606,-343
2024-08-04 22:52:01,313,268,1580961,1605609,2195,2299,1547,-343
2024-08-04 23:22:01,312,269,1581981,1606558,2053,2035,1468,-343
2024-08-04 23:52:01,312,269,1582756,1607350,1754,1708,1467,-343
2024-08-05 00:22:01,312,269,1583594,1608117,1670,1609,1432,-343
2024-08-05 00:52:01,312,269,1584247,1608878,1405,1457,1430,-343
2024-08-05 01:22:01,312,268,1584973,1609905,1399,1795,1474,-343
2024-08-05 01:52:01,313,267,1585854,1611061,1595,2180,1433,-343
2024-08-05 02:22:01,313,266,1586660,1612166,1576,2049,1493,-343
2024-08-05 02:52:01,313,265,1587497,1613277,1625,2178,1479,-343
2024-08-05 03:22:01,314,264,1588417,1614062,1768,1898,1577,-343
2024-08-05 03:52:01,312,266,1589424,1615129,1791,1773,1684,-343
2024-08-05 04:22:01,311,266,1590341,1616544,1899,2443,1777,-343
2024-08-05 04:52:01,312,267,1591395,1617825,1953,2707,1877,-343
2024-08-05 05:22:01,313,267,1592405,1619067,1972,2450,1948,-343
2024-08-05 05:52:01,313,267,1593592,1620481,2123,2537,1987,-343
2024-08-05 06:22:01,313,266,1594590,1621939,2054,2811,2066,-343
2024-08-05 06:52:01,313,266,1595858,1623470,2214,2938,2157,-343
2024-08-05 07:22:01,314,267,1596863,1624838,2240,2895,2157,-343
2024-08-05 07:52:01,315,263,1598279,1626476,2278,2814,2241,-343
2024-08-05 08:22:01,315,263,1599554,1627604,2693,2766,2326,-343
2024-08-05 08:52:01,316,261,1601136,1629111,2883,2668,2399,-343
2024-08-05 09:22:01,318,257,1602713,1630540,3126,2967,2496,-343
2024-08-05 09:52:02,317,259,1604636,1631933,3457,2763,2601,-343
2024-08-05 10:23:01,319,255,1606686,1633781,3855,3165,2752,-343
2024-08-05 10:53:01,318,255,1608693,1635583,3824,3418,2874,-343
2024-08-05 11:23:01,320,256,1610431,1637276,3790,3523,2965,-343
