Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualtyRate,SteamPlayers,WardenPlayHours,ColonialPlayHours
2021-04-09 09:27:01,1172,1031,179,163,841,792,83,137,3670,605,532
2021-04-09 09:57:01,1256,1124,190,189,3367,3299,3152,3131,3901,1233,1094
2021-04-09 10:27:01,1289,1131,193,193,5809,5810,4968,5004,3919,1877,1659
2021-04-09 10:57:01,1286,1089,193,196,8807,8442,5502,5200,3897,2520,2204
2021-04-09 11:27:01,1248,1060,194,196,11529,10989,5710,5136,3893,3144,2734
2021-04-09 11:57:01,1221,1075,194,196,14703,13852,6010,5529,3985,3755,3271
2021-04-09 12:27:01,1218,1100,193,196,17653,16652,6074,5632,4162,4364,3821
2021-04-09 12:57:01,1250,1078,194,195,20727,19599,6123,5842,4243,4989,4360
2021-04-09 13:27:02,1235,1135,193,196,23720,22416,6103,5770,4311,5607,4928
2021-04-09 13:58:01,1226,1125,193,196,27306,25585,6454,5885,4245,6240,5509
2021-04-09 14:28:01,1212,1095,194,195,30944,28945,7499,6846,4152,6846,6057
2021-04-09 14:58:01,1162,1077,194,194,35177,32367,7875,6750,3909,7427,6595
2021-04-09 15:28:01,1072,966,195,192,38886,35947,8045,7086,3644,7963,7078
2021-04-09 15:58:01,1072,850,195,192,42618,39029,7462,6635,3300,8499,7503
2021-04-09 16:28:01,997,773,196,190,46692,41903,7716,5888,2988,8997,7890
2021-04-09 16:58:01,901,722,197,189,50060,44305,7454,5241,2712,9448,8251
2021-04-09 17:28:01,779,665,199,186,52756,46004,6064,4048,2394,9837,8583
2021-04-09 17:58:01,700,633,199,186,54601,47620,4511,3293,2164,10187,8900
2021-04-09 18:28:02,639,615,200,185,56285,49278,3550,3296,2004,10507,9207
2021-04-09 18:59:01,596,562,201,184,57957,50805,3215,3014,1811,10815,9498
2021-04-09 19:29:02,561,515,202,183,59473,52321,3188,3041,1640,11095,9755
2021-04-09 20:00:01,502,498,202,181,60961,53606,3066,2807,1589,11354,10012
2021-04-09 20:30:01,504,490,202,181,62382,55147,2911,2804,1489,11606,10257
2021-04-09 21:00:01,483,449,202,181,63806,56530,2740,2795,1390,11848,10482
2021-04-09 21:30:01,443,451,202,181,65195,57908,2640,2586,1316,12069,10707
2021-04-09 22:00:01,414,435,203,180,66526,59170,2613,2472,1252,12276,10925
2021-04-09 22:30:01,411,405,202,178,67619,60368,2413,2480,1198,12482,11127
2021-04-09 23:00:02,377,396,206,176,68590,61380,2077,2179,1165,12671,11325
2021-04-09 23:31:01,374,366,205,175,69266,62155,1442,1569,1143,12864,11514
2021-04-10 00:01:01,384,348,206,174,69860,62834,1177,1353,1120,13056,11688
2021-04-10 00:31:01,406,350,208,172,70597,63515,1315,1326,1187,13259,11863
2021-04-10 01:01:01,432,347,208,172,71406,64224,1528,1339,1266,13475,12037
2021-04-10 01:31:01,428,380,208,171,72306,64969,1674,1409,1423,13689,12227
2021-04-10 02:01:01,433,407,207,171,73030,65613,1603,1374,1522,13905,12430
2021-04-10 02:31:01,500,455,207,171,73871,66369,1539,1377,1717,14155,12658
