Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,WardenCasualtyRateHr,ColonialCasualtyRate,ColonialCasualtyRateHr,SteamPlayers,WardenPlayHours,ColonialPlayHours,WardenQueued,ColonialQueued,WardenPlayersMore,ColonialPlayersMore,WardenQueueWarning,ColonialQueueWarning
2021-04-21 15:55:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2129,6410,6942,0,0,0,0,0,0
2021-04-21 16:25:01,462,486,53,41,52,60,0,0/hr,0,0/hr,1461,6641,7185,10,4,0,24,0,0
2021-04-21 16:55:02,548,524,185,183,1122,1155,1073,1073/hr,1132,1132/hr,1562,6915,7447,9,5,24,0,0,0
2021-04-21 17:26:01,564,561,190,188,2239,2290,2144,2144/hr,2166,2166/hr,1581,7206,7737,4,4,3,0,0,0
2021-04-21 17:56:01,552,523,192,192,3365,3387,2060,2060/hr,2031,2031/hr,1561,7482,7998,14,8,29,0,0,0
2021-04-21 18:26:01,544,515,192,192,4554,4509,2321,2321/hr,2225,2225/hr,1545,7754,8256,10,6,29,0,0,0
2021-04-21 18:56:01,523,501,193,193,5654,5734,2302,2302/hr,2359,2359/hr,1487,8016,8506,10,8,22,0,0,0
2021-04-21 19:26:01,493,502,193,194,6863,6887,2142,2142/hr,2229,2229/hr,1440,8262,8757,9,0,0,9,0,0
2021-04-21 19:56:01,442,466,193,194,7928,7976,2217,2217/hr,2205,2205/hr,1312,8483,8990,10,10,0,24,0,0
2021-04-21 20:26:01,404,439,193,194,8845,8949,1982,1982/hr,2062,2062/hr,1233,8685,9210,9,14,0,35,0,1
2021-04-21 20:56:01,366,414,193,194,9537,9808,1609,1609/hr,1831,1831/hr,1146,8868,9417,5,10,0,48,0,1
2021-04-21 21:26:01,364,384,193,194,10201,10494,1297,1297/hr,1485,1485/hr,1087,9050,9609,6,3,0,20,0,0
2021-04-21 21:56:01,345,358,193,193,10884,11242,1342,1342/hr,1429,1429/hr,1024,9223,9788,2,3,0,13,0,0
2021-04-21 22:26:01,337,347,194,193,11607,11941,1403,1403/hr,1438,1438/hr,967,9391,9961,5,2,0,10,0,0
2021-04-21 22:56:01,317,316,194,193,12317,12648,1419,1419/hr,1382,1382/hr,930,9550,10119,0,2,1,0,0,0
2021-04-21 23:26:02,298,296,195,192,12978,13297,1372,1372/hr,1387,1387/hr,884,9699,10268,0,2,2,0,0,0
2021-04-21 23:57:01,289,309,194,192,13701,13885,1290,1290/hr,1133,1133/hr,900,9848,10427,12,8,0,20,0,0
2021-04-22 00:27:01,291,324,194,192,14381,14467,1320,1320/hr,1107,1107/hr,948,9994,10589,6,10,0,33,0,1
2021-04-22 00:57:01,313,328,195,192,15061,15053,1360,1360/hr,1168,1168/hr,970,10150,10753,1,3,0,15,0,0
2021-04-22 01:27:01,329,337,195,192,15700,15758,1298,1298/hr,1272,1272/hr,1030,10315,10922,2,3,0,8,0,0
2021-04-22 01:57:01,330,379,194,192,16384,16338,1323,1323/hr,1274,1274/hr,1106,10480,11111,10,6,0,49,0,1
2021-04-22 02:27:01,344,374,195,192,17109,17112,1409,1409/hr,1354,1354/hr,1153,10652,11298,11,4,0,30,0,1
2021-04-22 02:57:01,354,387,195,191,17762,17740,1368,1368/hr,1396,1396/hr,1183,10829,11492,9,7,0,33,0,1
2021-04-22 03:27:01,374,393,195,191,18337,18472,1220,1220/hr,1352,1352/hr,1216,11016,11688,12,5,0,19,0,0
2021-04-22 03:57:01,397,406,195,191,18897,19164,1135,1135/hr,1424,1424/hr,1259,11214,11891,4,2,0,9,0,0
2021-04-22 04:27:02,420,438,196,190,19611,19918,1255,1255/hr,1445,1445/hr,1346,11424,12110,6,9,0,18,0,0
2021-04-22 04:58:01,437,466,196,190,20376,20635,1466,1466/hr,1459,1459/hr,1442,11650,12351,8,11,0,29,0,0
2021-04-22 05:28:01,461,503,195,190,21200,21419,1589,1589/hr,1501,1501/hr,1497,11880,12602,10,11,0,42,0,1
2021-04-22 05:58:01,480,511,195,191,22255,22418,1884,1884/hr,1805,1805/hr,1567,12120,12858,15,13,0,31,0,0
2021-04-22 06:28:01,487,526,195,191,23386,23686,2186,2186/hr,2267,2267/hr,1583,12364,13121,22,9,0,39,0,1
2021-04-22 06:58:01,510,529,194,192,24541,24854,2286,2286/hr,2436,2436/hr,1626,12619,13385,15,12,0,19,0,0
2021-04-22 07:28:01,523,545,194,192,25460,25971,2071,2071/hr,2285,2285/hr,1704,12880,13658,19,16,0,22,0,0
2021-04-22 07:58:01,559,564,194,192,26436,27133,1949,1949/hr,2313,2313/hr,1797,13160,13940,29,17,0,5,0,0
2021-04-22 08:28:01,582,606,194,192,27468,28447,1987,1987/hr,2501,2501/hr,1877,13451,14243,19,11,0,24,0,0
2021-04-22 08:58:01,618,662,194,192,28655,29703,2219,2219/hr,2530,2530/hr,1965,13760,14574,20,5,0,44,0,0
2021-04-22 09:28:01,657,688,195,192,29942,30979,2474,2474/hr,2532,2532/hr,2121,14088,14918,23,20,0,31,0,0
2021-04-22 09:58:06,715,713,195,192,31361,32288,2706,2706/hr,2585,2585/hr,2216,14447,15275,3,1,2,0,0,0
2021-04-22 10:29:01,708,710,195,192,33146,34281,3238,3238/hr,3353,3353/hr,2232,14812,15641,12,4,0,2,0,0
2021-04-22 10:59:01,714,732,195,192,35061,35999,3694,3694/hr,3655,3655/hr,2275,15169,16007,3,5,0,18,0,0
2021-04-22 11:29:01,739,752,193,194,36695,37649,3507,3507/hr,3354,3354/hr,2355,15538,16383,19,12,0,13,0,0
2021-04-22 11:59:01,753,754,194,194,38259,39186,3287,3287/hr,3275,3275/hr,2400,15915,16760,24,16,0,1,0,0
2021-04-22 12:29:01,787,806,194,193,40155,41065,3486,3486/hr,3431,3431/hr,2566,16308,17163,16,20,0,19,0,0
2021-04-22 12:59:01,809,854,195,193,42108,42829,3865,3865/hr,3653,3653/hr,2659,16713,17590,3,28,0,45,0,0
2021-04-22 13:29:02,773,860,194,194,44613,45080,4567,4567/hr,4101,4101/hr,2620,17099,18020,2,30,0,87,0,1
2021-04-22 14:00:01,756,830,193,195,46632,46823,4524,4524/hr,3995,3995/hr,2524,17490,18449,7,19,0,74,0,1
2021-04-22 14:30:01,722,708,193,195,48451,48737,3803,3803/hr,3604,3604/hr,2358,17851,18803,8,3,14,0,0,0
2021-04-22 15:00:02,649,634,193,195,50418,50632,3842,3842/hr,3843,3843/hr,2100,18175,19120,9,11,15,0,0,0
2021-04-22 15:31:01,559,599,191,196,52150,52113,3492,3492/hr,3147,3147/hr,1907,18464,19430,7,20,0,40,0,0
2021-04-22 16:01:01,513,570,191,197,53461,53369,2978,2978/hr,2656,2656/hr,1755,18721,19715,2,6,0,57,0,1
2021-04-22 16:31:01,500,579,191,197,54986,54672,3140,3140/hr,2762,2762/hr,1621,18971,20004,0,9,0,79,0,1
2021-04-22 17:01:01,501,558,191,197,56548,55912,3088,3088/hr,2543,2543/hr,1560,19221,20283,1,16,0,57,0,1
2021-04-22 17:31:01,488,574,190,198,57730,57118,2730,2730/hr,2487,2487/hr,1567,19465,20570,0,7,0,86,0,1
2021-04-22 18:01:01,502,561,190,198,59049,58318,2329,2329/hr,2308,2308/hr,1558,19716,20851,0,5,0,59,0,1
2021-04-22 18:31:01,485,532,190,198,60445,59808,2665,2665/hr,2637,2637/hr,1476,19959,21117,0,3,0,47,0,1
2021-04-22 19:01:01,464,503,190,198,61775,60988,2751,2751/hr,2695,2695/hr,1395,20191,21368,0,0,0,39,0,1
2021-04-22 19:31:01,421,461,190,198,62963,62158,2519,2519/hr,2348,2348/hr,1273,20401,21599,0,1,0,40,0,1
2021-04-22 20:01:01,370,411,190,198,64015,63190,2073,2073/hr,2051,2051/hr,1170,20586,21804,0,2,0,41,0,1
2021-04-22 20:31:01,345,380,189,197,65026,64111,1971,1971/hr,1903,1903/hr,1093,20759,21994,0,1,0,35,0,1
2021-04-22 21:01:01,325,343,190,198,65960,64909,1960,1960/hr,1730,1730/hr,1010,20921,22166,0,0,0,18,0,0
2021-04-22 21:31:01,316,323,190,198,66651,65512,1577,1577/hr,1350,1350/hr,959,21079,22327,0,0,0,7,0,0
2021-04-22 22:01:01,308,303,190,197,67326,66129,1332,1332/hr,1228,1228/hr,918,21233,22479,4,0,5,0,0,0
2021-04-22 22:31:01,301,287,190,198,67982,66618,1318,1318/hr,1107,1107/hr,883,21384,22622,6,0,14,0,0,0
