Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,WardenCasualtyRateHr,ColonialCasualtyRate,ColonialCasualtyRateHr,SteamPlayers,WardenPlayHours,ColonialPlayHours,WardenQueued,ColonialQueued,WardenPlayersMore,ColonialPlayersMore,WardenQueueWarning,ColonialQueueWarning
2023-11-28 07:23:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2210,1001796,932111,0,0,0,0,0,0
2023-11-28 07:53:01,796,504,149,104,2843910,2729834,1154,1154/hr,1203,1203/hr,2237,1002194,932363,36,7,292,0,1,0
2023-11-28 08:23:01,944,570,256,132,2844829,2730664,1466,1466/hr,1365,1365/hr,2507,1002666,932648,42,2,374,0,1,0
2023-11-28 08:53:01,1038,609,296,132,2845935,2731953,2063,2063/hr,2158,2158/hr,2763,1003185,932953,47,0,429,0,1,0
2023-11-28 09:23:01,1072,666,325,133,2847193,2733032,2431,2431/hr,2402,2402/hr,2944,1003721,933286,106,13,406,0,1,0
2023-11-28 09:53:01,1177,715,325,133,2848472,2734384,2594,2594/hr,2502,2502/hr,3080,1004309,933643,55,13,462,0,1,0
2023-11-28 10:23:01,1223,743,325,131,2850133,2735887,2935,2935/hr,2707,2707/hr,3163,1004921,934015,77,0,480,0,1,0
2023-11-28 10:53:01,1232,747,325,146,2851852,2737536,3394,3394/hr,3141,3141/hr,3190,1005537,934388,88,0,485,0,1,0
2023-11-28 11:23:02,1267,779,350,159,2853451,2738964,3356,3356/hr,3106,3106/hr,3237,1006171,934778,70,0,488,0,1,0
2023-11-28 11:54:01,1240,815,349,159,2855076,2740354,3079,3079/hr,2751,2751/hr,3246,1006811,935199,75,6,425,0,1,0
2023-11-28 12:24:02,1252,770,351,154,2856752,2741853,3054,3054/hr,2637,2637/hr,3196,1007437,935584,78,4,482,0,1,0
2023-11-28 12:55:02,1225,795,353,153,2858460,2743470,3245,3245/hr,2990,2990/hr,3098,1008070,935995,38,1,430,0,1,0
2023-11-28 13:26:01,1181,769,367,151,2860374,2745282,3334,3334/hr,3096,3096/hr,2991,1008680,936392,36,4,412,0,1,0
2023-11-28 13:56:01,1159,758,382,151,2862523,2747025,3636,3636/hr,3041,3041/hr,2917,1009260,936771,31,0,401,0,1,0
2023-11-28 14:26:01,1065,717,382,149,2864769,2748838,4268,4268/hr,3490,3490/hr,2791,1009792,937129,35,0,348,0,1,0
2023-11-28 14:56:01,1068,694,385,150,2866455,2750245,3884,3884/hr,3201,3201/hr,2654,1010326,937476,1,0,374,0,1,0
2023-11-28 15:26:01,925,654,387,150,2867990,2751482,2922,2922/hr,2440,2440/hr,2565,1010789,937803,0,0,271,0,1,0
2023-11-28 15:56:01,960,670,387,148,2869362,2752520,2741,2741/hr,2185,2185/hr,2394,1011269,938138,9,0,290,0,1,0
2023-11-28 16:26:01,898,673,388,148,2870600,2753485,2614,2614/hr,2042,2042/hr,2328,1011718,938475,11,0,225,0,1,0
2023-11-28 16:56:01,918,660,386,147,2871743,2754430,2339,2339/hr,1877,1877/hr,2255,1012177,938805,20,0,258,0,1,0
2023-11-28 17:26:02,924,619,386,151,2873147,2755509,2384,2384/hr,1902,1902/hr,2291,1012639,939115,13,8,305,0,1,0
2023-11-28 17:57:02,945,628,384,152,2874812,2756839,2801,2801/hr,2179,2179/hr,2275,1013127,939439,12,5,317,0,1,0
2023-11-28 18:28:01,917,646,383,153,2876167,2757896,2619,2619/hr,2112,2112/hr,2275,1013601,939773,41,0,271,0,1,0
2023-11-28 18:58:02,777,613,385,153,2877857,2759132,3054,3054/hr,2292,2292/hr,2140,1013989,940079,21,6,164,0,1,0
2023-11-28 19:29:01,737,581,384,153,2879003,2760276,2871,2871/hr,2396,2396/hr,1990,1014370,940379,24,5,156,0,1,0
2023-11-28 19:59:02,730,551,380,154,2880110,2761293,2282,2282/hr,2175,2175/hr,1853,1014735,940655,8,1,179,0,1,0
2023-11-28 20:30:04,672,528,381,155,2881082,2762267,2083,2083/hr,1994,1994/hr,1789,1015083,940928,16,0,144,0,1,0
