Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,WardenCasualtyRateHr,ColonialCasualtyRate,ColonialCasualtyRateHr,SteamPlayers,WardenPlayHours,ColonialPlayHours,WardenQueued,ColonialQueued,WardenPlayersMore,ColonialPlayersMore,WardenQueueWarning,ColonialQueueWarning
2021-11-01 10:48:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2261,33300,38471,0,0,0,0,0,0
2021-11-01 11:18:01,199,198,0,0,0,0,0,0/hr,0,0/hr,2158,33399,38570,2,7,1,0,0,0
2021-11-01 11:48:01,616,679,83,82,133286,130941,140290,140290/hr,137341,137341/hr,2525,33707,38909,0,3,0,63,0,1
2021-11-01 12:18:01,725,835,93,106,134420,132122,76163,76163/hr,71340,71340/hr,2758,34070,39327,14,12,0,110,0,1
2021-11-01 12:48:01,789,909,112,158,135975,133524,2689,2689/hr,2583,2583/hr,2914,34464,39781,21,21,0,120,0,1
2021-11-01 13:18:01,819,949,141,181,137906,135358,3486,3486/hr,3236,3236/hr,3012,34874,40256,19,7,0,130,0,1
2021-11-01 13:48:01,846,977,161,216,139914,137267,3919,3919/hr,3778,3778/hr,3024,35297,40744,4,7,0,131,0,1
2021-11-01 14:18:01,813,977,161,216,141646,138899,3779,3779/hr,3576,3576/hr,2983,35703,41233,9,16,0,164,0,1
2021-11-01 14:48:02,816,978,160,216,143627,140605,3714,3714/hr,3338,3338/hr,2997,36111,41722,8,16,0,162,0,1
2021-11-01 15:19:01,772,971,160,255,145328,142191,3678,3678/hr,3291,3291/hr,2903,36510,42223,0,8,0,199,0,1
2021-11-01 15:49:01,752,934,174,255,147220,144020,3628,3628/hr,3445,3445/hr,2815,36886,42690,2,9,0,182,0,1
2021-11-01 16:19:01,685,857,174,255,148911,145797,3599,3599/hr,3638,3638/hr,2649,37229,43119,0,13,0,172,0,1
2021-11-01 16:49:01,650,835,194,256,150362,147269,3142,3142/hr,3254,3254/hr,2503,37554,43536,0,18,0,185,0,1
2021-11-01 17:19:01,624,858,214,257,151782,148600,2876,2876/hr,2805,2805/hr,2512,37866,43965,1,21,0,234,0,1
