Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,WardenCasualtyRateHr,ColonialCasualtyRate,ColonialCasualtyRateHr,SteamPlayers,WardenPlayHours,ColonialPlayHours,WardenQueued,ColonialQueued,WardenPlayersMore,ColonialPlayersMore,WardenQueueWarning,ColonialQueueWarning
2021-06-08 10:09:01,160,138,146,146,0,0,0,0/hr,0,0/hr,1964,0,0,0,0,22,0,1,0
2021-06-08 10:39:01,1090,1089,176,188,1338,1330,806,806/hr,926,926/hr,2461,545,544,15,33,1,0,0,0
2021-06-08 11:09:01,1190,1155,185,196,4132,4203,4136,4136/hr,4217,4217/hr,2596,1140,1122,17,24,35,0,0,0
2021-06-08 11:39:01,1224,1137,189,197,6709,6611,5370,5370/hr,5323,5323/hr,2616,1752,1690,30,31,87,0,1,0
2021-06-08 12:09:01,1195,1131,192,196,9458,9537,5527,5527/hr,5532,5532/hr,2589,2349,2256,25,16,64,0,0,0
2021-06-08 12:39:01,1217,1101,192,195,12072,12182,5351,5351/hr,5623,5623/hr,2574,2958,2806,18,23,116,0,1,0
2021-06-08 13:09:01,1155,1063,195,193,14619,14542,5218,5218/hr,5019,5019/hr,2494,3535,3338,20,20,92,0,1,0
2021-06-08 13:39:02,1099,1031,197,193,16647,16340,4520,4520/hr,4061,4061/hr,2400,4085,3853,29,11,68,0,0,0
2021-06-08 14:10:02,1053,993,197,193,18956,18505,4271,4271/hr,3967,3967/hr,2284,4629,4366,20,8,60,0,0,0
2021-06-08 14:41:01,1008,953,198,192,21158,20750,4593,4593/hr,4486,4486/hr,2163,5149,4858,13,9,55,0,0,0
2021-06-08 15:11:01,970,906,198,191,23614,23031,4709,4709/hr,4548,4548/hr,2065,5634,5311,14,6,64,0,0,0
2021-06-08 15:41:01,921,860,198,191,26045,25304,5124,5124/hr,4694,4694/hr,1994,6095,5741,23,13,61,0,0,0
2021-06-08 16:11:01,789,754,197,192,28687,27731,4935,4935/hr,4512,4512/hr,0,6489,6118,18,3,35,0,0,0
2021-06-08 16:41:01,775,760,198,191,30820,29708,4638,4638/hr,4289,4289/hr,1738,6877,6498,15,0,15,0,0,0
2021-06-08 17:11:01,691,709,198,190,32491,31185,3582,3582/hr,3184,3184/hr,1545,7222,6853,17,2,0,18,0,0
2021-06-08 17:41:01,702,724,197,191,34125,32621,3158,3158/hr,2727,2727/hr,1566,7573,7215,9,0,0,22,0,0
2021-06-08 18:11:01,678,709,199,190,35863,34206,3508,3508/hr,3118,3118/hr,1530,7912,7569,14,0,0,31,0,0
2021-06-08 18:41:01,656,686,199,190,37383,35699,3460,3460/hr,3248,3248/hr,1500,8240,7912,8,0,0,30,0,0
2021-06-08 19:11:01,657,679,200,188,39003,37216,3102,3102/hr,3000,3000/hr,1491,8569,8252,11,0,0,22,0,0
2021-06-08 19:41:02,665,620,201,188,40540,38668,3174,3174/hr,2974,2974/hr,1459,8902,8562,10,1,45,0,0,0
2021-06-08 20:12:01,620,632,200,187,42177,40154,2994,2994/hr,2786,2786/hr,1394,9222,8888,2,0,0,12,0,0
2021-06-08 20:42:01,583,618,200,187,43880,41779,3297,3297/hr,2998,2998/hr,1342,9513,9197,3,2,0,35,0,0
2021-06-08 21:12:01,549,607,201,186,45507,43410,3204,3204/hr,3115,3115/hr,1275,9788,9501,3,0,0,58,0,1
2021-06-08 21:42:01,506,555,201,186,46874,44886,2839,2839/hr,2979,2979/hr,1188,10041,9778,0,0,0,49,0,1
2021-06-08 22:12:01,479,505,201,186,48246,46239,2662,2662/hr,2694,2694/hr,1118,10280,10031,0,0,0,26,0,0
2021-06-08 22:42:02,449,477,201,186,49447,47351,2613,2613/hr,2496,2496/hr,1048,10505,10270,2,0,0,28,0,0
2021-06-08 23:13:01,428,470,202,185,50622,48519,2391,2391/hr,2298,2298/hr,1014,10726,10512,2,0,0,42,0,1
2021-06-08 23:43:01,403,461,201,184,51696,49705,2044,2044/hr,2138,2138/hr,987,10927,10743,3,0,0,58,0,1
2021-06-09 00:13:01,409,441,202,184,52745,50836,2078,2078/hr,2222,2222/hr,953,11132,10963,4,0,0,32,0,1
2021-06-09 00:43:01,408,434,200,186,53856,51794,2084,2084/hr,1983,1983/hr,948,11336,11180,3,0,0,26,0,0
2021-06-09 01:13:01,398,401,200,186,54723,52714,1839,1839/hr,1783,1783/hr,900,11535,11381,0,0,0,3,0,0
