Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,WardenCasualtyRateHr,ColonialCasualtyRate,ColonialCasualtyRateHr,SteamPlayers,WardenPlayHours,ColonialPlayHours,WardenQueued,ColonialQueued,WardenPlayersMore,ColonialPlayersMore,WardenQueueWarning,ColonialQueueWarning
2022-05-30 10:52:01,1,1,63,72,0,0,0,0/hr,0,0/hr,2854,0,0,0,0,0,0,0,0
2022-05-30 11:22:01,1752,1735,212,245,2227,2165,2410,2410/hr,2335,2335/hr,3993,876,867,96,44,17,0,0,0
2022-05-30 11:52:01,1952,1890,262,267,8063,7554,8153,8153/hr,7638,7638/hr,4234,1852,1812,85,62,62,0,0,0
2022-05-30 12:22:01,1897,1924,263,267,12926,12355,10699,10699/hr,10190,10190/hr,4230,2800,2774,84,57,0,27,0,0
2022-05-30 12:52:01,1782,1823,262,268,18048,17772,10309,10309/hr,10575,10575/hr,3988,3691,3686,51,69,0,41,0,0
2022-05-30 13:22:01,1653,1754,260,270,22090,22079,9164,9164/hr,9725,9725/hr,3736,4518,4563,28,38,0,101,0,0
2022-05-30 13:52:01,1611,1633,260,270,26046,26305,7998,7998/hr,8533,8533/hr,3537,5323,5379,20,26,0,22,0,0
2022-05-30 14:22:01,1482,1480,260,270,29601,30138,7511,7511/hr,8059,8059/hr,3253,6064,6119,13,15,2,0,0,0
2022-05-30 14:52:01,1347,1360,260,270,33224,34151,7178,7178/hr,7846,7846/hr,2975,6738,6799,6,29,0,13,0,0
2022-05-30 15:22:01,1192,1260,258,272,35855,37189,6254,6254/hr,7051,7051/hr,2729,7334,7429,22,38,0,68,0,0
2022-05-30 15:52:01,1101,1164,258,272,38271,39725,5049,5049/hr,5575,5575/hr,2535,7884,8011,20,45,0,63,0,0
2022-05-30 16:22:01,1008,1092,258,272,40482,41830,4627,4627/hr,4641,4641/hr,2396,8388,8557,36,51,0,84,0,0
2022-05-30 16:52:01,1004,1081,257,272,42707,44346,4436,4436/hr,4621,4621/hr,2319,8890,9098,16,37,0,77,0,0
2022-05-30 17:22:02,965,1046,257,272,44882,46738,4605,4605/hr,5157,5157/hr,2259,9373,9621,15,35,0,81,0,0
2022-05-30 17:53:01,962,1033,256,272,47173,49090,4466,4466/hr,4744,4744/hr,2200,9870,10154,12,31,0,71,0,0
2022-05-30 18:23:01,946,1027,256,272,49287,51424,4405,4405/hr,4686,4686/hr,2209,10343,10668,11,44,0,81,0,0
